
[00:00:00.000 --> 00:00:06.560]  各位靈靈姐妹讓我們先聆聽上主的說話
[00:00:06.560 --> 00:00:08.560]  以示願我們一切同心低頭禱告
[00:00:08.560 --> 00:00:16.320]  父神多謝你進入到十二月的時間
[00:00:16.320 --> 00:00:22.400]  亦是你獨身兒子耶穌基督降生的時段
[00:00:22.400 --> 00:00:29.440]  讓我們重新思想在過去二千多年裡
[00:00:29.440 --> 00:00:33.440]  上主你如何為我們悉心預備
[00:00:33.440 --> 00:00:35.440]  這個拯救來到這個世界
[00:00:35.440 --> 00:00:38.800]  並且為我們為道護永恆的作準備功夫
[00:00:38.800 --> 00:00:40.800]  我們為此獻上感恩
[00:00:40.800 --> 00:00:42.000]  求你的帶領
[00:00:42.000 --> 00:00:45.440]  並為帶著感恩去一起聆聽主的說話
[00:00:45.440 --> 00:00:47.440]  領受一個美好的靈驗
[00:00:47.440 --> 00:00:51.440]  禱告奉靠主耶穌基督得勝名自求
[00:00:51.440 --> 00:00:53.440]  阿們
[00:00:53.440 --> 00:01:03.440]  在早前的第25章第31至46節的講道裡
[00:01:03.440 --> 00:01:05.440]  我曾經說過一件事
[00:01:05.440 --> 00:01:13.440]  我們現在這個世界進入了一個泛藍色的包容潮流
[00:01:13.440 --> 00:01:19.440]  我當時給了一個特別的字眼叫undeciding inclusion
[00:01:19.440 --> 00:01:29.440]  最近我發現原來我說這些不是我獨有的看法
[00:01:29.440 --> 00:01:36.440]  原來是一個在過去一段時期社會學專家裡
[00:01:36.440 --> 00:01:41.440]  也做過一個研究引用了一個形容
[00:01:41.440 --> 00:01:43.440]  叫做work culture
[00:01:43.440 --> 00:01:49.440]  不知道大家有沒有聽過
[00:01:49.440 --> 00:01:51.440]  work culture是什麼呢
[00:01:51.440 --> 00:01:57.440]  聽起來就像是一種對很多事情的醒覺
[00:01:57.440 --> 00:01:59.440]  寫得很漂亮
[00:01:59.440 --> 00:02:05.440]  但其實裡面包含的正正如我所說的
[00:02:05.440 --> 00:02:15.440]  是黑白顛倒甚至要多數服從少數的這種主流思想
[00:02:15.440 --> 00:02:21.440]  將以往所謂的主流大眾的意見
[00:02:21.440 --> 00:02:26.440]  大家一起同心合意推動的主流看法
[00:02:26.440 --> 00:02:30.440]  變成了一種關注少數的
[00:02:30.440 --> 00:02:33.440]  而將少數變成了話事者
[00:02:33.440 --> 00:02:36.440]  例如最典型的例子就是
[00:02:36.440 --> 00:02:46.440]  同性戀或者那些古靈精怪的戀情
[00:02:46.440 --> 00:02:49.440]  對性別的混亂的看法
[00:02:49.440 --> 00:02:53.440]  這種種種的看法就變成主流
[00:02:53.440 --> 00:02:59.440]  而那些主流的稱之為一男一女結合的婚姻
[00:02:59.440 --> 00:03:08.440]  那些反而被視之為一種聽從和遷就少數人的做法
[00:03:08.440 --> 00:03:13.440]  如果你不跟隨這些人的看法去遷就他們的話
[00:03:13.440 --> 00:03:16.440]  結局就等同於什麼呢
[00:03:16.440 --> 00:03:18.440]  你就歧視他們
[00:03:18.440 --> 00:03:24.440]  歧視這種做法是一個work culture很喜歡用的做法
[00:03:24.440 --> 00:03:29.440]  另一個做法或者說法是什麼呢
[00:03:29.440 --> 00:03:34.440]  就是我們這個世界要有公平
[00:03:34.440 --> 00:03:36.440]  公平等於什麼呢
[00:03:36.440 --> 00:03:39.440]  人人都有這個權利
[00:03:39.440 --> 00:03:41.440]  但其實這個世界我們很明白的就是
[00:03:41.440 --> 00:03:46.440]  每一個人做事處事都有不同的
[00:03:46.440 --> 00:03:51.440]  如果我們要將所有不同變成一樣的話
[00:03:51.440 --> 00:03:53.440]  其實是沒有什麼可能
[00:03:53.440 --> 00:03:55.440]  如果不這樣做的話
