
[00:00:00.000 --> 00:00:02.000]  (字幕: 阿里山大師)
[00:00:02.000 --> 00:00:06.400]  上一次我們是開始了第四章少少
[00:00:06.400 --> 00:00:10.200]  第四章和第五章是連接在一起的
[00:00:10.200 --> 00:00:11.800]  所以今晚我希望
[00:00:11.800 --> 00:00:14.000]  我們如果夠時間的話
[00:00:14.000 --> 00:00:15.800]  我們是查完第四章
[00:00:15.800 --> 00:00:18.200]  接著我們就下去第五章了
[00:00:18.200 --> 00:00:20.000]  我們首先是開始的時候
[00:00:20.000 --> 00:00:21.600]  我們來做一個祈禱
[00:00:21.600 --> 00:00:24.300]  天父我們感謝你給我們這麼自由的
[00:00:24.300 --> 00:00:27.200]  可以在網上來研讀你的華語
[00:00:27.400 --> 00:00:30.400]  雖然我們還未能夠彼此見面
[00:00:30.400 --> 00:00:33.800]  但是你也讓我們在網上透過科技
[00:00:33.800 --> 00:00:35.800]  我們都可以一起來敬拜
[00:00:35.800 --> 00:00:37.600]  一起來查考你的華語
[00:00:37.600 --> 00:00:40.800]  求聖靈在我們當中來做教導的工作
[00:00:40.800 --> 00:00:44.000]  讓我們每一個人都明白你華語裏面的意思
[00:00:44.000 --> 00:00:47.600]  也讓你的華語成為我們生命的力量
[00:00:47.600 --> 00:00:50.600]  我們將以下的時間恭敬在你手中
[00:00:50.600 --> 00:00:52.600]  祈禱奉祖耶穌基督名求
[00:00:52.600 --> 00:00:53.400]  阿們
[00:00:53.400 --> 00:00:56.000]  第四章就是開始了
[00:00:56.400 --> 00:01:01.600]  約翰說他看到有關於將來的異象
[00:01:01.600 --> 00:01:02.800]  他開始記下來
[00:01:02.800 --> 00:01:06.600]  由第四章一直到結束第22章
[00:01:06.600 --> 00:01:09.200]  都是說將來必成的事
[00:01:09.200 --> 00:01:12.000]  那就是在他的時代是未成的
[00:01:12.000 --> 00:01:15.000]  我相信其實在今天來說
[00:01:15.000 --> 00:01:18.800]  第四章至到第22章都應該是未出現的
[00:01:18.800 --> 00:01:20.800]  特別是第六章開始
[00:01:20.800 --> 00:01:24.400]  說到那七年的大災難是未開始的
[00:01:24.600 --> 00:01:26.600]  為甚麼我這麼確定是未開始呢?
[00:01:26.600 --> 00:01:30.000]  就因為貼薩羅尼加後書第二章
[00:01:30.000 --> 00:01:33.000]  保羅教導貼薩羅尼加教會
[00:01:33.000 --> 00:01:35.400]  說他們未在災難當中
[00:01:35.400 --> 00:01:38.600]  因為那個大罪人是未出現
[00:01:38.600 --> 00:01:40.800]  即是那個狄基督是未出現的
[00:01:40.800 --> 00:01:44.600]  所以一天我們未見到狄基督很公開地出現
[00:01:44.600 --> 00:01:48.200]  也未見到第三聖殿被重建
[00:01:48.400 --> 00:01:55.200]  我們都可以說七年的災難是未開始的
[00:01:55.200 --> 00:02:00.200]  第一章第十九節提到所見的事
[00:02:00.200 --> 00:02:01.000]  即是過去的事
[00:02:01.000 --> 00:02:02.200]  那就是第一章
[00:02:02.200 --> 00:02:03.800]  現在的事
[00:02:03.800 --> 00:02:04.600]  present
[00:02:04.600 --> 00:02:06.600]  這就是第二、第三章
[00:02:06.600 --> 00:02:09.000]  然後將來必成的事
[00:02:09.000 --> 00:02:11.000]  就是由第四章開始的
[00:02:11.000 --> 00:02:12.200]  好
[00:02:12.200 --> 00:02:16.600]  我們今晚再看第四章
[00:02:17.000 --> 00:02:21.000]  上一次我們一開始就說約翰被提
[00:02:21.000 --> 00:02:24.400]  第一節說此後
[00:02:24.400 --> 00:02:26.200]  此後我提過
[00:02:26.200 --> 00:02:28.600]  就是神在這裡的時間
[00:02:28.600 --> 00:02:30.600]  可能是有心意在的
[00:02:30.600 --> 00:02:34.600]  因為祂是先給教會提醒的信
[00:02:34.600 --> 00:02:36.200]  警告的信
[00:02:36.200 --> 00:02:37.600]  和鼓勵的信
[00:02:37.600 --> 00:02:42.000]  然後才開始給他們看到將來必成的事
[00:02:42.000 --> 00:02:44.800]  這也是我們應該有的sequence
[00:02:44.800 --> 00:02:47.800]  就是我們的生命先得到改變
[00:02:47.800 --> 00:02:49.400]  先得到成長
[00:02:49.400 --> 00:02:52.800]  然後我們再學關於將來的事
[00:02:52.800 --> 00:02:54.200]  就對我們有益處了
[00:02:54.200 --> 00:02:57.800]  約翰在這裡說他觀看
