
[00:00:00.000 --> 00:00:06.000]  有機會跟大家一齊來到思想城的話語
[00:00:06.000 --> 00:00:09.000]  再一次介紹大家後面華博
[00:00:09.000 --> 00:00:11.000]  又放了個攤位有CD和書
[00:00:11.000 --> 00:00:14.000]  適合用的就拿去自由奉獻
[00:00:14.000 --> 00:00:16.000]  自由奉獻的意思是什麼呢?
[00:00:16.000 --> 00:00:18.000]  忘記了
[00:00:18.000 --> 00:00:21.000]  自由奉獻的意思就是自由奉獻
[00:00:21.000 --> 00:00:26.000]  我們今天來思想一段聖經
[00:00:26.000 --> 00:00:29.000]  聖經記載在約翰福音第九章
[00:00:29.000 --> 00:00:31.000]  約翰福音第九章也挺長的
[00:00:31.000 --> 00:00:32.000]  有四十多節
[00:00:32.000 --> 00:00:34.000]  整件事有很多起承轉合
[00:00:34.000 --> 00:00:36.000]  今天只跟大家說一個段落
[00:00:36.000 --> 00:00:41.000]  段落記載在第九章第一至第七節
[00:00:41.000 --> 00:00:43.000]  這次我們找到的時候
[00:00:43.000 --> 00:00:45.000]  我們一起再讀一次
[00:00:45.000 --> 00:00:51.000]  約翰福音第九章第一至第七節
[00:00:51.000 --> 00:00:54.000]  程序表有吧
[00:00:54.000 --> 00:00:56.000]  我們一起讀
[00:00:56.000 --> 00:00:57.000]  聽讀
[00:00:57.000 --> 00:00:59.000]  耶穌過去的時候
[00:00:59.000 --> 00:01:03.000]  看見一個人生來是黑眼的
[00:01:03.000 --> 00:01:05.000]  門徒問耶穌說
[00:01:05.000 --> 00:01:08.000]  拉比,這人生來是黑眼的
[00:01:08.000 --> 00:01:10.000]  是誰犯了罪
[00:01:10.000 --> 00:01:14.000]  是這人呢?是他父母呢?
[00:01:14.000 --> 00:01:15.000]  耶穌回答說
[00:01:15.000 --> 00:01:18.000]  也不是這人犯了罪
[00:01:18.000 --> 00:01:21.000]  也不是他父母犯了罪
[00:01:21.000 --> 00:01:25.000]  是要在他身上顯出神的作為來
[00:01:25.000 --> 00:01:27.000]  趁著白日
[00:01:27.000 --> 00:01:30.000]  我們必須作那差我來者的功
[00:01:30.000 --> 00:01:31.000]  黑夜將到
[00:01:31.000 --> 00:01:34.000]  就沒有人能作功了
[00:01:34.000 --> 00:01:38.000]  我在世上的時候是世上的光
[00:01:38.000 --> 00:01:40.000]  耶穌說了這話
[00:01:40.000 --> 00:01:42.000]  就套他抹在地上
[00:01:42.000 --> 00:01:46.000]  用他抹和泥抹在核子的眼睛上
[00:01:46.000 --> 00:01:48.000]  對他說
[00:01:48.000 --> 00:01:51.000]  你往西羅亞池子裡去洗
[00:01:51.000 --> 00:01:55.000]  他去一洗回頭就看見了
[00:01:55.000 --> 00:01:56.000]  好,謝謝
[00:01:56.000 --> 00:02:00.000]  這段聖經對翻了教會一段日子的
[00:02:00.000 --> 00:02:02.000]  應該都不太陌生了
[00:02:02.000 --> 00:02:07.000]  這段聖經就說了耶穌怎樣來醫好核子
[00:02:07.000 --> 00:02:09.000]  今天就和大家去溫書
[00:02:09.000 --> 00:02:11.000]  如果大家聽過的,好不好?
