
[00:00:00.000 --> 00:00:02.000]  各位丁姐妹晚安
[00:00:02.000 --> 00:00:04.000]  我們一起祈禱
[00:00:04.000 --> 00:00:06.000]  慈悲人愛的天父
[00:00:06.000 --> 00:00:08.000]  你啟示你的聖言
[00:00:08.000 --> 00:00:10.000]  讓我們在不同的時空
[00:00:10.000 --> 00:00:12.000]  不同的年代
[00:00:12.000 --> 00:00:14.000]  我們仍然聆聽
[00:00:14.000 --> 00:00:16.000]  直接聆聽到你的教導
[00:00:16.000 --> 00:00:18.000]  給我們生命有提醒
[00:00:18.000 --> 00:00:20.000]  求你驅走我們的黑暗
[00:00:20.000 --> 00:00:22.000]  讓你的話語
[00:00:22.000 --> 00:00:24.000]  再次更新潔淨我們的生命
[00:00:24.000 --> 00:00:26.000]  幫助孩子宣告
[00:00:26.000 --> 00:00:28.000]  我們是天父
[00:00:28.000 --> 00:00:30.000]  宣告你的生命
[00:00:30.000 --> 00:00:32.000]  幫助孩子宣告你的話語清楚
[00:00:32.000 --> 00:00:34.000]  我們同心領受
[00:00:34.000 --> 00:00:36.000]  禱告是奉耶穌基督命求
[00:00:36.000 --> 00:00:38.000]  阿們
[00:00:38.000 --> 00:00:40.000]  很高興一個月前
[00:00:40.000 --> 00:00:42.000]  我來過這裡崇拜
[00:00:42.000 --> 00:00:44.000]  和大家一起分享
[00:00:44.000 --> 00:00:46.000]  一個月後我終於見到有人
[00:00:46.000 --> 00:00:48.000]  可以坐在這裡和大家一起去敬拜
[00:00:48.000 --> 00:00:50.000]  實在很激動
[00:00:50.000 --> 00:00:52.000]  因為我過往的三個月
[00:00:52.000 --> 00:00:54.000]  都是對著鏡頭說話
[00:00:54.000 --> 00:00:56.000]  但是對著人說話
[00:00:56.000 --> 00:00:58.000]  始終都是安心一點
[00:00:58.000 --> 00:01:00.000]  看到大家一起在敬拜
[00:01:00.000 --> 00:01:02.000]  代表見到聖學院
[00:01:02.000 --> 00:01:04.000]  再次問候大家
[00:01:04.000 --> 00:01:06.000]  我們聖學院的學生
[00:01:06.000 --> 00:01:08.000]  都陸陸續續
[00:01:08.000 --> 00:01:10.000]  進入宿舍
[00:01:10.000 --> 00:01:12.000]  他們開始進行實體的教導
[00:01:12.000 --> 00:01:14.000]  仍然有些學生可能有些困難
[00:01:14.000 --> 00:01:16.000]  所以我們同步
[00:01:16.000 --> 00:01:18.000]  都會進行一個
[00:01:18.000 --> 00:01:20.000]  直播
[00:01:20.000 --> 00:01:22.000]  和大家用一些軟件
[00:01:22.000 --> 00:01:24.000]  進行課堂
[00:01:24.000 --> 00:01:26.000]  實在不容易
[00:01:26.000 --> 00:01:28.000]  很多應變
[00:01:28.000 --> 00:01:30.000]  我都很佩服每一位教會的弟兄姊妹
[00:01:30.000 --> 00:01:32.000]  和教睦同工
[00:01:32.000 --> 00:01:34.000]  搞盡腦汁
[00:01:34.000 --> 00:01:36.000]  在不同的線上線下
[00:01:36.000 --> 00:01:38.000]  進行一個牧養和教導
[00:01:38.000 --> 00:01:40.000]  實在不是很容易的一件事情
[00:01:40.000 --> 00:01:42.000]  這個星期很開心可以見到大家
[00:01:42.000 --> 00:01:44.000]  而今天的講題
[00:01:44.000 --> 00:01:46.000]  我就承接上一次
[00:01:46.000 --> 00:01:48.000]  我們討論到馬可福音
[00:01:48.000 --> 00:01:50.000]  若然大家還記得
[00:01:50.000 --> 00:01:52.000]  我來過當中的時候
[00:01:52.000 --> 00:01:54.000]  就是馬可福音的第二章
[00:01:54.000 --> 00:01:56.000]  為何是馬可福音呢?
[00:01:56.000 --> 00:01:58.000]  因為我自己的教會
[00:01:58.000 --> 00:02:00.000]  有外堂都是在講馬可福音
[00:02:00.000 --> 00:02:02.000]  所以有外堂講完
[00:02:02.000 --> 00:02:04.000]  同步我又在這裡
[00:02:04.000 --> 00:02:06.000]  和大家一起思想馬可福音
[00:02:06.000 --> 00:02:08.000]  今天我們就試一下
[00:02:08.000 --> 00:02:10.000]  一起看看第七章
[00:02:10.000 --> 00:02:12.000]  這二十三節的經文
[00:02:12.000 --> 00:02:14.000]  今天的講題
[00:02:14.000 --> 00:02:16.000]  其實就是用嘴
[00:02:16.000 --> 00:02:18.000]  來尊敬神的偽善者
[00:02:18.000 --> 00:02:20.000]  如果你有留意
[00:02:20.000 --> 00:02:22.000]  其實這個講題都頗吊詭的
[00:02:22.000 --> 00:02:24.000]  你用嘴來尊敬神
[00:02:24.000 --> 00:02:26.000]  但卻你的本質
[00:02:26.000 --> 00:02:28.000]  是一個偽善者
[00:02:28.000 --> 00:02:30.000]  所以今天主要處理的
[00:02:30.000 --> 00:02:32.000]  就是那個嘴
[00:02:32.000 --> 00:02:34.000]  和偽善者之間的關係
[00:02:34.000 --> 00:02:36.000]  期望可以成為
[00:02:36.000 --> 00:02:38.000]  我們的教導和反思
[00:02:38.000 --> 00:02:40.000]  先說一下甚麼是偽善者
[00:02:40.000 --> 00:02:42.000]  偽善者
[00:02:42.000 --> 00:02:44.000]  原來來自一個希臘文
[00:02:44.000 --> 00:02:46.000]  那個希臘文
[00:02:46.000 --> 00:02:48.000]  如果翻譯成英文
[00:02:48.000 --> 00:02:50.000]  就翻譯成Hippocrate
[00:02:50.000 --> 00:02:52.000]  Hippocrate這個字
[00:02:52.000 --> 00:02:54.000]  在希臘文來說
[00:02:54.000 --> 00:02:56.000]  就是演戲者
[00:02:56.000 --> 00:02:58.000]  或者是冒充者的意思
[00:02:58.000 --> 00:03:00.000]  也就是說這個人本身
[00:03:00.000 --> 00:03:02.000]  不是一個良善的人
[00:03:02.000 --> 00:03:04.000]  但他的演技超凡
[00:03:04.000 --> 00:03:06.000]  懂得利用動作
[00:03:06.000 --> 00:03:08.000]  經驗和口述
[00:03:08.000 --> 00:03:10.000]  來塑造自己一個良好的形象
[00:03:10.000 --> 00:03:12.000]  在社交的技巧上
[00:03:12.000 --> 00:03:14.000]  也非常超凡
[00:03:14.000 --> 00:03:16.000]  容易利用別人認為良善的外表
[00:03:16.000 --> 00:03:18.000]  去掩飾
[00:03:18.000 --> 00:03:20.000]  內心的邪惡
[00:03:20.000 --> 00:03:22.000]  對自己種種的罪行
[00:03:22.000 --> 00:03:24.000]  進行開脫
[00:03:24.000 --> 00:03:26.000]  他一生都在演戲
[00:03:26.000 --> 00:03:28.000]  成為一個偽善者
[00:03:28.000 --> 00:03:30.000]  而背地裡只有一個目的
[00:03:30.000 --> 00:03:32.000]  就是謀求
[00:03:32.000 --> 00:03:34.000]  自己的利益
[00:03:34.000 --> 00:03:36.000]  教會裏面很容易出現偽善者
[00:03:36.000 --> 00:03:38.000]  因為教會是一個講求
[00:03:38.000 --> 00:03:40.000]  良善、公義、愛心的地方
[00:03:40.000 --> 00:03:42.000]  這樣的質素
[00:03:42.000 --> 00:03:44.000]  也期望在我們的弟兄姊妹
[00:03:44.000 --> 00:03:46.000]  分享互動當中
[00:03:46.000 --> 00:03:48.000]  能夠找到
[00:03:48.000 --> 00:03:50.000]  但當有弟兄姊妹帶著不良的動機
[00:03:50.000 --> 00:03:52.000]  以美麗的外表
[00:03:52.000 --> 00:03:54.000]  來得到認同和讚賞
[00:03:54.000 --> 00:03:56.000]  卻同時
[00:03:56.000 --> 00:03:58.000]  以敬虔的外貌
[00:03:58.000 --> 00:04:00.000]  來做那些叫做
[00:04:00.000 --> 00:04:02.000]  邪惡事情的時候
[00:04:02.000 --> 00:04:04.000]  教會就很自然
[00:04:04.000 --> 00:04:06.000]  就會存在著我們叫做
[00:04:06.000 --> 00:04:08.000]  隱藏的邪惡
[00:04:08.000 --> 00:04:10.000]  而這一類的邪惡其實有它的感染力
[00:04:10.000 --> 00:04:12.000]  其他弟兄姊妹
[00:04:12.000 --> 00:04:14.000]  也不自覺地去學習
[00:04:14.000 --> 00:04:16.000]  造成教會內部的分化
[00:04:16.000 --> 00:04:18.000]  而其中一種偽善者
