
[00:00:00.000 --> 00:00:06.080]  今天我會和大家一起思想一個題目
[00:00:06.080 --> 00:00:10.880]  在大家的程序表上刊登了
[00:00:10.880 --> 00:00:14.720]  有權有勢卻沒有真理的宗教表現
[00:00:14.720 --> 00:00:20.000]  會從馬太福音第22章第41至46節去看
[00:00:20.000 --> 00:00:22.240]  這個題目很有趣
[00:00:22.240 --> 00:00:26.640]  為什麼說到有權有勢卻沒有真理的宗教表現呢
[00:00:26.640 --> 00:00:30.960]  透過這段聖經我們會一起留意到
[00:00:30.960 --> 00:00:35.120]  一群人究竟是否對真理有所認識
[00:00:35.120 --> 00:00:40.720]  他們可能在宗教層面甚至在群體裏面
[00:00:40.720 --> 00:00:46.480]  特別是這段聖經所談及的文士、祭司、法尼塞人、猶太人、公會
[00:00:46.480 --> 00:00:49.360]  甚至整個猶太教的世界裏面
[00:00:49.360 --> 00:00:51.600]  他們都可以說是有權有勢
[00:00:51.600 --> 00:00:58.000]  但原來他們的聖經的貧乏是很嚴重的
[00:00:58.000 --> 00:01:03.680]  這也反映出一個很重要或嚴肅的題目
[00:01:03.680 --> 00:01:06.480]  就是關於全福音的問題
[00:01:06.480 --> 00:01:13.040]  教會很多時候都將整個教會的存在目的
[00:01:13.040 --> 00:01:16.400]  歸在一個題目上就是全福音
[00:01:16.400 --> 00:01:19.280]  什麼叫全福音呢
[00:01:19.280 --> 00:01:30.800]  這個問題我們可能會仔細和弟子姐妹坐下來討論
[00:01:30.800 --> 00:01:32.880]  他們會說很多的東西
[00:01:32.880 --> 00:01:36.960]  但到底全福音的核心是什麼呢
[00:01:36.960 --> 00:01:39.440]  有時候可能不是那麼掌握
[00:01:39.440 --> 00:01:43.600]  甚至我們上帝是怎樣的一位上帝
[00:01:43.600 --> 00:01:45.360]  也未必全面了解
[00:01:45.920 --> 00:01:49.280]  今天這段聖經會談論到
[00:01:49.280 --> 00:01:54.000]  上帝和他的兒子以及他的子民
[00:01:54.000 --> 00:01:55.760]  他們有三個的關係
[00:01:55.760 --> 00:02:01.200]  今天我們活在一個造假的世界
[00:02:01.200 --> 00:02:06.080]  大家聽過我過去也和大家分享過
[00:02:06.080 --> 00:02:10.160]  原來在這個世界裏面很多人都是造假的
[00:02:10.160 --> 00:02:15.280]  不論是什麼國家什麼人種
[00:02:15.280 --> 00:02:18.800]  比如我自己本身以前所做的行業
[00:02:18.800 --> 00:02:20.560]  會計學
