
[00:00:00.000 --> 00:00:09.280]  接著我們早上,接下來的三堂想和大家去思想《猜及記》
[00:00:09.280 --> 00:00:15.880]  由以色列人受苦到他們離開埃及這段歷史
[00:00:15.880 --> 00:00:18.600]  這段歷史大家都很熟悉的
[00:00:18.600 --> 00:00:22.720]  但裏面有很多值得我們再去思想
[00:00:22.720 --> 00:00:27.640]  當我們看《猜及記》的時候,我們要回到創世紀
[00:00:27.640 --> 00:00:37.040]  當嘉南地在饑荒的時候,約瑟當時已經在埃及
[00:00:37.040 --> 00:00:42.760]  馬國知道約瑟在埃及,並且做了大官
[00:00:42.760 --> 00:00:44.760]  那裏有糧食
[00:00:44.760 --> 00:00:50.840]  馬國他沒有想過什麼,如果你在創世紀可以看到
[00:00:50.840 --> 00:00:56.360]  他就立刻去埃及,一方面他很想見到兒子
[00:00:56.360 --> 00:00:59.640]  約瑟很獨特,約瑟不是兒子
[00:00:59.640 --> 00:01:04.080]  但在亞國的心中他是兒子,因為拉結所生
[00:01:04.080 --> 00:01:07.280]  拉結是亞國的第一個太太
[00:01:07.280 --> 00:01:11.800]  所以約瑟一直在亞國看來是長子
[00:01:11.800 --> 00:01:18.600]  所以他被塞伊他穿,塞伊就是長子的命份
[00:01:18.600 --> 00:01:21.040]  其他兄弟就很不高興
[00:01:21.040 --> 00:01:25.480]  於是就妒忌他,甚至害他,埃及
[00:01:25.480 --> 00:01:27.480]  這是上帝的作為
[00:01:27.480 --> 00:01:33.080]  到了埃及之後正好就是為嘉南的饑荒預備出路
[00:01:33.080 --> 00:01:36.080]  梁國雄,沒口咒,不好意思
[00:01:36.080 --> 00:01:41.080]  就為他預備出路
[00:01:41.080 --> 00:01:46.880]  我們看到亞國當時差不多到埃及的時候
[00:01:46.880 --> 00:01:52.680]  他突然間醒來,他沒有祈禱,沒有問上帝
[00:01:52.680 --> 00:01:55.160]  他純粹很想見到兒子
[00:01:55.160 --> 00:02:00.880]  於是他就在憲制,他討告
[00:02:00.880 --> 00:02:06.880]  他問可不可以去埃及,其實那時候他已經全家都動了,已經去到邊境
[00:02:06.880 --> 00:02:10.880]  你看創世紀46章,上帝就在意象裡面說
[00:02:10.880 --> 00:02:15.680]  你去吧,我在那裡會祝福你的
[00:02:15.680 --> 00:02:18.880]  那我就放心了,於是就決定下去
[00:02:18.880 --> 00:02:24.680]  原來很早的時候,上帝已經向阿布拉罕預言
[00:02:24.680 --> 00:02:26.680]  就是他們要下埃及
[00:02:26.680 --> 00:02:32.280]  其實整件事情在後面裡面是有上帝的作為
[00:02:32.280 --> 00:02:38.080]  人是不知道,雖然亞國沒有問,後來他問了
[00:02:38.080 --> 00:02:41.080]  其實整件事情都在上帝安排裡面
[00:02:41.080 --> 00:02:45.080]  當他們去到埃及之後
[00:02:45.080 --> 00:02:53.080]  當時的統治者是一個愛人,不是埃及王
[00:02:53.080 --> 00:02:56.680]  所以約瑟當時是一個很特殊的地位
[00:02:56.680 --> 00:02:58.680]  因為約瑟都是移民,是外人
[00:02:58.680 --> 00:03:05.280]  當時的埃及王就是一個外族人統治
[00:03:05.280 --> 00:03:09.880]  所以他就給約瑟一個很獨特的地位,給他可以看管
[00:03:09.880 --> 00:03:13.680]  還有,如果從今天的眼光來看
[00:03:13.680 --> 00:03:17.080]  約瑟是很會做的,為什麼呢?
[00:03:17.080 --> 00:03:20.680]  因為當約瑟去到埃及的時候
[00:03:20.680 --> 00:03:27.480]  在埃及約瑟的名字就改了
[00:03:27.480 --> 00:03:33.480]  就叫做薩法拿蒂巴萊,很複雜
[00:03:33.480 --> 00:03:37.080]  那個名字代表著他很認同埃及的文化
[00:03:37.080 --> 00:03:43.880]  還有你記得他娶了埃及安程濟斯的女兒
[00:03:43.880 --> 00:03:48.680]  不是這麼簡單的,是一個太陽神
[00:03:48.680 --> 00:03:52.680]  所以約瑟是很投入埃及的
[00:03:52.680 --> 00:03:55.680]  他是希伯來人,他是敬畏上帝
[00:03:55.680 --> 00:03:59.680]  但是他在新環境裡面,他完全投入的
[00:03:59.680 --> 00:04:05.680]  改了名字,娶了這個祭司,做了高官等等
[00:04:05.680 --> 00:04:11.680]  有什麼意思呢?其實約瑟要進入這個地方
[00:04:11.680 --> 00:04:19.680]  上帝使用他,他沒有抗拒,不表示他離開信仰
[00:04:19.680 --> 00:04:24.680]  他有信仰底線的,他是要使他的族人
[00:04:24.680 --> 00:04:29.680]  和他使這幫人來到這裡,能夠安居樂業
[00:04:29.680 --> 00:04:32.680]  但是他並沒有失去他的身份
[00:04:32.680 --> 00:04:35.680]  他並沒有想著永遠在這裡住的,為什麼呢?
[00:04:35.680 --> 00:04:40.680]  當約瑟死的時候,他怎麼跟他的子女說
[00:04:40.680 --> 00:04:45.680]  他說,我的遺骸一定要撞回加拿大
[00:04:45.680 --> 00:04:48.680]  他沒有喪失了身份
[00:04:48.680 --> 00:04:53.680]  他始終以埃及作為他暫時的地方
[00:04:53.680 --> 00:04:58.680]  不過可惜,當他在這麼高的地位
[00:04:58.680 --> 00:05:04.680]  他的兄弟在那裡發展,在最好的地方住得也好
[00:05:04.680 --> 00:05:09.680]  生活也好,甚至幾百年之後,他們仍然很懷念這個生活
[00:05:09.680 --> 00:05:16.680]  在埃及裡面,慢慢地他就忘記了身份
[00:05:16.680 --> 00:05:19.680]  忘記了和上帝納約
[00:05:19.680 --> 00:05:22.680]  當這個外族皇帝死了之後
[00:05:22.680 --> 00:05:26.680]  本土的埃及皇再掌權的時候
[00:05:26.680 --> 00:05:30.680]  就不是那麼善待這些的移民了
[00:05:30.680 --> 00:05:36.680]  就覺得如果他們長大了,將來的人多了,就會很危險
[00:05:36.680 --> 00:05:43.680]  結果我們看出埃及記,就看到他們開始生活越來越艱難
[00:05:43.680 --> 00:05:48.680]  他們在埃及享受了有多少年的生活呢?
[00:05:48.680 --> 00:05:53.680]  是享受了280年,很安逸的生活
[00:05:53.680 --> 00:05:57.680]  接著那120年就很艱難
[00:05:57.680 --> 00:06:05.680]  所以那個年數,他們受苦的年數其實不是很多
[00:06:05.680 --> 00:06:10.680]  以至在那段日子裡面,不記得上帝,不記得敬拜
