
[00:00:00.000 --> 00:00:09.680]  今天我想和大家思想一個很嚴肅的問題
[00:00:09.680 --> 00:00:11.840]  就是當黑暗掌權的時候
[00:00:11.840 --> 00:00:16.240]  聖經是取自路加福音第22章
[00:00:16.240 --> 00:00:20.240]  當耶穌基督在夏森馬利園被人捉拿的時候
[00:00:20.240 --> 00:00:23.600]  耶穌說了一句話令我們非常迷惑
[00:00:23.600 --> 00:00:32.240]  他說黑暗掌權 猶他蒙白
[00:00:32.240 --> 00:00:35.760]  請我們再一次同心低頭 我們一起祈禱
[00:00:35.760 --> 00:00:37.600]  天父我們再一次感謝你
[00:00:37.600 --> 00:00:42.800]  給你話語提醒我們活在一個什麼樣的時代
[00:00:42.800 --> 00:00:46.720]  求你藉著你的話語去幫助我們
[00:00:46.720 --> 00:00:52.400]  教導我們 安慰我們 福澤我們
[00:00:52.400 --> 00:00:55.920]  我們這樣祈禱奉耶穌的名 阿們
[00:00:55.920 --> 00:00:59.760]  我相信這幾個星期
[00:00:59.760 --> 00:01:01.760]  大多數在香港來的人
[00:01:01.760 --> 00:01:08.560]  所有的話題都不會離開反送中這個課題
[00:01:08.560 --> 00:01:14.480]  有朋友寄了一篇文章給我
[00:01:14.480 --> 00:01:19.920]  我相信這篇文章是寄在時代論壇
[00:01:19.920 --> 00:01:23.760]  我一邊看這篇文章一邊看故事
[00:01:23.760 --> 00:01:27.600]  心裏面很激動和很難過
[00:01:27.600 --> 00:01:37.200]  這是一個6月14日目擊在金鐘警察鎮壓示威人士的一個女孩子的故事
[00:01:37.200 --> 00:01:40.400]  故事是這樣說的
[00:01:40.400 --> 00:01:41.920]  首先我介紹我自己
[00:01:41.920 --> 00:01:45.920]  我一個20出頭的大學生
[00:01:45.920 --> 00:01:48.880]  至少家人都很保護我
[00:01:48.880 --> 00:01:54.640]  每逢新聞說到殺人放火強姦搶劫的事件的時候
[00:01:54.640 --> 00:02:00.400]  家人就趁這個機會千萬的叮囑我要小心
[00:02:00.400 --> 00:02:04.720]  在這個社會裏面一不留神就會被人傷害
[00:02:04.720 --> 00:02:08.080]  所以從小到大
[00:02:08.080 --> 00:02:11.680]  造成我的性格是很蛇歪的
[00:02:11.680 --> 00:02:13.680]  很怕事的
[00:02:13.680 --> 00:02:18.560]  甚至晚上一個人出街都很害怕
[00:02:18.560 --> 00:02:23.680]  但是5年前的雨傘運動
[00:02:23.680 --> 00:02:26.880]  因為我家人說街道很危險
[00:02:26.880 --> 00:02:29.360]  我一次都沒有出過街
[00:02:29.360 --> 00:02:34.960]  雖然我心裏很想支持一些年青人去爭取
[00:02:34.960 --> 00:02:40.080]  但是心裏仍然覺得父母說那裏很危險
[00:02:40.080 --> 00:02:42.080]  我都沒有去
[00:02:42.080 --> 00:02:45.440]  從前我是一個不關心政治
[00:02:45.440 --> 00:02:48.000]  一個普通的香港人
[00:02:48.000 --> 00:02:52.080]  總覺得政局艱難難明
[00:02:52.080 --> 00:02:55.680]  輪到我一個小市民去發聲
[00:02:55.680 --> 00:03:02.720]  但這幾年來因為反國教雨傘運動我夢醒了
[00:03:02.720 --> 00:03:08.480]  而在這幾年來政府越來越大膽和誇張
[00:03:08.480 --> 00:03:10.480]  去管轄我們
[00:03:10.480 --> 00:03:12.480]  數不清的DQ
[00:03:12.480 --> 00:03:14.480]  洗頭艇
[00:03:14.480 --> 00:03:16.000]  明日大嶼
[00:03:16.000 --> 00:03:19.840]  再到今日的所謂送中修例
[00:03:19.840 --> 00:03:23.360]  我開始漸漸覺得這個地方
[00:03:23.360 --> 00:03:25.840]  已經不再是經濟繁榮
[00:03:25.840 --> 00:03:29.440]  社會穩定適宜居住的城市
[00:03:29.440 --> 00:03:32.640]  6月9日下午
[00:03:32.640 --> 00:03:34.640]  超過100萬人
[00:03:34.640 --> 00:03:38.400]  為反對逃犯條例修訂去遊行
[00:03:38.400 --> 00:03:42.240]  這是我第一次走上街上
[00:03:42.240 --> 00:03:44.240]  但又如何
[00:03:44.240 --> 00:03:48.400]  政府當晚宣布照原定計劃二讀
[00:03:48.400 --> 00:03:52.240]  及到6月10日的一個清晨
