
[00:00:00.000 --> 00:00:05.120]  各位親愛的兄弟姐妹 平安
[00:00:05.120 --> 00:00:11.680]  我今天會繼續和大家分享列祖的一些故事
[00:00:11.680 --> 00:00:16.280]  特別今天講到第四個列祖 約瑟
[00:00:16.280 --> 00:00:19.080]  今天我們要去的是什麼呢?
[00:00:19.080 --> 00:00:24.080]  就是有關親情的撕裂和復補
[00:00:24.080 --> 00:00:33.480]  我相信大家看到新聞的時候是非常多家庭的悲劇產生
[00:00:33.480 --> 00:00:38.560]  姐妹和姐妹之間 兄弟與兄弟之間
[00:00:38.560 --> 00:00:40.880]  甚至父母子女之間
[00:00:40.880 --> 00:00:46.120]  是因為一直的積怨 不惜下殺手
[00:00:46.120 --> 00:00:49.240]  要殺死對方 然後自己自殺
[00:00:49.240 --> 00:00:56.720]  有些人殺死了也不夠 還要將對方垂死
[00:00:56.720 --> 00:01:02.280]  我們看到這些新聞的時候 真是膽顫心驚
[00:01:02.280 --> 00:01:06.600]  為什麼我們周圍有這麼多這些悲劇呢?
[00:01:06.600 --> 00:01:12.560]  最近我看新聞的時候
[00:01:12.560 --> 00:01:21.760]  突然看到美國總統的選舉可能會出現一些變數
[00:01:21.760 --> 00:01:29.320]  當絕大部分的人都感覺到兩個爛蘋果到底選哪一個呢?
[00:01:29.320 --> 00:01:33.120]  兩個都已經差不多80 甚至過了80
[00:01:33.120 --> 00:01:38.400]  這麼年老的一些人 到底他們能夠做到什麼呢?
[00:01:38.400 --> 00:01:45.280]  另一方面 很多很多的問題 官司還在纏繞著
[00:01:45.280 --> 00:01:54.360]  突然間殺出一個 美國曾經一度成為第二號最受歡迎的總統
[00:01:54.360 --> 00:02:01.080]  甘迺迪總統的侄子出來競選
[00:02:01.080 --> 00:02:08.480]  這個侄子是羅伯甘迺迪的兒子 也是約翰甘迺迪的侄子
[00:02:08.480 --> 00:02:15.080]  大家都知道約翰甘迺迪是被謀殺被殺害的
[00:02:15.080 --> 00:02:18.800]  而羅伯甘迺迪同樣被殺害
[00:02:18.800 --> 00:02:23.920]  我回想起我在達勒斯讀神學的時候
[00:02:23.920 --> 00:02:30.960]  我曾經去參觀過那個兇手所在的建築物
[00:02:30.960 --> 00:02:36.720]  怎樣開槍殺死甘迺迪總統的片段
[00:02:36.720 --> 00:02:43.200]  這張圖片是1963年11月23日
[00:02:43.200 --> 00:02:49.040]  約翰甘迺迪和他的太太加上整隊車隊
[00:02:49.040 --> 00:02:55.200]  去到達勒斯做他們競選宣傳的時候
[00:02:55.200 --> 00:02:58.360]  就出現一個悲劇
[00:02:58.360 --> 00:03:03.280]  有一個兇手就在這棟建築物
[00:03:03.280 --> 00:03:08.400]  在達勒斯我去過這個地方 上去看了下
[00:03:08.400 --> 00:03:14.160]  後來這個兇案發生之後
[00:03:14.160 --> 00:03:17.920]  他們很快捉到一個嫌疑犯
[00:03:17.920 --> 00:03:22.720]  是涉嫌殺害總統約翰甘迺迪的兇手
[00:03:22.720 --> 00:03:28.400]  他的名字叫做李哈比·奧斯韋
[00:03:28.400 --> 00:03:32.240]  當我留意他的家庭背景的時候
[00:03:32.240 --> 00:03:36.960]  原來他基本上是一個破裂的家庭出來
[00:03:36.960 --> 00:03:44.000]  父母離婚 母親叫他再嫁給另一個人
[00:03:44.000 --> 00:03:49.760]  但這個人對他諸多侮辱、虐待
[00:03:49.760 --> 00:03:53.840]  因為這個原因他仇恨他母親
[00:03:53.840 --> 00:03:57.120]  為何要將他帶到一個這樣的地方
[00:03:57.120 --> 00:03:59.680]  被人這樣侵害
[00:03:59.680 --> 00:04:02.320]  到了16歲都不夠
[00:04:02.320 --> 00:04:05.200]  他已經沒辦法繼續讀書
[00:04:05.200 --> 00:04:06.800]  因為讀不起
[00:04:06.800 --> 00:04:09.040]  他在學校也被人取笑
[00:04:09.040 --> 00:04:11.360]  笑他像豬般蠢
[00:04:11.360 --> 00:04:14.640]  另外他心裏充滿憤怒
[00:04:14.640 --> 00:04:20.720]  後來他曾經出來工作
[00:04:20.720 --> 00:04:24.800]  19歲的時候賺到一些錢
[00:04:24.800 --> 00:04:33.440]  儲起來想和一個女孩拍拖結婚
[00:04:33.440 --> 00:04:36.080]  拍了一段很短的時間
[00:04:36.080 --> 00:04:38.080]  他就很想和她結婚
[00:04:38.080 --> 00:04:43.200]  他買了一個他積累的錢
[00:04:43.200 --> 00:04:45.280]  算是很貴重的
[00:04:45.280 --> 00:04:47.280]  來送給她
[00:04:47.280 --> 00:04:54.400]  沒想到在他和女朋友求婚的時間
[00:04:54.400 --> 00:04:59.840]  他的女朋友也請了一些朋友到他們家裏
[00:04:59.840 --> 00:05:02.640]  拆禮物的時候
[00:05:02.640 --> 00:05:08.160]  他就拆了哈菲利·奧斯威的禮物
[00:05:08.160 --> 00:05:13.680]  拿出來給那些人看
[00:05:13.680 --> 00:05:15.680]  他們說你們來看看
[00:05:15.680 --> 00:05:22.880]  我的男朋友只能送一些這樣的東西給我
[00:05:22.880 --> 00:05:25.200]  然後就放下了
[00:05:25.200 --> 00:05:27.200]  沒拿到
[00:05:27.200 --> 00:05:30.240]  由那時候開始
[00:05:30.240 --> 00:05:32.800]  他們就分手了
[00:05:32.800 --> 00:05:37.200]  沒有繼續拍拖
[00:05:37.200 --> 00:05:43.040]  哈菲利·奧斯威經過這一役之後
[00:05:43.040 --> 00:05:45.760]  就做了一個誓願
