
[00:00:00.000 --> 00:00:06.000]  請姐妹處內平安
[00:00:06.000 --> 00:00:12.000]  我應該講新年蒙恩 福輝滿人
[00:00:12.000 --> 00:00:16.000]  這是去年的 不用緊張
[00:00:16.000 --> 00:00:25.000]  去年我們一起讀了舊約聖經最後一卷《馬拉紀書》
[00:00:25.000 --> 00:00:34.000]  今年我想回到摩西五經 聖經最早的五卷
[00:00:34.000 --> 00:00:40.000]  不過我想用一個比較小眾的角度
[00:00:40.000 --> 00:00:49.000]  來選讀五經當中創出的紋身
[00:00:49.000 --> 00:01:01.000]  五段或平時我們不一定有機會接觸討論講解的經文
[00:01:01.000 --> 00:01:09.000]  所以我選擇的題目是五經中的性別神學
[00:01:09.000 --> 00:01:12.000]  很少講 我也很少講
[00:01:12.000 --> 00:01:14.000]  所以請大家為我祈禱
[00:01:14.000 --> 00:01:19.000]  不要說錯話 被人在網上罵
[00:01:19.000 --> 00:01:35.000]  我選擇的出發點是多謝忠臣院長黃國維牧師出版的一本書
[00:01:35.000 --> 00:01:39.000]  這本書是家庭神學
[00:01:39.000 --> 00:01:47.000]  他就任忠臣院長之後所出的一本書
[00:01:47.000 --> 00:01:56.000]  家庭神學其實是脫胎自他的博士論文
[00:01:56.000 --> 00:01:59.000]  這本深很多
[00:01:59.000 --> 00:02:08.000]  剛才那本我會推薦給沙孫的團契來做Book Study
[00:02:08.000 --> 00:02:15.000]  我們的使命宣言是建立家庭
[00:02:15.000 --> 00:02:26.000]  究竟聖經我們的信仰怎樣教導我們關於家庭這件事呢
[00:02:26.000 --> 00:02:35.000]  其實伯納院長的博士論文是在17年出版
[00:02:35.000 --> 00:02:42.000]  這是一個神學倫理的專題探討
[00:02:42.000 --> 00:02:46.000]  Beginning from Man and Woman
[00:02:46.000 --> 00:02:52.000]  如果說華人教會當中對於神學倫理
[00:02:52.000 --> 00:02:57.000]  我相信伯納院長可能不喜歡
[00:02:57.000 --> 00:03:02.000]  認了第二沒有人敢認第一
[00:03:02.000 --> 00:03:06.000]  所以這是一個權威的書籍
[00:03:06.000 --> 00:03:11.000]  不過不推薦你看免得你看不明白亂說
[00:03:11.000 --> 00:03:14.000]  這是一個很重要的基礎
[00:03:14.000 --> 00:03:16.000]  書名提醒我
[00:03:16.000 --> 00:03:20.000]  我讀大學的時候1975年
[00:03:20.000 --> 00:03:23.000]  美國Fuller神學院
[00:03:23.000 --> 00:03:26.000]  現在山火很厲害
[00:03:26.000 --> 00:03:33.000]  Pasadena那裡的神學院的神學教授Paul King Jewett
[00:03:33.000 --> 00:03:35.000]  出版了這本書
[00:03:35.000 --> 00:03:38.000]  Man as Male and Female
[00:03:38.000 --> 00:03:41.000]  長話短說我不是今天介紹書籍
[00:03:41.000 --> 00:03:44.000]  不過忍不住多說兩句
[00:03:44.000 --> 00:03:48.000]  這本書引起軒然大波
[00:03:48.000 --> 00:03:56.000]  在70年代末被神學院院董
[00:03:56.000 --> 00:04:00.000]  攻擊Fuller神學院不信聖經
[00:04:00.000 --> 00:04:03.000]  其實很不幸
[00:04:03.000 --> 00:04:12.000]  所以我也要為他說一句公道的話
[00:04:12.000 --> 00:04:18.000]  Professor Jewett在他病逝之後
[00:04:18.000 --> 00:04:24.000]  這本書是他的學生同事幫他出版的
[00:04:24.000 --> 00:04:26.000]  一本遺作
[00:04:26.000 --> 00:04:30.000]  這本書很深奧系統神學
[00:04:30.000 --> 00:04:37.000]  如果你對同性婚姻同性戀的運動
[00:04:37.000 --> 00:04:41.000]  你有很濃厚的興趣
[00:04:41.000 --> 00:04:48.000]  我推薦Professor Jewett這本書的其中一章
[00:04:48.000 --> 00:04:50.000]  討論這個問題
[00:04:50.000 --> 00:04:56.000]  是我讀過在福音信仰神學討論
[00:04:56.000 --> 00:04:59.000]  homosexuality這個課題
[00:04:59.000 --> 00:05:02.000]  討論得非常精彩
[00:05:02.000 --> 00:05:06.000]  並且他不是一面倒
[00:05:06.000 --> 00:05:09.000]  保守還是開放
[00:05:09.000 --> 00:05:12.000]  不是神學不是這樣說話的
[00:05:12.000 --> 00:05:14.000]  教會會這樣說話
[00:05:14.000 --> 00:05:19.000]  所以分得清楚不同層次不同的討論
[00:05:19.000 --> 00:05:21.000]  但這不是每個人都看得明白的
[00:05:21.000 --> 00:05:24.000]  如果這個問題煩擾你
