
[00:00:00.000 --> 00:00:08.000]  如果有些人不知道我是杜珍堂會友,我都有點詫異的
[00:00:08.000 --> 00:00:11.000]  我是的,我是的
[00:00:11.000 --> 00:00:18.000]  很難得今天在這個聯合崇拜裏面
[00:00:18.000 --> 00:00:21.000]  我們一齊和差傳將我們連在一起
[00:00:21.000 --> 00:00:28.000]  亦都聽到太東北的那個意象,非常的感動
[00:00:28.000 --> 00:00:32.000]  亦都見到有些忠心的牧者,忠心的宣教士
[00:00:32.000 --> 00:00:36.000]  永遠都是激勵我們做宣教一個最好的原因
[00:00:36.000 --> 00:00:40.000]  原來有人可以的,有人擺相可以被神使用的
[00:00:40.000 --> 00:00:50.000]  又見到小朋友,見到我們的牧者,我們的執事帶頭的開始進場
[00:00:50.000 --> 00:00:52.000]  都令我心裏面很得激勵的
[00:00:52.000 --> 00:01:01.000]  我不知道大家有多少人很期望每一年兩年一次的聯合差傳崇拜
[00:01:01.000 --> 00:01:04.000]  有多少人很期望的,你可不可以讓我看到
[00:01:04.000 --> 00:01:07.000]  還是你這麼少的就真的
[00:01:07.000 --> 00:01:09.000]  再舉一次我問得清楚一點
[00:01:09.000 --> 00:01:13.000]  有多少人很期望這個聯合崇拜的請舉手
[00:01:13.000 --> 00:01:16.000]  真的這麼少的嗎
[00:01:16.000 --> 00:01:19.000]  OK,算了
[00:01:20.000 --> 00:01:26.000]  今天的題目是劃時代的宣教策略
[00:01:26.000 --> 00:01:30.000]  坦白說我不是宣教學者,不是宣教的權威
[00:01:30.000 --> 00:01:32.000]  其實我不懂的
[00:01:32.000 --> 00:01:41.000]  時代如何轉變,在這個時間裏面有什麼方式的策略呢
[00:01:41.000 --> 00:01:45.000]  坦白說我是一個門外漢,我只是一個牧者
[00:01:45.000 --> 00:01:51.000]  希望用上帝給我們的說話,能夠一起回應上帝的心意
[00:01:51.000 --> 00:01:55.000]  不過如果你說劃時代是在一個時代裏面
[00:01:55.000 --> 00:02:01.000]  可能是轉變,可能是一個教會或者當時的信徒信眾們
[00:02:01.000 --> 00:02:03.000]  沒有預備到的情況之下
[00:02:03.000 --> 00:02:09.000]  他在這樣的轉變過程當中,他怎樣繼續完成宣教的使命呢
[00:02:09.000 --> 00:02:11.000]  今天我選的約拿書
[00:02:11.000 --> 00:02:14.000]  我覺得無論是約拿書也好,香港也好
[00:02:14.000 --> 00:02:18.000]  或者任何時代也好,都有很多類似的地方
[00:02:18.000 --> 00:02:28.000]  我今天用的題目是帶著矛盾去猜拳
[00:02:28.000 --> 00:02:30.000]  對宣教或者猜拳
[00:02:30.000 --> 00:02:33.000]  其實人生有很多矛盾的
[00:02:33.000 --> 00:02:36.000]  你承認也好,不承認也好
[00:02:36.000 --> 00:02:38.000]  我們就是在矛盾裏面成長的
[00:02:38.000 --> 00:02:40.000]  有人這樣說
[00:02:41.000 --> 00:02:46.000]  他說當你一個人的時候,你就很想有愛情
[00:02:46.000 --> 00:02:50.000]  但當你兩個人的時候,你很想要有空間,要有自由
[00:02:50.000 --> 00:02:53.000]  很矛盾,不知道是怎樣
[00:02:53.000 --> 00:02:55.000]  現實就是這樣
[00:02:55.000 --> 00:02:58.000]  未結婚想結婚,結了婚就不想那個人一直黏著
[00:02:58.000 --> 00:03:01.000]  這個不單只是個人的問題
[00:03:01.000 --> 00:03:04.000]  在整個的時勢局勢裏面
[00:03:04.000 --> 00:03:08.000]  都會在矛盾裏面運作
[00:03:08.000 --> 00:03:12.000]  中美的關係,或者其他的社會大事
[00:03:12.000 --> 00:03:14.000]  都會在矛盾裏面運作
[00:03:14.000 --> 00:03:18.000]  信仰也是,甚至有人將矛盾
[00:03:18.000 --> 00:03:22.000]  變成了攻擊基督教的一些理由
[00:03:22.000 --> 00:03:26.000]  曾經有一個攻擊基督教的網站
[00:03:26.000 --> 00:03:29.000]  提出很多的理由,覺得聖經有很多矛盾
[00:03:29.000 --> 00:03:32.000]  譬如在歷史書裏面記載
[00:03:32.000 --> 00:03:37.000]  耶和華使神使大衛數點民數
[00:03:37.000 --> 00:03:43.000]  整個地方寫著撒旦搞動大衛的心去數點民數
[00:03:43.000 --> 00:03:45.000]  他覺得這是有矛盾的
[00:03:45.000 --> 00:03:49.000]  說到猜拳,都是在矛盾裏面處理的
[00:03:49.000 --> 00:03:54.000]  經常見到的就是教會究竟要外展呢?
[00:03:54.000 --> 00:03:56.000]  還是要關顧呢?
[00:03:56.000 --> 00:03:59.000]  坦白說,在這麼多年來,都經歷過這個問題
[00:03:59.000 --> 00:04:02.000]  你講傳福音,有些人說教會裏面都未搞定
[00:04:02.000 --> 00:04:06.000]  你講教會裏面,哇,你這麼內敘,都不遵守大使命
[00:04:06.000 --> 00:04:08.000]  永遠都有這個矛盾在當中
[00:04:08.000 --> 00:04:11.000]  其實這些日光之下無新事
[00:04:11.000 --> 00:04:15.000]  任何情況之下,我們都要在矛盾裏面
[00:04:15.000 --> 00:04:18.000]  預備迎見上帝的吩咐
[00:04:18.000 --> 00:04:21.000]  我用約拿書,相信大家非常熟悉
[00:04:21.000 --> 00:04:25.000]  無論你是任何年紀的人,都很喜歡看約拿書的故事
[00:04:25.000 --> 00:04:29.000]  我大概可以猜想得到,在十二小仙之書裏面
[00:04:29.000 --> 00:04:31.000]  約拿書是大家最熟悉的
[00:04:31.000 --> 00:04:34.000]  或者差不多可以說是唯一熟悉的
[00:04:34.000 --> 00:04:38.000]  其他的書卷,我們可能就不太熟悉
[00:04:38.000 --> 00:04:40.000]  不過都介紹少少資料
