
[00:00:00.000 --> 00:00:06.000]  新年快樂!各位午安!
[00:00:06.000 --> 00:00:11.000]  今天我們會繼續看路加福音的信息
[00:00:11.000 --> 00:00:15.000]  去到第22章耶穌開始受死的一段
[00:00:15.000 --> 00:00:17.000]  我們再次和心雞堂同期
[00:00:17.000 --> 00:00:21.000]  我們感謝你給你寶貴話語作為我們生命的指引
[00:00:21.000 --> 00:00:27.000]  求你最重要的話語去提醒、淵免、教導、挑戰、安慰、福禱我們
[00:00:27.000 --> 00:00:31.000]  我們祈禱奉耶穌名求
[00:00:31.000 --> 00:00:34.000]  如果大家留意關於中國的消息
[00:00:34.000 --> 00:00:41.000]  或者在報紙或者在26台的電視裡面都看到一個消息
[00:00:41.000 --> 00:00:45.000]  就是成都的秋雨教會的主任牧師王怡
[00:00:45.000 --> 00:00:49.000]  在幾個星期前的一天
[00:00:49.000 --> 00:00:54.000]  星期日晚上在崇拜的時候被公安逮捕
[00:00:54.000 --> 00:00:59.000]  他被控煽動顛覆國家政權
[00:00:59.000 --> 00:01:01.000]  除了王怡牧師之外
[00:01:01.000 --> 00:01:03.000]  還有他的妻子蔣蓉
[00:01:03.000 --> 00:01:07.000]  還有超過100個會友和長老
[00:01:07.000 --> 00:01:11.000]  在畫面和傳媒我們看到一些照片
[00:01:11.000 --> 00:01:15.000]  發現他們身上有虐待的跡痕
[00:01:15.000 --> 00:01:20.000]  有瘀傷、擦傷、頭髮被扯爛
[00:01:20.000 --> 00:01:25.000]  王怡是我一個非常尊重的中國內地牧師
[00:01:25.000 --> 00:01:29.000]  他本身是一個很出名的律師
[00:01:29.000 --> 00:01:30.000]  是一個大學教授
[00:01:30.000 --> 00:01:33.000]  後來信了耶穌就開始在成都裡面
[00:01:33.000 --> 00:01:36.000]  開設這家叫秋雨教會
[00:01:36.000 --> 00:01:38.000]  教會發展得非常快
[00:01:38.000 --> 00:01:40.000]  他們被逼捕
[00:01:40.000 --> 00:01:44.000]  在王怡被逮捕的時候
[00:01:44.000 --> 00:01:46.000]  他有這樣說過
