
[00:00:00.000 --> 00:00:05.680]  各位嘉南道真堂的弟兄姊妹早安
[00:00:05.680 --> 00:00:09.520]  我早一天在播道神學院的同工協助下
[00:00:09.520 --> 00:00:13.400]  當然也有教會、安等等的同工幫忙下
[00:00:13.400 --> 00:00:18.280]  就將這個講道預先錄製和大家一起分享
[00:00:18.280 --> 00:00:21.640]  過去一個星期香港的疫情非常嚴峻
[00:00:21.640 --> 00:00:24.920]  每天都有千計甚至有機會
[00:00:24.920 --> 00:00:29.680]  現在預計將會有萬宗的個案每日發生
[00:00:29.680 --> 00:00:33.520]  所以在這情況下教會同工想盡很多辦法
[00:00:33.520 --> 00:00:35.040]  我們希望實體
[00:00:35.040 --> 00:00:38.160]  然後就算不行也希望可以直播
[00:00:38.160 --> 00:00:43.200]  但最後種種原因下同工決定用錄播的形式
[00:00:43.200 --> 00:00:46.800]  在這情況下當然有很多不理想的地方
[00:00:46.800 --> 00:00:50.240]  但我更加思想
[00:00:50.240 --> 00:00:54.480]  Simple Church很簡單的教會
[00:00:54.480 --> 00:00:57.760]  初期的教會沒有什麼體制
[00:00:57.760 --> 00:01:02.400]  甚至從今天角度來說是比較不完善的
[00:01:02.400 --> 00:01:05.440]  但卻是蒙神喜悅的
[00:01:05.440 --> 00:01:10.800]  我想在疫情之下我們更加珍惜聽道
[00:01:10.800 --> 00:01:12.800]  我們敬拜上帝的時間
[00:01:12.800 --> 00:01:19.040]  所以現在在家中我希望你能夠和弟兄姊妹分享不同的地方
[00:01:19.040 --> 00:01:24.640]  我們都可以以真誠的態度一齊來敬拜上帝
[00:01:24.640 --> 00:01:29.120]  本來我打算在這段時間有其他訊息和大家分享
[00:01:29.120 --> 00:01:32.640]  但由於不能面對面和大家分享
[00:01:32.640 --> 00:01:38.960]  所以最後我選擇了今天和大家分享哥林多前書第八章的經文
[00:01:38.960 --> 00:01:44.160]  這段經文是因為當我年少的時候
[00:01:44.160 --> 00:01:48.320]  我過新曆年、農曆年
[00:01:48.320 --> 00:01:53.200]  在剛剛信主的期間
[00:01:53.200 --> 00:01:57.680]  有很多關於中國人傳統過年的習俗
[00:01:57.680 --> 00:01:59.680]  究竟基督徒應該怎樣看呢?
[00:01:59.680 --> 00:02:02.880]  我記得我中學的同學
[00:02:02.880 --> 00:02:06.480]  他提出一個很認真的問題
[00:02:06.480 --> 00:02:09.120]  他說基督徒應不應該收利是呢?
[00:02:09.120 --> 00:02:12.960]  利是有傳統的迷信背景
[00:02:12.960 --> 00:02:17.120]  也有不勞而獲的味道
[00:02:17.120 --> 00:02:19.120]  應不應該收呢?
[00:02:19.120 --> 00:02:23.280]  有些人提出過年的時候要膽下著
[00:02:23.280 --> 00:02:26.320]  家人的娛樂可不可以呢?
[00:02:26.320 --> 00:02:34.720]  有些人說過年風利是會不會有迷信的色彩呢?
[00:02:34.720 --> 00:02:37.920]  不過其中一個不單只是過年
