
[00:00:00.000 --> 00:00:04.120]  聽諮媒 早安
[00:00:04.120 --> 00:00:07.760]  今天和大家看的經文有兩處
[00:00:07.760 --> 00:00:09.680]  先看哥倫多前書
[00:00:09.680 --> 00:00:11.760]  保羅寫給哥倫多教會
[00:00:11.760 --> 00:00:13.800]  不過不是第一封 雖然叫做前書
[00:00:13.800 --> 00:00:15.920]  應該有前前書的 但沒有收入
[00:00:15.920 --> 00:00:18.560]  可能是失日 沒有收入來聖經
[00:00:18.560 --> 00:00:20.880]  哥倫多前書裏面都有提到
[00:00:20.880 --> 00:00:22.880]  之前寫信給你們看的那些東西
[00:00:22.880 --> 00:00:25.920]  保羅 哥倫多前書的第一章
[00:00:25.920 --> 00:00:29.120]  我們看26至31節
[00:00:30.120 --> 00:00:34.120]  哥倫多前書第一章26至31節請聽我讀出
[00:00:35.120 --> 00:00:37.800]  弟們 可見你們蒙召的
[00:00:37.800 --> 00:00:39.800]  按著肉體有智慧的不多
[00:00:39.800 --> 00:00:43.800]  有能力的不多 有尊貴的也不多
[00:00:43.800 --> 00:00:46.000]  上帝卻揀選了世上愚絕的
[00:00:46.000 --> 00:00:48.200]  叫有智慧的羞愧
[00:00:48.200 --> 00:00:50.400]  又揀選了世上軟弱的
[00:00:50.400 --> 00:00:52.400]  叫那強壯的羞愧
[00:00:52.400 --> 00:00:55.000]  上帝也揀選了世上卑賤的
[00:00:55.000 --> 00:00:57.800]  被人厭惡的 以及那無憂的
[00:00:57.800 --> 00:01:00.000]  為要廢掉那憂的
[00:01:00.000 --> 00:01:02.000]  洗一切有血氣的
[00:01:02.000 --> 00:01:05.600]  在上帝面前一個也不能自誇
[00:01:05.600 --> 00:01:09.400]  但你們得在基督耶穌女是本乎上帝
[00:01:09.400 --> 00:01:13.000]  上帝又使她成為我們的智慧
[00:01:13.000 --> 00:01:15.400]  公義 聖潔 救贖
[00:01:15.400 --> 00:01:17.200]  如經上所記
