
[00:00:00.000 --> 00:00:05.400]  各位電影主播 各位朋友 你們好
[00:00:05.400 --> 00:00:08.000]  歡迎大家參加我們三藩市報道會
[00:00:08.000 --> 00:00:10.000]  網上的午後崇拜
[00:00:10.000 --> 00:00:13.200]  今天我們繼續思想約翰福音的信息
[00:00:13.200 --> 00:00:15.600]  我們來到約翰福音第十六章
[00:00:15.600 --> 00:00:17.800]  二十五節至三十三節
[00:00:17.800 --> 00:00:20.200]  題目叫信與覺
[00:00:20.200 --> 00:00:23.200]  在開始思想這段聖經之前
[00:00:23.200 --> 00:00:25.600]  請我們同心低頭 或者同禱告
[00:00:25.600 --> 00:00:28.600]  前面的人我稱呼我們多謝你
[00:00:28.600 --> 00:00:32.200]  因為你測驗聖靈來到我們當中
[00:00:32.200 --> 00:00:34.200]  記著你的話語
[00:00:34.200 --> 00:00:36.800]  祂叫我們能夠有自省
[00:00:36.800 --> 00:00:38.400]  知道我們是一個罪人
[00:00:38.400 --> 00:00:41.600]  接受你做我們個人救主和主宰
[00:00:41.600 --> 00:00:44.400]  求聖靈在我們心裏面動功
[00:00:44.400 --> 00:00:46.400]  讓我們有醒覺的心
[00:00:46.400 --> 00:00:48.400]  不是夢察察做人
[00:00:48.400 --> 00:00:50.600]  求你真是祝福帶領我們
[00:00:50.600 --> 00:00:54.200]  祈禱奉耶穌基督命求 阿們
[00:00:54.200 --> 00:00:59.800]  在中國佛教當中有一個支派叫禪宗
[00:00:59.800 --> 00:01:03.400]  禪宗是處於六祖慧能
[00:01:03.400 --> 00:01:06.800]  大家可能聽過他所提及的一首詩
[00:01:06.800 --> 00:01:11.000]  菩提本無處 明鏡亦非台
[00:01:11.000 --> 00:01:14.800]  本來無一物 何處惹塵埃呢
[00:01:14.800 --> 00:01:16.800]  當其他人唱到說
[00:01:16.800 --> 00:01:22.000]  是時勤忽悉 莫處惹塵埃的時候
[00:01:22.000 --> 00:01:26.600]  他就反駁 本來無一物 何處惹塵埃呢
[00:01:26.600 --> 00:01:29.600]  究竟甚麼是禪宗呢
[00:01:29.600 --> 00:01:32.400]  禪其實是一種醒悟
[00:01:32.400 --> 00:01:34.400]  是一種覺醒
[00:01:34.400 --> 00:01:37.400]  所謂眾人皆醉我獨醒
[00:01:37.400 --> 00:01:41.200]  是一種醒覺 是一種醒悟
[00:01:41.200 --> 00:01:45.600]  而這種醒悟的途徑是不靠明智
[00:01:45.600 --> 00:01:49.000]  不靠言語 純是一種體驗
[00:01:49.000 --> 00:01:51.600]  所以禪宗是不納文智
[00:01:51.600 --> 00:01:55.600]  有他的理論 純是個人體驗去醒覺
[00:01:55.600 --> 00:01:57.600]  去醒悟的
[00:01:57.600 --> 00:01:59.600]  到唐朝晚年的時候
[00:01:59.600 --> 00:02:02.400]  流行一種所謂公案
[00:02:02.400 --> 00:02:07.200]  所謂公案是來自古代禪師的日語
[00:02:07.200 --> 00:02:11.200]  和問答 或者是提示和質問
[00:02:11.200 --> 00:02:18.600]  幫助那些信眾去醒覺 去悟 去體驗
[00:02:18.600 --> 00:02:22.200]  或者是參透一些公案
[00:02:22.200 --> 00:02:26.200]  就立即啟悟過來 明白道理
[00:02:26.200 --> 00:02:30.200]  這些就是頓悟
[00:02:30.200 --> 00:02:34.800]  耳祖慧能有一次向達摩禪師說
[00:02:34.800 --> 00:02:39.600]  我心很不安 惱惱亂
[00:02:39.600 --> 00:02:42.600]  可不可以請老師替我安心
[00:02:42.600 --> 00:02:44.600]  達摩反問他
[00:02:44.600 --> 00:02:48.600]  你把你的心拿出來 讓我替你安穩
[00:02:48.600 --> 00:02:52.600]  過了一會兒 慧可回答
[00:02:52.600 --> 00:02:56.600]  我找了很久 也找不到心
[00:02:56.600 --> 00:03:00.600]  達摩說 好 我已經把你的心安好了
[00:03:00.600 --> 00:03:04.600]  你聽了這個公案 你會醒悟些什麼呢?
[00:03:04.600 --> 00:03:06.600]  就抓著頭不知在想什麼呢?
[00:03:06.600 --> 00:03:10.600]  另外一個例子 有一個和尚問
[00:03:10.600 --> 00:03:13.600]  世界上有什麼是最貴的?
[00:03:13.600 --> 00:03:17.600]  這個禪師曹山回答
[00:03:17.600 --> 00:03:20.600]  死貓頭是最貴的
[00:03:20.600 --> 00:03:25.600]  和尚問死貓頭最貴是什麼?
[00:03:25.600 --> 00:03:29.600]  曹山說 沒人會出錢 沒人會出價
[00:03:29.600 --> 00:03:32.600]  嘩 這樣也行?
[00:03:32.600 --> 00:03:35.600]  你對這個公案又有什麼醒悟呢?
[00:03:35.600 --> 00:03:37.600]  又是另外一個例子
[00:03:37.600 --> 00:03:40.600]  有個和尚跟曹山說
[00:03:40.600 --> 00:03:43.600]  我終身都是病 請老師醫治一下
[00:03:43.600 --> 00:03:45.600]  曹山說 不醫
[00:03:45.600 --> 00:03:49.600]  和尚覺得很奇怪 問他為什麼不醫?
[00:03:49.600 --> 00:03:53.600]  曹山說 是叫你求生不能 求死不得
[00:03:53.600 --> 00:03:55.600]  嘩 真厲害
[00:03:55.600 --> 00:03:59.600]  這種醒悟是什麼意思呢?
[00:03:59.600 --> 00:04:02.600]  這個公案給你有什麼醒悟呢?
[00:04:02.600 --> 00:04:04.600]  還有一個更離譜的例子
[00:04:04.600 --> 00:04:09.600]  一個潮州禪師向弟子文遠說
[00:04:09.600 --> 00:04:11.600]  我們來個比賽
[00:04:11.600 --> 00:04:16.600]  看誰用比喻將自己說得最低最賤
[00:04:16.600 --> 00:04:20.600]  如果能說得最低最賤就贏了
[00:04:20.600 --> 00:04:22.600]  我就輸一塊餅給你吃
[00:04:22.600 --> 00:04:26.600]  師父先說 我是一隻驢
[00:04:26.600 --> 00:04:29.600]  徒弟說 我是驢的屁股
[00:04:29.600 --> 00:04:35.600]  師父說 我是驢的屁股出來的糞
[00:04:35.600 --> 00:04:37.600]  大便
[00:04:37.600 --> 00:04:40.600]  徒弟說 我是糞裡的蟲
[00:04:40.600 --> 00:04:43.600]  師父上了半天都接不下去
[00:04:43.600 --> 00:04:45.600]  很不高興問
[00:04:45.600 --> 00:04:48.600]  你在糞裡做什麼?
[00:04:48.600 --> 00:04:51.600]  徒弟說 在那裡度假
[00:04:51.600 --> 00:04:53.600]  師父嘆一口氣說
[00:04:53.600 --> 00:04:55.600]  你真厲害 你是可以的
[00:04:55.600 --> 00:04:57.600]  輸你贏 輸你贏
[00:04:57.600 --> 00:04:59.600]  你聽完這個話
[00:04:59.600 --> 00:05:02.600]  你又誤會到什麼真理呢?
[00:05:02.600 --> 00:05:06.600]  其實佛教和基督教主要分別在哪裡呢?
[00:05:06.600 --> 00:05:09.600]  佛教是說醒覺 自覺
[00:05:09.600 --> 00:05:13.600]  自己去醒悟 靠自己的力量去覺醒
[00:05:13.600 --> 00:05:16.600]  而基督教是說信
[00:05:16.600 --> 00:05:18.600]  或者我們用一個比喻
[00:05:18.600 --> 00:05:21.600]  假如我們要搭飛機或者要去香港
[00:05:21.600 --> 00:05:24.600]  佛教是說渡 背渡禪師
[00:05:24.600 --> 00:05:26.600]  什麼渡什麼渡
[00:05:26.600 --> 00:05:28.600]  如果去香港就渡過太平洋
[00:05:28.600 --> 00:05:31.600]  渡過生死海 去到彼岸
[00:05:31.600 --> 00:05:35.600]  靠自己的力量 靠自己游水渡過
[00:05:35.600 --> 00:05:37.600]  但對基督教來說
[00:05:37.600 --> 00:05:39.600]  你永遠游不過去
[00:05:39.600 --> 00:05:41.600]  你坐飛機
[00:05:41.600 --> 00:05:44.600]  你上飛機師 飛機就飛你過去
[00:05:44.600 --> 00:05:47.600]  所以佛教是人本主義
[00:05:47.600 --> 00:05:50.600]  人道主義 人民主義的宗教
[00:05:50.600 --> 00:05:53.600]  問題就是 匿者不能自救
[00:05:53.600 --> 00:05:55.600]  壯士不能自居其身
[00:05:55.600 --> 00:05:59.600]  我們是不是真的可以能夠度悟呢?
[00:05:59.600 --> 00:06:03.600]  是不是看了這些公案就可以醒悟過來呢?
[00:06:03.600 --> 00:06:07.600]  是不是葡萄本無樹 明鏡亦飛台呢?
[00:06:07.600 --> 00:06:12.600]  是不是世上無一物 何處惹塵埃呢?
[00:06:12.600 --> 00:06:16.600]  或者你去問問自己
[00:06:16.600 --> 00:06:18.600]  何處塵埃?
[00:06:18.600 --> 00:06:21.600]  不就是一樣是塵埃嗎?
[00:06:21.600 --> 00:06:24.600]  你有癌症就有癌症
[00:06:24.600 --> 00:06:26.600]  有塵埃就有塵埃
[00:06:26.600 --> 00:06:28.600]  這些是客觀的事實
[00:06:28.600 --> 00:06:30.600]  你不能夠說沒有
[00:06:30.600 --> 00:06:32.600]  那些癌症就會走了
[00:06:32.600 --> 00:06:34.600]  這只不過是自欺欺人
[00:06:34.600 --> 00:06:37.600]  就好像莊子在他太太死後跳舞
[00:06:37.600 --> 00:06:39.600]  他說去生死 去長短
[00:06:39.600 --> 00:06:41.600]  這就是自欺欺人
[00:06:41.600 --> 00:06:43.600]  是一個木頭人
[00:06:43.600 --> 00:06:45.600]  沒錯 基督教也是講覺醒
[00:06:45.600 --> 00:06:47.600]  也講醒悟過來
[00:06:47.600 --> 00:06:49.600]  但它不是靠自己的力量
[00:06:49.600 --> 00:06:52.600]  而是靠神的力量 靠信
[00:06:52.600 --> 00:06:54.600]  是因為人領悟到
[00:06:54.600 --> 00:06:57.600]  當我們醒悟的時候
[00:06:57.600 --> 00:06:59.600]  我們就能夠去做
[00:06:59.600 --> 00:07:02.600]  當我們醒悟的時候
[00:07:02.600 --> 00:07:05.600]  也是聖靈在我們心中動弓的時候
[00:07:05.600 --> 00:07:08.600]  開啟了我們的眼睛
[00:07:08.600 --> 00:07:11.600]  看到我們的廬山真面目
[00:07:11.600 --> 00:07:14.600]  我記得以前我在一間中學教書
[00:07:14.600 --> 00:07:16.600]  在香港的時候
[00:07:16.600 --> 00:07:18.600]  我教的科目其中一科是聖經科
[00:07:18.600 --> 00:07:20.600]  不少學生讀聖經
[00:07:20.600 --> 00:07:22.600]  只是為了應付考試
[00:07:22.600 --> 00:07:24.600]  考試完了什麼都不記得了
[00:07:24.600 --> 00:07:27.600]  後來他們有機會去參加教會
[00:07:27.600 --> 00:07:28.600]  參加查經班
[00:07:28.600 --> 00:07:30.600]  讀同一本聖經
[00:07:30.600 --> 00:07:32.600]  奇怪了
[00:07:32.600 --> 00:07:37.600]  讀到阿瑟突然心中領悟過來
[00:07:37.600 --> 00:07:39.600]  我相信在我們中間
[00:07:39.600 --> 00:07:41.600]  不少人都有過這個經歷
[00:07:41.600 --> 00:07:43.600]  今天就讓我們看看
[00:07:43.600 --> 00:07:45.600]  約翰福音這個課題
[00:07:45.600 --> 00:07:48.600]  信是什麼事
[00:07:48.600 --> 00:07:52.600]  首先我們來看看25至31節
[00:07:52.600 --> 00:07:57.600]  這些事我自用比喻對你們說的
[00:07:57.600 --> 00:08:01.600]  事後將到我不再用比喻對你們說
[00:08:01.600 --> 00:08:05.600]  那要將乎冥冥的告訴你們
[00:08:05.600 --> 00:08:08.600]  到那日你們要奉我的名祈求
[00:08:08.600 --> 00:08:10.600]  我並不對你們說
[00:08:10.600 --> 00:08:13.600]  我要為你們求符
[00:08:13.600 --> 00:08:15.600]  符自己愛你們
[00:08:15.600 --> 00:08:17.600]  因為你們已經愛我
[00:08:17.600 --> 00:08:20.600]  又信我是從符出來
[00:08:20.600 --> 00:08:22.600]  我從符出來
[00:08:22.600 --> 00:08:23.600]  到了世間
[00:08:23.600 --> 00:08:25.600]  我又離開世界
[00:08:25.600 --> 00:08:27.600]  往復那裡去
[00:08:27.600 --> 00:08:28.600]  夢到說
[00:08:28.600 --> 00:08:31.600]  如今你是明說
[00:08:31.600 --> 00:08:33.600]  並不用比喻了
[00:08:33.600 --> 00:08:37.600]  現在我們曉得你凡事都知道
[00:08:37.600 --> 00:08:39.600]  也不用人去問你
[00:08:39.600 --> 00:08:43.600]  因此我們信你是從神出來的
[00:08:43.600 --> 00:08:44.600]  耶穌說
[00:08:44.600 --> 00:08:46.600]  現在你們信了
[00:08:46.600 --> 00:08:50.600]  或者我們詳細來看看這段聖經
[00:08:50.600 --> 00:08:53.600]  首先我們看看時間上的問題
[00:08:53.600 --> 00:08:55.600]  耶穌說
[00:08:55.600 --> 00:08:59.600]  事後將到我不再用比喻對你們說
[00:08:59.600 --> 00:09:02.600]  那要將乎冥冥的告訴你們
[00:09:02.600 --> 00:09:06.600]  到那日你們要奉我的名祈求
[00:09:06.600 --> 00:09:10.600]  究竟事後是指什麼時候呢?
[00:09:10.600 --> 00:09:12.600]  那日是指哪一天呢?
[00:09:12.600 --> 00:09:15.600]  原文「事後」這個字
[00:09:15.600 --> 00:09:17.600]  其實直譯可以說
[00:09:17.600 --> 00:09:18.600]  那時辰
[00:09:18.600 --> 00:09:20.600]  那一個鐘頭
[00:09:20.600 --> 00:09:22.600]  那個鐘頭
[00:09:22.600 --> 00:09:25.600]  是指哪一天呢?
[00:09:25.600 --> 00:09:28.600]  在上回我們討論到約翰福音的時候
[00:09:28.600 --> 00:09:31.600]  我們已經提到猶太人當時
[00:09:31.600 --> 00:09:33.600]  是有些術語
[00:09:33.600 --> 00:09:37.600]  而耶穌所提到的就是當時的術語
[00:09:37.600 --> 00:09:39.600]  猶太人相信
[00:09:39.600 --> 00:09:42.600]  這個世間可以分為兩個階段
[00:09:42.600 --> 00:09:43.600]  現今階段
[00:09:43.600 --> 00:09:45.600]  現今的世代
