
[00:00:00.000 --> 00:00:05.240]  你的崇拜裏面我們特別是集中看這一位的基奠
[00:00:05.240 --> 00:00:08.200]  我們透過基奠來看我們自己
[00:00:08.200 --> 00:00:11.000]  我們今天的經文除了第六章之外
[00:00:11.000 --> 00:00:13.000]  其實第六章是第八章的
[00:00:13.000 --> 00:00:14.800]  如果大家手裏面有聖經的話
[00:00:14.800 --> 00:00:19.080]  一方面你打開《事司記》的第六章開始看
[00:00:19.080 --> 00:00:22.400]  還有拿著派給大家的大綱
[00:00:22.400 --> 00:00:26.920]  這個經文我們都會大家讀出來
[00:00:26.920 --> 00:00:29.640]  不過我們盡量爭取時間
[00:00:29.640 --> 00:00:32.080]  希望可以很快的
[00:00:32.080 --> 00:00:36.640]  但是很深刻的來看看基奠這個事司
[00:00:36.640 --> 00:00:37.960]  對於事司記
[00:00:37.960 --> 00:00:39.680]  一般大英姐妹比較熟悉的
[00:00:39.680 --> 00:00:42.400]  就是另外一個事司叫做參宣
[00:00:42.400 --> 00:00:44.400]  基奠有些人都聽過
[00:00:44.400 --> 00:00:48.320]  其實基奠都很值得我們思想去研究的
[00:00:48.320 --> 00:00:54.800]  基奠也是事司記裏面第一個比較記載詳細的事司
[00:00:54.800 --> 00:01:00.480]  大家都知道事司記的背景
[00:01:00.480 --> 00:01:02.400]  以色列人進入加拿大
[00:01:02.400 --> 00:01:04.320]  就是現在的巴勒斯坦之後
[00:01:04.320 --> 00:01:06.960]  雖然說已經進入了應許之地
[00:01:06.960 --> 00:01:09.960]  但是很急速的在信仰上墮落
[00:01:09.960 --> 00:01:13.400]  因為他們跟隨了當地的巴力
[00:01:13.400 --> 00:01:16.480]  阿斯拉這些外邦人的信仰
[00:01:16.480 --> 00:01:18.000]  離棄了耶和華
[00:01:18.000 --> 00:01:23.600]  耶和華也讓他們接受到他們應有的遭遇
[00:01:23.600 --> 00:01:25.760]  就是當地的人
[00:01:25.760 --> 00:01:27.720]  比他們文化高得多的民族
[00:01:27.720 --> 00:01:30.480]  包括今天我們經常說的米殿人
[00:01:30.480 --> 00:01:31.920]  或者阿瑪力人
[00:01:31.920 --> 00:01:33.880]  甚至聖經裏面叫做東方人
[00:01:33.880 --> 00:01:37.440]  就是很多那些異邦的民族本來已經住在那裏的
[00:01:37.440 --> 00:01:38.960]  就給他們很多的壓力
[00:01:38.960 --> 00:01:40.280]  尤其是米殿人
[00:01:40.280 --> 00:01:43.200]  就是聖經記載在第六章開始
[00:01:43.200 --> 00:01:45.240]  就是以色列人行謠
[00:01:45.240 --> 00:01:46.720]  還眼中看文革的事
[00:01:46.720 --> 00:01:48.600]  他們是京拜偶像
[00:01:48.600 --> 00:01:51.800]  於是神就讓這些米殿人
[00:01:51.800 --> 00:01:54.800]  搶奪他們的財富
[00:01:54.800 --> 00:01:57.520]  欺負他們 甚至當然是殺戮他們
[00:01:57.520 --> 00:02:01.480]  所以他們是落在一個很大的困苦當中
[00:02:01.480 --> 00:02:03.720]  就在這個時間
[00:02:03.720 --> 00:02:08.120]  神就呼召一個本來是寂寂無聞的人
[00:02:08.120 --> 00:02:10.880]  他就叫做基奠
[00:02:10.880 --> 00:02:12.600]  剛才我們所讀的那段聖經
[00:02:12.600 --> 00:02:13.960]  第十一節開始
[00:02:13.960 --> 00:02:16.960]  就說到耶和華的使者來找基奠
[00:02:16.960 --> 00:02:19.160]  就好像我們每個人的人生一樣
[00:02:19.160 --> 00:02:21.240]  遲早你也有一天你會感覺到
[00:02:21.240 --> 00:02:23.640]  或者你曾經回顧你的人生
[00:02:23.640 --> 00:02:26.200]  有一些事情你沒有想過會發生的
[00:02:26.200 --> 00:02:27.200]  就發生了
[00:02:27.200 --> 00:02:28.600]  而發生了之後
[00:02:28.600 --> 00:02:30.440]  你的人生就改變
[00:02:30.440 --> 00:02:32.960]  尤其是我們有神自己生命的人
[00:02:32.960 --> 00:02:36.960]  我們知道我們有一位主宰在我們的人生背後
[00:02:36.960 --> 00:02:38.640]  他有安排 他有帶領
[00:02:38.640 --> 00:02:41.320]  所以其實你可能沒有估計到
[00:02:41.320 --> 00:02:42.400]  突然間發生這樣的事
[00:02:42.400 --> 00:02:43.800]  有些事情好像很小的事
[00:02:43.800 --> 00:02:45.200]  但是就在那時候
[00:02:45.200 --> 00:02:48.320]  神的手就已經在你的生命裏呼召你
[00:02:48.320 --> 00:02:50.520]  剛才我們所見到的就是
[00:02:50.520 --> 00:02:54.600]  神的使者去呼召基奠的這一幕
[00:02:54.600 --> 00:02:56.200]  我們在看下去的時候
[00:02:56.200 --> 00:02:58.680]  今天我很想分了三個部分
[00:02:58.680 --> 00:03:01.200]  和大家稍微一起來思想
[00:03:01.200 --> 00:03:03.920]  第一 我們看看基奠的神怎樣呼召他
[00:03:03.920 --> 00:03:05.600]  和他接受這個呼召之後
[00:03:05.600 --> 00:03:07.480]  他的生命有什麼改變
[00:03:07.480 --> 00:03:08.800]  好不好? 這是第一樣
