
[00:00:00.000 --> 00:00:08.000]  今年我们行庆的系列
[00:00:08.000 --> 00:00:14.000]  我们选用了旧约圣经
[00:00:14.000 --> 00:00:20.000]  以斯拉尼希米记里面的一句说话
[00:00:20.000 --> 00:00:24.000]  当尼希米夜半
[00:00:24.000 --> 00:00:32.000]  见到耶路撒冷城墙的荒凉破落
[00:00:32.000 --> 00:00:38.000]  我们以为见到的是困难
[00:00:38.000 --> 00:00:42.000]  但是尼希米回到白城中间
[00:00:42.000 --> 00:00:46.000]  他和大家分享的
[00:00:46.000 --> 00:00:54.000]  却是我们神私恩的仇
[00:00:54.000 --> 00:00:56.000]  很奇怪
[00:00:56.000 --> 00:00:58.000]  他不是看环境
[00:00:58.000 --> 00:01:02.000]  环境的确很困难
[00:01:02.000 --> 00:01:04.000]  正如今天
[00:01:04.000 --> 00:01:07.000]  我们听到很多弟兄姊妹
[00:01:07.000 --> 00:01:08.000]  不止这样
[00:01:08.000 --> 00:01:13.000]  全都同工在台上都是这样说
[00:01:13.000 --> 00:01:15.000]  正正是这些时候
[00:01:15.000 --> 00:01:20.000]  我们需要天父开我们的眼睛
[00:01:20.000 --> 00:01:24.000]  路加医生见到耶路撒冷教会
[00:01:24.000 --> 00:01:26.000]  大租的白垂了
[00:01:26.000 --> 00:01:28.000]  使徒们逃四山
[00:01:28.000 --> 00:01:30.000]  但是路加见到的
[00:01:30.000 --> 00:01:33.000]  司徒函转第八章第四节
[00:01:33.000 --> 00:01:42.000]  那些分散的人就往各处传道
[00:01:42.000 --> 00:01:46.000]  所以我们在二月
[00:01:46.000 --> 00:01:48.000]  讲了很久
[00:01:48.000 --> 00:01:52.000]  我们讲使徒的教会
[00:01:52.000 --> 00:01:55.000]  神私恩的仇
[00:01:55.000 --> 00:01:58.000]  在罗马帝国的北教会
[00:01:58.000 --> 00:02:04.000]  使徒一个一个殉道的这三百年里
[00:02:04.000 --> 00:02:08.000]  神的仇不但没有离开
[00:02:08.000 --> 00:02:12.000]  他容许这些苦难临到
[00:02:12.000 --> 00:02:17.000]  我们时时都有这些似是而非的说话
[00:02:17.000 --> 00:02:18.000]  重复得多
[00:02:18.000 --> 00:02:20.000]  人人都讲两句
[00:02:20.000 --> 00:02:21.000]  不是的
[00:02:21.000 --> 00:02:25.000]  是神的仇的带领
[00:02:25.000 --> 00:02:28.000]  所以这是我们的主题
[00:02:28.000 --> 00:02:33.000]  今天撒算在香港
[00:02:33.000 --> 00:02:36.000]  在2023年
[00:02:36.000 --> 00:02:41.000]  我们庆祝四十周年
[00:02:41.000 --> 00:02:45.000]  庞庆感恩的时候
[00:02:45.000 --> 00:02:49.000]  我们要学习谦卑
[00:02:49.000 --> 00:02:52.000]  不要说太多字
[00:02:52.000 --> 00:02:53.000]  听
[00:02:53.000 --> 00:02:57.000]  我们超越自己能够看到
[00:02:57.000 --> 00:03:01.000]  那个环境事实的局限
[00:03:01.000 --> 00:03:03.000]  我没有否认这些是事实
[00:03:03.000 --> 00:03:10.000]  不过认识在这个事实之上
[00:03:10.000 --> 00:03:13.000]  在这个事实中间
[00:03:13.000 --> 00:03:19.000]  在前后左右上下四方
[00:03:19.000 --> 00:03:22.000]  是神私恩的仇
[00:03:22.000 --> 00:03:26.000]  这是天赋世界
[00:03:26.000 --> 00:03:30.000]  多谢刚才两位弟兄姐妹带领我们唱
[00:03:30.000 --> 00:03:34.000]  起码是我小时候的歌
[00:03:34.000 --> 00:03:36.000]  虽然我会唱
[00:03:36.000 --> 00:03:39.000]  这是天赋世界
[00:03:39.000 --> 00:03:42.000]  是很小的时候就唱
[00:03:42.000 --> 00:03:44.000]  当时不知道为什么
[00:03:44.000 --> 00:03:50.000]  罪恶虽然很像得成
[00:03:50.000 --> 00:03:54.000]  每个字你不能改
[00:03:54.000 --> 00:03:56.000]  有意思的
[00:03:56.000 --> 00:03:58.000]  长大之后就明白了
[00:03:58.000 --> 00:04:01.000]  这是我们这半年
[00:04:01.000 --> 00:04:06.000]  想在晚堂崇拜思想的废裂
[00:04:06.000 --> 00:04:08.000]  我再说
[00:04:08.000 --> 00:04:13.000]  我们不会期望大家看到这么小的字在PowerPoint
[00:04:13.000 --> 00:04:16.000]  但我们已经在过去两个月
[00:04:16.000 --> 00:04:19.000]  从使徒的教会
[00:04:19.000 --> 00:04:25.000]  我们去到十六世纪的改革运动
[00:04:25.000 --> 00:04:29.000]  我们看到教会的历史
[00:04:29.000 --> 00:04:36.000]  来到一个很重要的转捩点
[00:04:36.000 --> 00:04:39.000]  或者过去我们说转裂点
[00:04:39.000 --> 00:04:43.000]  后来有人更正应该说转裂点
[00:04:43.000 --> 00:04:52.000]  总之这个很重要的教会历史的关键时刻
[00:04:52.000 --> 00:04:56.000]  十六世纪马丁路德改革运动
[00:04:56.000 --> 00:05:02.000]  我们说这个事情不是向外传福音
[00:05:02.000 --> 00:05:05.000]  叫更多人信耶稣
[00:05:05.000 --> 00:05:08.000]  不是路德所说的悔改
[00:05:08.000 --> 00:05:11.000]  不是叫人离开罪恶
[00:05:11.000 --> 00:05:12.000]  认识真神
[00:05:12.000 --> 00:05:15.000]  这是我们习惯了的印象
[00:05:15.000 --> 00:05:17.000]  我已经悔改了
[00:05:17.000 --> 00:05:19.000]  我们很安乐
[00:05:19.000 --> 00:05:20.000]  等着上天堂
[00:05:20.000 --> 00:05:23.000]  但改革运动问的是
[00:05:23.000 --> 00:05:26.000]  你还靠着自己
[00:05:26.000 --> 00:05:28.000]  一说起和神的关系
[00:05:28.000 --> 00:05:30.000]  就说我有读圣经
[00:05:30.000 --> 00:05:31.000]  我有祈祷
[00:05:31.000 --> 00:05:32.000]  我有奉献
[00:05:32.000 --> 00:05:33.000]  我有侍奉
[00:05:33.000 --> 00:05:35.000]  我我我
[00:05:35.000 --> 00:05:37.000]  不是的
[00:05:37.000 --> 00:05:39.000]  十六世纪的改革运动提醒我们
[00:05:39.000 --> 00:05:41.000]  这些是因点
[00:05:41.000 --> 00:05:43.000]  我不懂祈祷
[00:05:43.000 --> 00:05:44.000]  牧师你为我祈祷
[00:05:44.000 --> 00:05:45.000]  比较好
[00:05:45.000 --> 00:05:46.000]  你看看
[00:05:46.000 --> 00:05:48.000]  不是这样的
[00:05:48.000 --> 00:05:50.000]  我做好人
[00:05:50.000 --> 00:05:52.000]  然后才参加教会浸礼
[00:05:52.000 --> 00:05:54.000]  不是这样的
[00:05:54.000 --> 00:05:59.000]  所以悔改是离开自己的努力
[00:05:59.000 --> 00:06:02.000]  我们都是很努力的人
[00:06:02.000 --> 00:06:04.000]  我们都不是那些
[00:06:04.000 --> 00:06:05.000]  以前说的屁
[00:06:05.000 --> 00:06:07.000]  现在说的吃
[00:06:07.000 --> 00:06:09.000]  我们做基督徒
[00:06:09.000 --> 00:06:12.000]  我们努力追求这样那样
[00:06:12.000 --> 00:06:13.000]  现在流行什么
[00:06:13.000 --> 00:06:15.000]  我们就冲去做什么
[00:06:15.000 --> 00:06:17.000]  但是小心
[00:06:17.000 --> 00:06:19.000]  十六世纪改革运动
[00:06:19.000 --> 00:06:24.000]  向整个欧洲大陆被福音
[00:06:24.000 --> 00:06:29.000]  改变了一千年的欧洲文明
[00:06:29.000 --> 00:06:32.000]  教会的弟兄姊妹
[00:06:32.000 --> 00:06:34.000]  很羡慕做修士
[00:06:34.000 --> 00:06:38.000]  一生三个誓愿
[00:06:38.000 --> 00:06:42.000]  为主做完全人
