
[00:00:00.000 --> 00:00:08.000]  早安 我們繼續思想尼希米的信息
[00:00:08.000 --> 00:00:14.000]  今天我和大家思想一個近代人最難的課題
[00:00:14.000 --> 00:00:16.000]  等
[00:00:16.000 --> 00:00:20.000]  請你再一次同心我們一同提督
[00:00:20.000 --> 00:00:21.000]  天父我們再一次感謝你
[00:00:21.000 --> 00:00:24.000]  給你寶貴華語作為生命的指引
[00:00:24.000 --> 00:00:26.000]  求你藉著你的華語提醒
[00:00:26.000 --> 00:00:29.000]  勸勉 教導 安慰 督責
[00:00:29.000 --> 00:00:30.000]  改變我們
[00:00:30.000 --> 00:00:34.000]  令我們懂得在人生中等
[00:00:34.000 --> 00:00:37.000]  等候耶和華必重新得力
[00:00:37.000 --> 00:00:39.000]  求你祝福 保守我們
[00:00:39.000 --> 00:00:41.000]  奉耶穌基督命求 阿們
[00:00:41.000 --> 00:00:46.000]  我想起來已經很多很多年前了
[00:00:46.000 --> 00:00:52.000]  當時我在香港大學讀書
[00:00:52.000 --> 00:00:59.000]  認識一位姐妹 覺得她好人 很愛主
[00:00:59.000 --> 00:01:06.000]  我就想想 長大了 應該認識一下女朋友
[00:01:06.000 --> 00:01:11.000]  但我又不知道怎麼做 毫無經驗
[00:01:11.000 --> 00:01:16.000]  於是我就去問當時一位我很尊敬的弟兄
[00:01:16.000 --> 00:01:18.000]  是我們團契的團長
[00:01:18.000 --> 00:01:23.000]  他叫陳文長 現在是陳文長醫生
[00:01:23.000 --> 00:01:28.000]  我問他 文長文長 我情人是這樣
[00:01:28.000 --> 00:01:30.000]  你有什麼提議
[00:01:30.000 --> 00:01:33.000]  他輕描淡寫說了幾句
[00:01:33.000 --> 00:01:37.000]  弟兄 等一下吧 不用心急
[00:01:37.000 --> 00:01:39.000]  好好祈禱
[00:01:39.000 --> 00:01:44.000]  既然這麼尊重的弟兄這樣跟我說
[00:01:44.000 --> 00:01:46.000]  於是我就等了
[00:01:46.000 --> 00:01:48.000]  等了兩年
[00:01:48.000 --> 00:01:53.000]  等不是很容易的
[00:01:53.000 --> 00:01:56.000]  在等候期間心裡想想
[00:01:56.000 --> 00:01:59.000]  不知道她有沒有男朋友 早就有了
[00:01:59.000 --> 00:02:03.000]  那我就白等
[00:02:03.000 --> 00:02:06.000]  白等這兩年真的不值
[00:02:06.000 --> 00:02:08.000]  另一方面就想想
[00:02:08.000 --> 00:02:11.000]  不如快快問了他
[00:02:11.000 --> 00:02:13.000]  行 那就好了
[00:02:13.000 --> 00:02:16.000]  不行 算了 也跌了心碎
[00:02:16.000 --> 00:02:19.000]  或者以後一生做單身貴族
[00:02:19.000 --> 00:02:22.000]  或者鑽石王老五
[00:02:22.000 --> 00:02:24.000]  等這些都很不容易
[00:02:24.000 --> 00:02:28.000]  因為等是不在我控制範圍之內
[00:02:28.000 --> 00:02:32.000]  好像很被動 什麼都做不到
[00:02:32.000 --> 00:02:36.000]  兩年之後 我的忍耐力已經夠了
[00:02:36.000 --> 00:02:38.000]  用盡了
[00:02:38.000 --> 00:02:40.000]  我又認識了另一個弟兄 跟我很好的
[00:02:40.000 --> 00:02:42.000]  他去了德國讀書
[00:02:42.000 --> 00:02:46.000]  我就將我的感受跟他分享
[00:02:46.000 --> 00:02:49.000]  這個弟兄很了解我
[00:02:49.000 --> 00:02:55.000]  他就說女孩子通常過時過節特別有情緒
[00:02:55.000 --> 00:02:59.000]  趁著聖誕節還未來臨之前
[00:02:59.000 --> 00:03:02.000]  你就快快表明你的心態
[00:03:02.000 --> 00:03:04.000]  表明你的心意
[00:03:04.000 --> 00:03:08.000]  我想他講的一方面未嘗無禮
[00:03:08.000 --> 00:03:10.000]  另一方面又合乎我的心態
[00:03:10.000 --> 00:03:12.000]  合乎我的思想
[00:03:12.000 --> 00:03:19.000]  於是我就決定寫一封信給這個姐妹
[00:03:19.000 --> 00:03:26.000]  一封信表明我自己的心意
[00:03:26.000 --> 00:03:29.000]  寫完封信之後
[00:03:29.000 --> 00:03:32.000]  頭兩天都沒有回覆
[00:03:32.000 --> 00:03:34.000]  這兩天真的很難受
[00:03:34.000 --> 00:03:39.000]  終於收到他的回覆
[00:03:39.000 --> 00:03:46.000]  半年前他已經為了這個關係祈禱
[00:03:46.000 --> 00:03:50.000]  我一看就覺得很棒
[00:03:50.000 --> 00:03:56.000]  當時我拿著這封信不禁問
[00:03:56.000 --> 00:03:58.000]  弟兄 你是可以的
[00:03:58.000 --> 00:04:01.000]  你叫我等 終於我等到了
[00:04:01.000 --> 00:04:04.000]  非常欣賞這位弟兄
[00:04:04.000 --> 00:04:09.000]  如果我是兩年前就已經認識了八哥
[00:04:09.000 --> 00:04:12.000]  等了兩年後果然得心應手
[00:04:12.000 --> 00:04:14.000]  你知道這位姐妹是誰嗎
[00:04:14.000 --> 00:04:17.000]  就是我現在的太太
[00:04:17.000 --> 00:04:20.000]  所以等候很重要
[00:04:20.000 --> 00:04:23.000]  我們中間可能已經有經驗了
[00:04:23.000 --> 00:04:25.000]  年輕人要等候
[00:04:25.000 --> 00:04:30.000]  等不是只等女朋友
[00:04:30.000 --> 00:04:35.000]  當我太太懷孕十個星期的時候
[00:04:35.000 --> 00:04:39.000]  當時我們在香港就發生了一個疫症
[00:04:39.000 --> 00:04:41.000]  叫德國疹
