
[00:00:00.000 --> 00:00:09.000]  上一次我們提到約伯記的第一第二章
[00:00:09.000 --> 00:00:14.000]  今天我們集中讀第三章
[00:00:14.000 --> 00:00:17.000]  你說那何時讀到四十一章呀
[00:00:17.000 --> 00:00:22.000]  是啊 我們不是速讀聖經
[00:00:22.000 --> 00:00:33.000]  也當然希望你不是只是坐在晚堂崇拜唯一的時間讀約伯記
[00:00:33.000 --> 00:00:39.000]  讀聖經是我們一生的功夫
[00:00:39.000 --> 00:00:50.000]  約伯記第一章開宗明義是說到撒旦
[00:00:50.000 --> 00:00:56.000]  他不是主角 但他很懂得竊位
[00:00:56.000 --> 00:01:03.000]  或者你說是上帝生他的氣 記得嗎
[00:01:03.000 --> 00:01:13.000]  他不過是耶和華寶座前士臘的其中一個
[00:01:13.000 --> 00:01:18.000]  這不是我們對魔鬼撒旦的認識
[00:01:18.000 --> 00:01:23.000]  我們是民間宗教 各據一方
[00:01:23.000 --> 00:01:27.000]  上帝在天上 撒旦在地獄
[00:01:27.000 --> 00:01:32.000]  他有他的天使天君 他有他的魔鬼
[00:01:32.000 --> 00:01:36.000]  一人一半 楚河漢界
[00:01:36.000 --> 00:01:49.000]  不是的 聖經要打破的正正就是根深蒂固
[00:01:49.000 --> 00:01:55.000]  在所有的文明 四大文明古國
[00:01:55.000 --> 00:02:01.000]  或者不文明的部落
[00:02:01.000 --> 00:02:08.000]  都是這樣相信 有善必有惡 有黑必有白
[00:02:08.000 --> 00:02:11.000]  有光必有暗
[00:02:11.000 --> 00:02:18.000]  聖經說不是 只有獨一的真神
[00:02:18.000 --> 00:02:23.000]  這個獨一真神的信仰
[00:02:23.000 --> 00:02:38.000]  是整本新舊約聖經和其他民間宗教最重要的分界
[00:02:38.000 --> 00:02:43.000]  當然我們知道因為舊約聖經的影響
[00:02:43.000 --> 00:02:49.000]  所以猶太人的信仰和穆斯林的信仰
[00:02:49.000 --> 00:02:55.000]  和他們的回教都是相信獨一的上帝
[00:02:55.000 --> 00:02:58.000]  今天我們不是要討論這件事
[00:02:58.000 --> 00:03:02.000]  我們要討論的是人人都相信很多個神
[00:03:02.000 --> 00:03:07.000]  有些凶神惡煞 有些面目持長
[00:03:07.000 --> 00:03:12.000]  不是的 沒有這樣的事
[00:03:12.000 --> 00:03:19.000]  撒旦也不過是耶和華上帝寶座前
[00:03:19.000 --> 00:03:24.000]  必恭必敬的其中一個
[00:03:24.000 --> 00:03:27.000]  上帝問他你從哪裡來往哪裡去
[00:03:27.000 --> 00:03:34.000]  他就要敬個禮 他就要答
[00:03:34.000 --> 00:03:38.000]  他接著說完話之後 上帝說好
[00:03:38.000 --> 00:03:50.000]  我畫了一條線 撒旦就不可以跨越上帝的旨意的半步
[00:03:50.000 --> 00:03:52.000]  這是約伯記第一第二章
[00:03:52.000 --> 00:03:58.000]  為什麼我看不到 回去再看過
[00:03:58.000 --> 00:04:06.000]  不要讓我們的問題控制 壟斷
[00:04:06.000 --> 00:04:10.000]  歧見我們讀聖經
[00:04:10.000 --> 00:04:12.000]  我們想聖經回答我們的問題
[00:04:12.000 --> 00:04:15.000]  你是誰 講得白一點
[00:04:15.000 --> 00:04:17.000]  Who are you
[00:04:17.000 --> 00:04:19.000]  為什麼聖經要回答你的問題
[00:04:19.000 --> 00:04:21.000]  要回答我的問題
[00:04:21.000 --> 00:04:24.000]  為什麼聖經不是要告訴我們
[00:04:24.000 --> 00:04:28.000]  你明白主客的差別嗎
[00:04:28.000 --> 00:04:31.000]  所有宗教都是來解決你的困難
[00:04:31.000 --> 00:04:36.000]  我回答你的問題 那些就是假的
[00:04:36.000 --> 00:04:41.000]  真神掌管宇宙天地萬物
[00:04:41.000 --> 00:04:49.000]  是我們來問 請說 獨人敬聽
[00:04:49.000 --> 00:04:51.000]  這裡明白的
[00:04:51.000 --> 00:04:55.000]  不過我們總是覺得這裡最重要
[00:04:55.000 --> 00:05:00.000]  我不開心 所以我來這裡要唱開心的詩歌
[00:05:00.000 --> 00:05:03.000]  我要聽一篇舒服的道
[00:05:03.000 --> 00:05:05.000]  弟兄姊妹關心我
[00:05:05.000 --> 00:05:08.000]  這間教會都不關心我
[00:05:08.000 --> 00:05:10.000]  Who are you
[00:05:10.000 --> 00:05:13.000]  我們反過來
[00:05:13.000 --> 00:05:15.000]  特別來到神的面前
[00:05:15.000 --> 00:05:22.000]  我們要記得我們是活在天父的世界
[00:05:22.000 --> 00:05:28.000]  不是活在我白手卿家
[00:05:28.000 --> 00:05:35.000]  我建造的天地 王國
[00:05:35.000 --> 00:05:38.000]  沒有這樣的事
[00:05:38.000 --> 00:05:44.000]  所以第一張給我們看到的大圖畫
[00:05:44.000 --> 00:05:47.000]  是我們不習慣的
[00:05:47.000 --> 00:05:52.000]  但是聖經是這樣教導我們
[00:05:52.000 --> 00:05:55.000]  只有一位上帝
[00:05:55.000 --> 00:05:58.000]  最好你看清楚一點
[00:05:58.000 --> 00:06:00.000]  認清楚一點
[00:06:00.000 --> 00:06:04.000]  這是誰的世界
[00:06:04.000 --> 00:06:06.000]  或者再問多一句
[00:06:06.000 --> 00:06:08.000]  這是誰的香港
[00:06:08.000 --> 00:06:16.000]  你的?我的?政府的?北京的?
[00:06:16.000 --> 00:06:21.000]  還是海外逃亡的?
[00:06:21.000 --> 00:06:26.000]  不是的 這是上帝的香港
[00:06:26.000 --> 00:06:29.000]  懂得這樣問嗎?
[00:06:29.000 --> 00:06:30.000]  懂得這樣看嗎?
[00:06:30.000 --> 00:06:34.000]  不懂的
