
[00:00:00.000 --> 00:00:05.000]  各位電影院的觀眾朋友你們好
[00:00:05.000 --> 00:00:08.000]  歡迎大家參加我們三藩市播道會
[00:00:08.000 --> 00:00:10.000]  網上的午堂崇拜
[00:00:10.000 --> 00:00:12.000]  我們今天繼續思想
[00:00:12.000 --> 00:00:14.000]  約翰福音的訊息
[00:00:14.000 --> 00:00:16.000]  我們來到約翰福音第十五章
[00:00:16.000 --> 00:00:18.000]  一節到十節
[00:00:18.000 --> 00:00:20.000]  題目叫做真假信徒
[00:00:20.000 --> 00:00:22.000]  在思想這段時間之前
[00:00:22.000 --> 00:00:24.000]  請同心低頭
[00:00:24.000 --> 00:00:26.000]  我向你禱告
[00:00:26.000 --> 00:00:28.000]  慈悲的阿師傅我們滿心感謝你
[00:00:28.000 --> 00:00:30.000]  求你藉著你的話語
[00:00:30.000 --> 00:00:32.000]  去提醒
[00:00:32.000 --> 00:00:34.000]  勸勉
[00:00:34.000 --> 00:00:36.000]  督責
[00:00:36.000 --> 00:00:38.000]  改變我們的生命
[00:00:38.000 --> 00:00:40.000]  叫你不是做一個掛名的基督徒
[00:00:40.000 --> 00:00:42.000]  叫你做一個能夠
[00:00:42.000 --> 00:00:44.000]  毀身給你的一個信徒
[00:00:44.000 --> 00:00:46.000]  以將我們的生命
[00:00:46.000 --> 00:00:48.000]  交託給你
[00:00:48.000 --> 00:00:50.000]  求聖名開啟我們的心
[00:00:50.000 --> 00:00:52.000]  奉耶穌基督名求
[00:00:52.000 --> 00:00:54.000]  阿們
[00:00:54.000 --> 00:00:56.000]  我還記得很多年前
[00:00:56.000 --> 00:00:58.000]  我在普林斯頓的一間教會
[00:00:58.000 --> 00:01:00.000]  侍奉有一次有位弟兄
[00:01:00.000 --> 00:01:02.000]  到我家吃飯
[00:01:02.000 --> 00:01:04.000]  他很坦白直言地告訴我
[00:01:04.000 --> 00:01:06.000]  蘇弟兄
[00:01:06.000 --> 00:01:08.000]  我不是很喜歡你講道
[00:01:08.000 --> 00:01:10.000]  原因有三
[00:01:10.000 --> 00:01:12.000]  第一你不是講國語
[00:01:12.000 --> 00:01:14.000]  是因為他是台灣來的
[00:01:14.000 --> 00:01:16.000]  這個可以了解的
[00:01:16.000 --> 00:01:18.000]  你講道的時候
[00:01:18.000 --> 00:01:20.000]  插手落袋沒有規矩
[00:01:20.000 --> 00:01:22.000]  第三
[00:01:22.000 --> 00:01:24.000]  你講道挑戰性太大
[00:01:24.000 --> 00:01:26.000]  我星期一至星期六
[00:01:26.000 --> 00:01:28.000]  已經有這麼多壓力
[00:01:28.000 --> 00:01:30.000]  工作壓力
[00:01:30.000 --> 00:01:32.000]  家庭壓力
[00:01:32.000 --> 00:01:34.000]  頭不過氣來
[00:01:34.000 --> 00:01:36.000]  難得星期日可以鬆一口氣
[00:01:36.000 --> 00:01:38.000]  準備來教會聽一道
[00:01:38.000 --> 00:01:40.000]  一邊能夠令人舒適一下的一道
[00:01:40.000 --> 00:01:42.000]  誰知聽你講道
[00:01:42.000 --> 00:01:44.000]  令我感覺很不舒服
[00:01:44.000 --> 00:01:46.000]  心裏有很大的掙扎
[00:01:46.000 --> 00:01:48.000]  所以我不喜歡你講道
[00:01:48.000 --> 00:01:50.000]  我聽了之後
[00:01:50.000 --> 00:01:52.000]  這位所謂熱心的基督徒所講
[00:01:52.000 --> 00:01:54.000]  我就對他說
[00:01:54.000 --> 00:01:56.000]  我很抱歉我的國語不是很流利
[00:01:56.000 --> 00:01:58.000]  但我是廣東人
[00:01:58.000 --> 00:02:00.000]  或者可以練習多一點
[00:02:00.000 --> 00:02:02.000]  於插手落袋
[00:02:02.000 --> 00:02:04.000]  我很感謝你的提醒
[00:02:04.000 --> 00:02:06.000]  所以以後
[00:02:06.000 --> 00:02:08.000]  你發覺我講道的時候
[00:02:08.000 --> 00:02:10.000]  都不會插手落袋
[00:02:10.000 --> 00:02:12.000]  至於挑戰性大
[00:02:12.000 --> 00:02:14.000]  聽了之後不舒服
[00:02:14.000 --> 00:02:16.000]  我為你感謝
[00:02:16.000 --> 00:02:18.000]  不是因為我道
[00:02:18.000 --> 00:02:20.000]  我所講的挑戰性大
[00:02:20.000 --> 00:02:22.000]  不是因為我所講的話
[00:02:22.000 --> 00:02:24.000]  令你心裏不舒服
[00:02:24.000 --> 00:02:26.000]  是神的話語挑戰你
[00:02:26.000 --> 00:02:28.000]  我只是講解
[00:02:28.000 --> 00:02:30.000]  聖經的真理
[00:02:30.000 --> 00:02:32.000]  其實這就是
[00:02:32.000 --> 00:02:34.000]  聖靈在你心裏面做的工
[00:02:34.000 --> 00:02:36.000]  就好像約翰福音第十六章
[00:02:36.000 --> 00:02:38.000]  第八章
[00:02:38.000 --> 00:02:40.000]  聖靈叫世人為罪為義
[00:02:40.000 --> 00:02:42.000]  為審判自己責備自己
[00:02:42.000 --> 00:02:44.000]  沒錯
[00:02:44.000 --> 00:02:46.000]  如果你只是求心裏舒服一些
[00:02:46.000 --> 00:02:48.000]  來教會
[00:02:48.000 --> 00:02:50.000]  永遠得不到滿足
[00:02:50.000 --> 00:02:52.000]  因為神的話語
[00:02:52.000 --> 00:02:54.000]  就像一把利劍能夠直刺人心
[00:02:54.000 --> 00:02:56.000]  是滿有挑戰性的
[00:02:56.000 --> 00:02:58.000]  事實上
[00:02:58.000 --> 00:03:00.000]  我記得有一次
[00:03:00.000 --> 00:03:02.000]  我帶了一個福音聖賢經
[00:03:02.000 --> 00:03:04.000]  其中有個朋友對我說
[00:03:04.000 --> 00:03:06.000]  我每次來的時候都很多掙扎
[00:03:06.000 --> 00:03:08.000]  很想不來
[00:03:08.000 --> 00:03:10.000]  但不是因為我對福音聖賢經
[00:03:10.000 --> 00:03:12.000]  沒有興趣
[00:03:12.000 --> 00:03:14.000]  不是不想投入
[00:03:14.000 --> 00:03:16.000]  每次查完經之後
[00:03:16.000 --> 00:03:18.000]  甚至失眠
[00:03:18.000 --> 00:03:20.000]  心裏面很複雜的感受
[00:03:20.000 --> 00:03:22.000]  所以我就想逃避
[00:03:22.000 --> 00:03:24.000]  想不來
[00:03:24.000 --> 00:03:26.000]  但不知為何神推鬼推
[00:03:26.000 --> 00:03:28.000]  每次都來
[00:03:28.000 --> 00:03:30.000]  我跟他笑說
[00:03:30.000 --> 00:03:32.000]  有個方法
[00:03:32.000 --> 00:03:34.000]  真正接受耶穌基督
[00:03:34.000 --> 00:03:36.000]  他果然信了主
[00:03:36.000 --> 00:03:38.000]  神的話語真是厲害
[00:03:38.000 --> 00:03:40.000]  今天我們讀約翰福音這段聖經
[00:03:40.000 --> 00:03:42.000]  看得到耶穌基督的話語
[00:03:42.000 --> 00:03:44.000]  是何等有權柄
[00:03:44.000 --> 00:03:46.000]  和震撼的作用
[00:03:46.000 --> 00:03:48.000]  世上有兩種很可憐的人
