
[00:00:00.000 --> 00:00:02.000]  好, 歡迎來到大家當中
[00:00:02.000 --> 00:00:04.000]  今天講一個題目
[00:00:04.000 --> 00:00:07.000]  其實我都係
[00:00:07.000 --> 00:00:09.000]  最近要經常思考
[00:00:09.000 --> 00:00:12.000]  因為這個香港的社會
[00:00:12.000 --> 00:00:15.000]  現在是一個很容易分化的時間
[00:00:15.000 --> 00:00:19.000]  所以論傳人都是現在香港文化的一部份
[00:00:19.000 --> 00:00:22.000]  加上我剛才主席都講
[00:00:22.000 --> 00:00:24.000]  我是做老師的
[00:00:24.000 --> 00:00:27.000]  做老師要講很多東西的
[00:00:27.000 --> 00:00:30.000]  要評很多東西的,很多人問我意見
[00:00:30.000 --> 00:00:33.000]  你覺得這件事怎麼看,那件事怎麼看
[00:00:33.000 --> 00:00:35.000]  所以我都要小心
[00:00:35.000 --> 00:00:39.000]  所以這段的經文不但香港人我們要想
[00:00:39.000 --> 00:00:44.000]  我也都要思考這段的經文對我的意思
[00:00:44.000 --> 00:00:48.000]  當我們去評斷一些東西的時候
[00:00:48.000 --> 00:00:53.000]  到底我們應該抱一個什麼態度去做這件事情
[00:00:53.000 --> 00:00:57.000]  我們經文是來自馬太福音七章一至六節
[00:00:57.000 --> 00:01:00.000]  我們就一起去讀完六節
[00:01:00.000 --> 00:01:04.000]  馬太福音七章一到六節
[00:01:04.000 --> 00:01:07.000]  如果你們的聖經就是第十一頁的新約
[00:01:07.000 --> 00:01:10.000]  OK,預備,開始
[00:01:10.000 --> 00:01:13.000]  你們不要評斷別人
[00:01:13.000 --> 00:01:15.000]  免得你們被審判
[00:01:15.000 --> 00:01:18.000]  因為你們怎樣評斷別人
[00:01:18.000 --> 00:01:21.000]  也必怎樣被審判
[00:01:21.000 --> 00:01:24.000]  你們用什麼良氣吸引人
[00:01:24.000 --> 00:01:28.000]  也必用什麼良氣諒及你們
[00:01:28.000 --> 00:01:32.000]  為什麼看見你弟兄眼中有刺
[00:01:32.000 --> 00:01:35.000]  卻不想自己眼中有良目呢
[00:01:35.000 --> 00:01:38.000]  你自己眼中有良目
[00:01:38.000 --> 00:01:43.000]  怎能對你弟兄說讓我去掉你眼中的刺呢
[00:01:43.000 --> 00:01:46.000]  你這假無為善的人
[00:01:46.000 --> 00:01:49.000]  先去掉自己眼中的良目
[00:01:49.000 --> 00:01:52.000]  然後才能看得清楚
[00:01:52.000 --> 00:01:55.000]  好去掉你弟兄眼中的刺
[00:01:55.000 --> 00:01:58.000]  不要把聖物吸狗
[00:01:58.000 --> 00:02:02.000]  也不要把你們的珍珠丟在珠面前
[00:02:02.000 --> 00:02:05.000]  恐怕他們踐踏了珍珠
[00:02:05.000 --> 00:02:08.000]  轉過來咬你們
[00:02:08.000 --> 00:02:10.000]  好,我們低頭做一個討告
[00:02:10.000 --> 00:02:13.000]  主耶穌求你開我們的心
[00:02:13.000 --> 00:02:18.000]  讓我們能夠看到你話語裡面的精誼
[00:02:18.000 --> 00:02:20.000]  看到深層的含意
[00:02:20.000 --> 00:02:25.000]  以至你的話語能夠成為我們生命的一部分
[00:02:25.000 --> 00:02:28.000]  求聖靈此刻親自降臨
[00:02:28.000 --> 00:02:30.000]  教導我們每一個人
[00:02:30.000 --> 00:02:31.000]  我們教託託告
[00:02:31.000 --> 00:02:33.000]  奉耶穌基督命
[00:02:33.000 --> 00:02:36.000]  誠心受阿願
[00:02:36.000 --> 00:02:38.000]  剛才讀的那段經文
[00:02:38.000 --> 00:02:40.000]  馬太福音第七章
[00:02:40.000 --> 00:02:43.000]  可能你們很多人都知道
[00:02:43.000 --> 00:02:49.000]  馬太福音第七章是登山寶訓其中的一段
[00:02:49.000 --> 00:02:51.000]  登山寶訓
[00:02:51.000 --> 00:02:55.000]  如果你們主日學可能讀過一些新的背景
[00:02:55.000 --> 00:02:58.000]  那類的書就會知道
[00:02:58.000 --> 00:03:03.000]  登山寶訓可以說是耶穌介紹
[00:03:03.000 --> 00:03:06.000]  我們在當神的國度離臨
[00:03:06.000 --> 00:03:09.000]  我們作為耶穌的門徒
[00:03:09.000 --> 00:03:11.000]  即是神國的子民
[00:03:11.000 --> 00:03:17.000]  神國的子民應該怎樣去過他們的生活呢
[00:03:17.000 --> 00:03:19.000]  所以正如舊約裡面
[00:03:19.000 --> 00:03:22.000]  摩西上了西乃山
[00:03:22.000 --> 00:03:24.000]  然後頒布十屆
[00:03:24.000 --> 00:03:26.000]  在馬太福音
[00:03:26.000 --> 00:03:30.000]  馬太刻意說耶穌去到山上
[00:03:30.000 --> 00:03:32.000]  然後頒布
[00:03:32.000 --> 00:03:37.000]  所謂登山寶訓的門徒的生活
[00:03:37.000 --> 00:03:42.000]  不過耶穌是比摩西更大的那位摩西
