
[00:00:00.000 --> 00:00:07.000]  如果我們有聖經的話,我們打開詩篇91篇。
[00:00:07.000 --> 00:00:14.000]  我們首先低頭祈禱,最後感謝祢,
[00:00:14.000 --> 00:00:18.000]  給我們機會用詩歌讚美祢,
[00:00:18.000 --> 00:00:22.000]  祢真是配得我們的讚美,
[00:00:22.000 --> 00:00:26.000]  求祢現在安靜我們的心,對我們每一個人講說話,
[00:00:26.000 --> 00:00:30.000]  我們祈禱奉主耶穌基督的名,
[00:00:30.000 --> 00:00:35.000]  我們看詩篇91篇,我想大家一起讀。
[00:00:35.000 --> 00:00:42.000]  這首詩有多少?一到八節,
[00:00:42.000 --> 00:00:46.000]  我分開兩段,三段來說,
[00:00:46.000 --> 00:00:51.000]  第一段是一到八節,我們一起讀,
[00:00:51.000 --> 00:00:56.000]  一二三
[00:00:56.000 --> 00:01:01.000]  (中文)
[00:01:01.000 --> 00:01:06.000]  (中文)
[00:01:06.000 --> 00:01:11.000]  (中文)
[00:01:11.000 --> 00:01:16.000]  (中文)
[00:01:16.000 --> 00:01:21.000]  (中文)
[00:01:21.000 --> 00:01:26.000]  (中文)
[00:01:26.000 --> 00:01:31.000]  (中文)
[00:01:31.000 --> 00:01:36.000]  (中文)
[00:01:36.000 --> 00:01:41.000]  (中文)
[00:01:41.000 --> 00:01:46.000]  (中文)
[00:01:46.000 --> 00:01:54.000]  一到八節,話說有兩個人,是夫婦,
[00:01:54.000 --> 00:01:59.000]  他們退休,他們在美國居住,
[00:01:59.000 --> 00:02:02.000]  那時是八十年代,
[00:02:02.000 --> 00:02:08.000]  美國和蘇聯很緊張,
[00:02:08.000 --> 00:02:11.000]  他們住在美國北部,
[00:02:11.000 --> 00:02:14.000]  他們怕蘇聯發一張原子彈過來,
[00:02:14.000 --> 00:02:16.000]  他們說現在退休了,
[00:02:16.000 --> 00:02:19.000]  找一個地方最安全的,
[00:02:19.000 --> 00:02:24.000]  好像人間天地般的地方,
[00:02:24.000 --> 00:02:27.000]  他們找來找去,
[00:02:27.000 --> 00:02:32.000]  最後找到一個島,
[00:02:32.000 --> 00:02:35.000]  很美麗的島,
[00:02:35.000 --> 00:02:39.000]  他們決定來這裡退休,
[00:02:39.000 --> 00:02:43.000]  結業,賣掉產業,
[00:02:43.000 --> 00:02:46.000]  在那裡買房子,
[00:02:46.000 --> 00:02:50.000]  還寫了一張明信片給牧師,
[00:02:50.000 --> 00:02:51.000]  拍了照片,
[00:02:51.000 --> 00:02:52.000]  跟牧師說,
[00:02:52.000 --> 00:02:55.000]  牧師,我們找到伊甸園了,
[00:02:55.000 --> 00:02:57.000]  那地方是甚麼呢?
[00:02:57.000 --> 00:03:01.000]  實在是福克蘭群島,
[00:03:01.000 --> 00:03:03.000]  如果你懂笑,
[00:03:03.000 --> 00:03:07.000]  你便知道八十年代福克蘭群島,
[00:03:07.000 --> 00:03:11.000]  是阿根廷和英國的戰地,
[00:03:11.000 --> 00:03:13.000]  為了這地打仗,
[00:03:13.000 --> 00:03:14.000]  他們剛去沒多久,
[00:03:14.000 --> 00:03:15.000]  這是真事,
[00:03:15.000 --> 00:03:17.000]  接著打仗,
[00:03:17.000 --> 00:03:20.000]  這個世界哪有一個地方,
[00:03:20.000 --> 00:03:25.000]  人間天地一定沒有戰爭,
[00:03:25.000 --> 00:03:27.000]  沒有問題,
[00:03:27.000 --> 00:03:30.000]  就算那個地方真的像伊甸園般美麗,
[00:03:30.000 --> 00:03:33.000]  可能我們帶著自己的仇恨去,
[00:03:33.000 --> 00:03:36.000]  那個地方也未必變得那麼美麗,
[00:03:36.000 --> 00:03:38.000]  今天我們看經文,
[00:03:38.000 --> 00:03:40.000]  剛才我們讀一到八節,
[00:03:40.000 --> 00:03:42.000]  大家知不知道一到八節,
[00:03:42.000 --> 00:03:44.000]  實在有一個意境,
[00:03:44.000 --> 00:03:48.000]  這個意境是一個戰亂的意境,
[00:03:48.000 --> 00:03:50.000]  為何這樣說呢?
[00:03:50.000 --> 00:03:54.000]  因為第二節說到避難所,
[00:03:54.000 --> 00:03:56.000]  山寨,
[00:03:56.000 --> 00:03:59.000]  第四節說到盾牌,
[00:03:59.000 --> 00:04:03.000]  第五節說到白日之戰,
[00:04:03.000 --> 00:04:06.000]  第三節又說到瘟疫,
[00:04:06.000 --> 00:04:07.000]  毒害,
[00:04:07.000 --> 00:04:09.000]  第六節也有說這件事,
[00:04:09.000 --> 00:04:11.000]  大家聽完之後,
[00:04:11.000 --> 00:04:16.000]  你不知道是否覺得這是戰爭的意境,
[00:04:16.000 --> 00:04:18.000]  我解釋給你聽一點,
[00:04:18.000 --> 00:04:20.000]  舊時打仗是怎樣的,
