
[00:00:00.000 --> 00:00:04.000]  各位弟兄姊妹,住內平安。
[00:00:04.000 --> 00:00:14.000]  很感謝神,今晚在這書能夠和大家一起思想神的話。
[00:00:14.000 --> 00:00:21.000]  我第一次來,這是新的聖堂。
[00:00:21.000 --> 00:00:31.000]  我唯一坐在這唱詩的時候,很想我們的女兒可以在這。
[00:00:31.000 --> 00:00:39.000]  因為十年前我們剛剛來到多倫多,進來Mrs. Saga,
[00:00:39.000 --> 00:00:46.000]  她時時都問,究竟這次我們去哪間教會?
[00:00:46.000 --> 00:00:52.000]  去兒長、兒媽的教會,還是去舅父舅母的教會?
[00:00:52.000 --> 00:00:56.000]  今晚她不用選擇,如果她在這的話,
[00:00:56.000 --> 00:01:03.000]  十年,在香港是很敏感的兩個字。
[00:01:03.000 --> 00:01:14.000]  但是神的恩典豐豐富富,臨到我們每一個人,每一個家庭。
[00:01:14.000 --> 00:01:25.000]  十年前我太太身體軟弱,但是在弟兄姊妹當中,直到今天都得到很多的鼓勵。
[00:01:25.000 --> 00:01:34.000]  無論是在地上的弟兄姊妹,還是在天上的弟兄姊妹。
[00:01:34.000 --> 00:01:43.000]  很感謝神,真的經歷過的都是恩典,所以今晚是存著一個感恩的心。
[00:01:43.000 --> 00:01:53.000]  回到大家當中,我們打開聖經,用神的話來彼此勸勉。
[00:01:53.000 --> 00:02:03.000]  我選了一本書,我敢說是聖經當中我們最不熟悉的。
[00:02:03.000 --> 00:02:09.000]  可能你會問,為什麼要讀歷代志?
[00:02:09.000 --> 00:02:14.000]  你能不能想到歷代志當中有哪一句金句?
[00:02:14.000 --> 00:02:17.000]  好像沒有。
[00:02:17.000 --> 00:02:20.000]  你記不記得歷代志當中說了什麼?
[00:02:20.000 --> 00:02:29.000]  說歷史,最沉悶,最無聊,人名地名年份。
[00:02:29.000 --> 00:02:38.000]  我們對歷代志有這樣的印象,一點都不奇怪,因為是陌生的。
[00:02:38.000 --> 00:02:49.000]  但其實讀歷代志最大的挑戰,就是一開始一年九章,
[00:02:49.000 --> 00:02:58.000]  一二三四五六七八九,九章的聖經都是家譜,
[00:02:58.000 --> 00:03:05.000]  怎麼熬?如果你要讀,怎麼熬得過去?
[00:03:05.000 --> 00:03:10.000]  第一天很用心讀完第一章,已經頭都爆了,
[00:03:10.000 --> 00:03:13.000]  還有八天要讀,每天讀一章,搞不定。
[00:03:13.000 --> 00:03:21.000]  今晚我們試試一晚讀完九章,是不可能的事。
[00:03:21.000 --> 00:03:30.000]  如果你有聖經在手上,請你打開歷代志上第一章。
[00:03:30.000 --> 00:03:41.000]  歷代志在烈王紀之後,如果你遣到舊約的詩篇,就過了龍了,要遣到前面。
[00:03:41.000 --> 00:03:48.000]  如果你用iPhone最簡單,你點擊就出來了,不用找,不用記。
[00:03:48.000 --> 00:03:57.000]  如果你沒有聖經,可能和隔壁一起麻煩看,我們今晚都要看好幾段經文。
[00:03:57.000 --> 00:04:05.000]  歷代志上第一章,第一節開始。
[00:04:05.000 --> 00:04:09.000]  我試試讀給大家聽,聖經快要來了,
[00:04:09.000 --> 00:04:16.000]  如果你沒有聖經需要,你舉手吧,拿到才放下,不用客氣。
[00:04:16.000 --> 00:04:20.000]  來到教會,教會甚麼都不給你,聖經一定給你的。
[00:04:20.000 --> 00:04:30.000]  尤其是聖經神學的講座聚會,很重要,我們大家都可以看到神的說話。
[00:04:30.000 --> 00:04:34.000]  歷代志上,還有聖經的,有沒有人沒有?
[00:04:34.000 --> 00:04:39.000]  你舉手吧,等到有才放下,不要客氣。
[00:04:39.000 --> 00:04:55.000]  歷代志上第一章,第一節到第四節。
[00:04:55.000 --> 00:04:57.000]  找到我們一起讀吧。
[00:04:57.000 --> 00:05:19.000]  亞當生塞特,塞特生以羅氏,以羅氏生蓋南,蓋南生馬勒烈,馬勒烈生雅烈,雅烈生以洛,以洛生馬圖撒拉,馬圖撒拉生拉麥,
[00:05:19.000 --> 00:05:26.000]  拉麥生羅亞,羅亞生閃含雅忽。
[00:05:26.000 --> 00:05:28.000]  你說是不是頭都爆了?
[00:05:28.000 --> 00:05:35.000]  土字還是士字都要讀過才知道,上面的劃長還是下面的劃短?
[00:05:35.000 --> 00:05:37.000]  真的很難讀的。
[00:05:37.000 --> 00:05:50.000]  其實,聖經亞當生塞特,五個字旁邊都有標點符號的,有沒有?
[00:05:50.000 --> 00:05:58.000]  亞當和塞特,那個是專名號,有一棟在旁邊。
[00:05:58.000 --> 00:06:02.000]  如果聖經沒有這些標點符號的,就要退了。
[00:06:02.000 --> 00:06:07.000]  如果你的電話沒有,就不要用電話看聖經,
[00:06:07.000 --> 00:06:13.000]  為什麼呢?因為中間的生字旁邊有什麼?
[00:06:13.000 --> 00:06:17.000]  有三點,不是三點水。
[00:06:17.000 --> 00:06:21.000]  三點這個符號代表什麼意思,大家知道嗎?
[00:06:21.000 --> 00:06:25.000]  你知道的,中文聖經很誠實的,
[00:06:25.000 --> 00:06:32.000]  它多了一個字,它會告訴你,這個字本來是沒有的。
[00:06:32.000 --> 00:06:40.000]  不過翻譯的時候,一百年前,和合本翻譯是很大的project,
[00:06:40.000 --> 00:06:51.000]  一個中國教會在宣教士和中國讀書的秀才,
[00:06:51.000 --> 00:06:55.000]  信了耶穌合作翻譯的聖經。
[00:06:55.000 --> 00:06:57.000]  他們誠實到一個地步,就告訴你,
[00:06:57.000 --> 00:07:06.000]  其實生字是不出現在原本希伯來聖經這一節,
[00:07:06.000 --> 00:07:10.000]  是中文聖經加上去的。
[00:07:10.000 --> 00:07:16.000]  不過其實它加的字眼,不只是生字,
[00:07:16.000 --> 00:07:24.000]  不過其他它加了的,因為旁邊已經有一個專名號霸佔了位置,
[00:07:24.000 --> 00:07:27.000]  所以它那三點加不到在旁邊,
[00:07:27.000 --> 00:07:33.000]  以致你不知道它其實還加多了很多東西。
[00:07:33.000 --> 00:07:42.000]  我試試還原本來這四節聖經到底是怎樣寫法的,
[00:07:42.000 --> 00:07:45.000]  我讀給你聽,你跟著經文看著,
[00:07:45.000 --> 00:07:49.000]  看你能不能看到分別有多大。
[00:07:49.000 --> 00:07:54.000]  來吧,不要看著我,看著你手上的那本聖經。
[00:07:54.000 --> 00:07:57.000]  歷代至上是這樣開始的,
[00:07:57.000 --> 00:08:10.000]  亞當、瑟特、以羅氏、蓋南、瑪勒烈、瓦烈、
[00:08:10.000 --> 00:08:24.000]  以諾、瑪圖撒拉、黎墨、挪亞、閃、含、瓦弗。
[00:08:24.000 --> 00:08:28.000]  在做一件什麼事,知不知道?
[00:08:28.000 --> 00:08:34.000]  什麼時候你聽過名字是這樣讀出來的?
[00:08:34.000 --> 00:08:41.000]  每個人都聽過點名,第一堂開學,老師走進來,
[00:08:41.000 --> 00:08:47.000]  班主任第一件事,打開點名簿,逐個名字叫,
