
[00:00:00.000 --> 00:00:05.920]  在世界不同的地方
[00:00:05.920 --> 00:00:08.960]  真的有很多中國同胞
[00:00:08.960 --> 00:00:09.760]  華人
[00:00:09.760 --> 00:00:12.560]  尤其是現在中國開放的政策
[00:00:12.560 --> 00:00:13.920]  全世界都看到他們
[00:00:13.920 --> 00:00:16.160]  以前我們常說中國門什麼時候打開
[00:00:16.160 --> 00:00:17.760]  現在全都來到我們身邊
[00:00:17.760 --> 00:00:20.000]  請大家特別敬認他們
[00:00:20.000 --> 00:00:21.440]  我自己心裡都是負擔
[00:00:21.440 --> 00:00:23.120]  大家都知道在中國的負擔
[00:00:23.120 --> 00:00:26.720]  每次聽到中國同胞信主心裡都很興奮
[00:00:26.720 --> 00:00:29.280]  尤其是在希伯來這個地方
[00:00:29.280 --> 00:00:30.640]  唐用希伯來文
[00:00:30.640 --> 00:00:33.440]  今天我們看一篇希伯來的詩篇
[00:00:33.440 --> 00:00:35.680]  123篇
[00:00:35.680 --> 00:00:37.600]  這篇詩篇是希伯來文寫的
[00:00:37.600 --> 00:00:41.120]  雖然我們要用中文來看
[00:00:41.120 --> 00:00:43.280]  詩篇123篇
[00:00:43.280 --> 00:00:44.160]  舊約
[00:00:44.160 --> 00:00:46.880]  大家唐用聖經655頁
[00:00:46.880 --> 00:00:51.280]  我們一起思想這篇很短的四節聖經
[00:00:51.280 --> 00:00:54.880]  但是這篇是一篇很美麗
[00:00:54.880 --> 00:00:56.560]  很斯文
[00:00:56.560 --> 00:00:58.320]  一點都不浮誇
[00:00:58.320 --> 00:01:01.840]  但是那個情感很深刻
[00:01:01.840 --> 00:01:03.600]  很狠切
[00:01:03.600 --> 00:01:05.120]  很堅忍
[00:01:05.120 --> 00:01:08.960]  好像詩人說我被人藐視已經到了極點
[00:01:08.960 --> 00:01:10.960]  我被人藐視到了極點
[00:01:10.960 --> 00:01:12.080]  說了兩次
[00:01:12.080 --> 00:01:13.520]  極點原來的意思
[00:01:13.520 --> 00:01:15.760]  希伯來文的意思是我夠了
[00:01:15.760 --> 00:01:17.120]  I had enough
[00:01:17.120 --> 00:01:18.240]  我被人
[00:01:18.240 --> 00:01:19.760]  用我們香港的說話
[00:01:19.760 --> 00:01:21.760]  被人踩到夠了
[00:01:21.760 --> 00:01:22.800]  他很坦白
[00:01:22.800 --> 00:01:24.800]  說到他心裡很苦
[00:01:24.800 --> 00:01:26.400]  然後他說我仰望
[00:01:26.400 --> 00:01:28.160]  我仰望我的神
[00:01:28.160 --> 00:01:33.280]  我求祂施恩憐憫
[00:01:33.280 --> 00:01:35.600]  我求祂施恩憐憫
[00:01:35.600 --> 00:01:37.440]  這樣說是他說的
[00:01:37.440 --> 00:01:38.720]  說了三次
[00:01:38.720 --> 00:01:40.720]  很坦誠
[00:01:40.720 --> 00:01:42.480]  我相信大家最記得的
[00:01:42.480 --> 00:01:44.000]  就是當中那兩句說話
[00:01:44.000 --> 00:01:45.200]  我仰望我的神
[00:01:45.200 --> 00:01:47.440]  我的眼目就像一個僕人
[00:01:47.440 --> 00:01:49.440]  看著主人的手
[00:01:49.440 --> 00:01:50.960]  又好像一個婢女
[00:01:50.960 --> 00:01:52.640]  看著她主母的手一樣
[00:01:52.640 --> 00:01:53.680]  大家都很記得
[00:01:53.680 --> 00:01:55.680]  很斯文很不浮誇
[00:01:55.680 --> 00:01:58.240]  但是有一種很深刻的堅忍
[00:01:58.240 --> 00:02:00.240]  一種很坦誠的感情
[00:02:00.240 --> 00:02:02.240]  我相信這就是這篇詩篇的風格
[00:02:02.240 --> 00:02:03.840]  你知道我看完這篇詩篇的時候
[00:02:03.840 --> 00:02:05.280]  我第一個反應是什麼嗎
[00:02:05.280 --> 00:02:08.320]  我覺得很像我們北宣家的風格
[00:02:08.320 --> 00:02:10.320]  我們北宣家也有個性格
[00:02:10.320 --> 00:02:13.760]  待會你一定要拿這本歷史傳統
[00:02:13.760 --> 00:02:16.160]  當中蕭牧師有一篇很好的文章
[00:02:16.160 --> 00:02:16.880]  一定要看的
[00:02:16.880 --> 00:02:18.240]  就是我們北宣家的
[00:02:18.240 --> 00:02:21.040]  屬靈的傳統
[00:02:21.040 --> 00:02:22.160]  我們有一個風格
[00:02:22.160 --> 00:02:23.600]  我覺得北宣家就是這樣
[00:02:23.600 --> 00:02:25.120]  香港有很多不同的教會
[00:02:25.120 --> 00:02:27.120]  有些教會是很情緒高漲的
[00:02:27.120 --> 00:02:30.480]  有些教會是很有行政效率的
[00:02:30.480 --> 00:02:31.520]  我們不是這些
[00:02:31.520 --> 00:02:34.560]  我們是很斯文的
[00:02:34.560 --> 00:02:36.560]  我們用了三十多年
[00:02:36.560 --> 00:02:39.040]  我信了主
[00:02:39.040 --> 00:02:41.760]  在北宣家也有這麼久的日子
[00:02:41.760 --> 00:02:45.120]  我相信這篇詩篇很像我們那種風格
[00:02:45.120 --> 00:02:46.160]  就是這樣
[00:02:46.160 --> 00:02:47.120]  我們不浮誇
[00:02:47.120 --> 00:02:50.080]  我們不多說一些很激烈的話
[00:02:50.080 --> 00:02:53.280]  但是詩人說的那句就是那句
[00:02:53.280 --> 00:02:57.120]  我仰望我的神
[00:02:57.120 --> 00:02:58.400]  很狠詞
[00:02:58.400 --> 00:03:00.320]  直到他聽我的為止
[00:03:00.320 --> 00:03:01.600]  就這麼簡單
[00:03:01.600 --> 00:03:03.520]  直到他開恩憐憫我
[00:03:03.520 --> 00:03:05.840]  所以這篇詩篇我想和大家一起分享
[00:03:05.840 --> 00:03:08.000]  那你說這篇詩篇為什麼這麼慘呢
