
[00:00:00.000 --> 00:00:08.960]  多謝主席剛才帶領我們讀了這段今天要思考的經文
[00:00:08.960 --> 00:00:15.960]  這段經文表面上好像是在說施洗約翰
[00:00:15.960 --> 00:00:20.360]  由於他坐牢引起一個話題
[00:00:20.360 --> 00:00:25.160]  耶穌也說有關他的一些事情
[00:00:25.160 --> 00:00:32.000]  耶穌對約翰有些看法 耶穌對所有人都有看法
[00:00:32.000 --> 00:00:34.120]  包括你和我當然
[00:00:34.120 --> 00:00:38.720]  但是我希望能夠說服大家
[00:00:38.720 --> 00:00:42.000]  其實這段經文不是說施洗約翰
[00:00:42.000 --> 00:00:44.320]  施洗約翰只是一個引子
[00:00:44.320 --> 00:00:47.080]  其實是說主耶穌自己
[00:00:47.080 --> 00:00:50.040]  這段經文和我們有沒有關係呢
[00:00:50.040 --> 00:00:54.760]  表面上好像是沒有什麼關係
[00:00:54.760 --> 00:00:59.600]  說施洗約翰就當是說主耶穌基督
[00:00:59.600 --> 00:01:01.200]  和我們有什麼關係呢
[00:01:01.200 --> 00:01:06.920]  一會兒我希望能夠讓大家看到這段經文
[00:01:06.920 --> 00:01:10.720]  耶穌所說的施洗約翰也好
[00:01:10.720 --> 00:01:14.520]  當時他當世代的人也好
[00:01:14.520 --> 00:01:18.720]  其實今天和我們息息相關
[00:01:18.720 --> 00:01:30.000]  我一會兒和大家分享的焦點會放在第十一節
[00:01:30.000 --> 00:01:34.640]  主耶穌所說的施洗約翰的時候
[00:01:34.640 --> 00:01:38.800]  說了一句比較奇特的話
[00:01:38.800 --> 00:01:42.400]  表面上好像有一點點的智商矛盾
[00:01:42.400 --> 00:01:47.280]  主耶穌對門徒說
[00:01:47.280 --> 00:01:51.440]  凡女子所生的沒有一個比施洗約翰大
[00:01:51.440 --> 00:01:55.520]  當時周圍的人可能也會聽到
[00:01:55.520 --> 00:02:00.240]  但是在天國裡興起的沒有一個
[00:02:00.240 --> 00:02:03.840]  最小的也比他還大
[00:02:03.840 --> 00:02:08.960]  我們主要到最後都希望能夠明白
[00:02:08.960 --> 00:02:12.640]  到底主耶穌在這裡說的是什麼
[00:02:12.640 --> 00:02:15.280]  為什麼焦點不是約翰
[00:02:15.280 --> 00:02:17.600]  其實他好像和我們無關
[00:02:17.600 --> 00:02:22.880]  又和我們息息相關
[00:02:22.880 --> 00:02:27.120]  我就把自己在這裡的思念
[00:02:27.120 --> 00:02:28.800]  對這段經文的一些思念
[00:02:28.800 --> 00:02:30.640]  呈現在大家面前
[00:02:30.640 --> 00:02:35.800]  也在崇拜當中呈現在主面前
[00:02:35.800 --> 00:02:42.320]  向他擺上再次低頭祈禱
[00:02:42.320 --> 00:02:45.760]  希望我們在這裡敬拜的時候
[00:02:45.760 --> 00:02:49.800]  願意你自己心滿意足
[00:02:49.800 --> 00:02:53.200]  不單止我們知道不單止只是我們
[00:02:53.200 --> 00:02:58.400]  而是在這個城市這個時區
[00:02:58.400 --> 00:03:01.040]  這個世界裡面不同時區
[00:03:01.040 --> 00:03:04.320]  我們這群屬於你自己的子民
[00:03:04.320 --> 00:03:07.600]  聚集向你敬拜的時候
[00:03:07.600 --> 00:03:09.800]  願意你向我們施恩
