
[00:00:00.000 --> 00:00:08.000]  師父我們感謝你,讓我們豐足
[00:00:08.000 --> 00:00:15.000]  感謝你,讓我們充分有各種的自由
[00:00:15.000 --> 00:00:18.000]  去傳講你的親歷
[00:00:18.000 --> 00:00:23.000]  但我們禱告裏仍然為了不少宣教士
[00:00:23.000 --> 00:00:30.000]  去到一些狹縫裏面來做見證
[00:00:30.000 --> 00:00:36.000]  他們有很嚴謹的控制
[00:00:36.000 --> 00:00:40.000]  國家不容許他們跟人傳福音
[00:00:40.000 --> 00:00:43.000]  我們特別為他們來禱告
[00:00:43.000 --> 00:00:47.000]  求他們有智慧,在這個狹縫裏面
[00:00:47.000 --> 00:00:51.000]  如何仍然用他們的生活方式
[00:00:51.000 --> 00:00:54.000]  和幾個幾個一起在的時候
[00:00:54.000 --> 00:00:59.000]  他們能夠將你的話傳講得清晰
[00:00:59.000 --> 00:01:02.000]  而且能夠薪火相傳
[00:01:02.000 --> 00:01:04.000]  求你答應我們
[00:01:04.000 --> 00:01:06.000]  透過我們的猜拳聯會
[00:01:06.000 --> 00:01:08.000]  提醒我們這個世界
[00:01:08.000 --> 00:01:11.000]  越來越接近你在來的日子
[00:01:11.000 --> 00:01:16.000]  撕裂是表示你逢寶的時候到了
[00:01:16.000 --> 00:01:18.000]  答應我們
[00:01:18.000 --> 00:01:20.000]  聽我們禱告,奉耶穌基督的名
[00:01:20.000 --> 00:01:22.000]  阿們
[00:01:22.000 --> 00:01:24.000]  感謝主的恩典
[00:01:24.000 --> 00:01:29.000]  1977年我們有機會
[00:01:29.000 --> 00:01:33.000]  基督分子行到美國那邊進修神學
[00:01:33.000 --> 00:01:36.000]  我們去到那邊的時候
[00:01:36.000 --> 00:01:38.000]  參加第一間華人教會
[00:01:38.000 --> 00:01:41.000]  是真的開闊了我們的眼界
[00:01:41.000 --> 00:01:44.000]  這間教會的成立
[00:01:44.000 --> 00:01:48.000]  是因為他們一班華人
[00:01:48.000 --> 00:01:52.000]  讀完大學,拿了他們的學位之後
[00:01:52.000 --> 00:01:54.000]  就在那邊留下來工作
[00:01:54.000 --> 00:01:58.000]  誰知他們參加這間老的華僑教會
[00:01:58.000 --> 00:02:01.000]  他們是對學生工作毫無興趣的
[00:02:01.000 --> 00:02:04.000]  他們就說那邊有這麼大的大學
[00:02:04.000 --> 00:02:08.000]  成千的華人學生在那邊讀書
[00:02:08.000 --> 00:02:12.000]  我們不如請一個專職的同工
[00:02:12.000 --> 00:02:17.000]  進到校園裡,再和一些領袖進去
[00:02:17.000 --> 00:02:19.000]  做科研工作
[00:02:19.000 --> 00:02:22.000]  誰知那個專職的同工就說
[00:02:22.000 --> 00:02:25.000]  他們不會考慮做這個工作
[00:02:25.000 --> 00:02:27.000]  原因是什麼呢?
[00:02:27.000 --> 00:02:30.000]  原因是因為學生沒有經濟能力
[00:02:30.000 --> 00:02:32.000]  去做那邊的工作
[00:02:32.000 --> 00:02:37.000]  永遠是沒有回報的
[00:02:37.000 --> 00:02:40.000]  所以他們就不去做這件事
[00:02:40.000 --> 00:02:43.000]  當時聽到這件事的時候
[00:02:43.000 --> 00:02:45.000]  心裡非常憤怒
[00:02:45.000 --> 00:02:48.000]  因為他們本身就是受益人
[00:02:48.000 --> 00:02:50.000]  他們就是因為去那邊讀書
[00:02:50.000 --> 00:02:53.000]  有機會聽到福音,以致信主
[00:02:53.000 --> 00:02:58.000]  但沒想到連西人都這麼有使命感
[00:02:58.000 --> 00:03:00.000]  向華人學生傳福音
[00:03:00.000 --> 00:03:03.000]  為什麼華人教會反而沒有這種使命感
[00:03:03.000 --> 00:03:05.000]  進到他們當中呢?
[00:03:05.000 --> 00:03:07.000]  是因為這樣
[00:03:07.000 --> 00:03:10.000]  幾個執事就出來
[00:03:10.000 --> 00:03:12.000]  就在大學附近
[00:03:12.000 --> 00:03:15.000]  密鎖了一間美國人的教會
[00:03:15.000 --> 00:03:19.000]  這間教會的主任牧師非常開放
[00:03:19.000 --> 00:03:22.000]  非常有熱情
[00:03:22.000 --> 00:03:25.000]  看到他們來的時候,直接告訴他們
[00:03:25.000 --> 00:03:28.000]  他們教會有什麼地方,他們能用得著的
[00:03:28.000 --> 00:03:31.000]  他們就儘管出聲
[00:03:31.000 --> 00:03:33.000]  是因為這樣
[00:03:33.000 --> 00:03:35.000]  這班信徒領袖
[00:03:35.000 --> 00:03:40.000]  他們就開始在那個地方成立一間華人的教會
[00:03:40.000 --> 00:03:43.000]  但這間教會不是廣東話
[00:03:43.000 --> 00:03:45.000]  是以國語為主
[00:03:45.000 --> 00:03:49.000]  另外也有廣東話,是雙語進行
[00:03:49.000 --> 00:03:52.000]  接著他們對下一代
[00:03:52.000 --> 00:03:57.000]  也有一些青少年用英文來做的工作
[00:03:57.000 --> 00:04:00.000]  一開始已經是三語
