
[00:00:00.000 --> 00:00:10.000]  平安 我相信大家心裏面當你看到電視看到報紙
[00:00:10.000 --> 00:00:19.000]  你心裏面都不會有很多的平安 我相信現在這個時刻平安是最難尋的
[00:00:19.000 --> 00:00:28.000]  我們都很擔心到底發生了什麼事 會不會影響我們每一個人
[00:00:28.000 --> 00:00:37.000]  我相信大家心裏面都有很多的憂慮 所以我們今天一齊要思想一下這個平安到底是指什麼
[00:00:37.000 --> 00:00:44.000]  一般我們一講平安 一般人就會想起平安
[00:00:44.000 --> 00:00:50.000]  我們中國人說平安兩個字就值一千兩黃金 很值錢
[00:00:50.000 --> 00:00:54.000]  所以平安二字值千金 但是平安去哪裡找呢
[00:00:54.000 --> 00:00:59.000]  我們第一個問題就是要問到底什麼是平安
[00:00:59.000 --> 00:01:06.000]  一般人的想法 平安第一就是我們有一個很安定的環境
[00:01:06.000 --> 00:01:10.000]  風平浪靜 國泰民安 什麼事都沒有
[00:01:10.000 --> 00:01:18.000]  我們其實很多弟兄姊妹來到美國都是想在這裏有一個安定的環境
[00:01:18.000 --> 00:01:25.000]  我很佩服那些中年在香港生活得很好 在中國生活得很好
[00:01:25.000 --> 00:01:33.000]  連根拔起來到這裏就是想為子女製造一個機會
[00:01:33.000 --> 00:01:36.000]  給他們有一個安定的環境 可以在這裏生活
[00:01:36.000 --> 00:01:40.000]  所以我們第一樣想起平安的時候
[00:01:40.000 --> 00:01:45.000]  我們就想起我們要住一個很安定的國家 很安定的環境
[00:01:45.000 --> 00:01:51.000]  很安定我們住的鄰居 最好不要有事搞到我們
[00:01:51.000 --> 00:01:58.000]  第二樣東西我們就會說這是外出的環境 最重要一個人是心境
[00:01:58.000 --> 00:02:02.000]  環境安定 但是你的心境未必安定
[00:02:02.000 --> 00:02:08.000]  所以第二樣東西我們要有平安的 我們要心境長和
[00:02:08.000 --> 00:02:15.000]  我們要精神愉快 無憂無慮 最好就是能夠沒有什麼憂慮
[00:02:15.000 --> 00:02:21.000]  心境長和平安 有些人說這樣都不夠 如果你的身體不好
[00:02:21.000 --> 00:02:26.000]  經常要看醫生 經常要去醫院 那你都很煩的
[00:02:26.000 --> 00:02:30.000]  所以我年紀越來越大 但是我想身體保持得好
[00:02:30.000 --> 00:02:33.000]  所以第三樣東西我們想起平安的時候
[00:02:33.000 --> 00:02:39.000]  就想起我們的身體最好不要有病痛 我可以走得走得 我可以去旅行
[00:02:39.000 --> 00:02:49.000]  我不用經常擔心自己 什麼高什麼低 身體健康
[00:02:49.000 --> 00:02:54.000]  第四樣東西我們都是有家庭的
[00:02:54.000 --> 00:03:02.000]  所以我們如果要平安的話 我們的家庭要幸福 夫妻相愛 子女孝順 最好就是父慈子孝
[00:03:02.000 --> 00:03:06.000]  這四樣東西都有了 你說是不是很平安呢?
[00:03:06.000 --> 00:03:14.000]  環境平安 我的心境平安 我身體又沒事了 我家庭又和氣了
[00:03:14.000 --> 00:03:19.000]  真的很難得 但是有些人說如果你沒有錢都不行的
[00:03:19.000 --> 00:03:24.000]  你一個人很窮 你的心都不平安的 經常憂柴憂米
[00:03:24.000 --> 00:03:30.000]  所以說我的收入要豐厚 或者我退休有很大筆儲蓄
[00:03:30.000 --> 00:03:37.000]  我工作的職業又穩定 我投資又順利
[00:03:37.000 --> 00:03:42.000]  這五樣東西都有齊就有平安了
[00:03:42.000 --> 00:03:52.000]  但是我相信你這五樣東西都有齊 今天你看到周圍的環境 你的心都不會很平安
[00:03:52.000 --> 00:04:01.000]  近期我很關注中國發生的事情
[00:04:01.000 --> 00:04:06.000]  不單是發生在中國 影響我們中國人
[00:04:06.000 --> 00:04:11.000]  更重要的是我的兒子 我兒子住在香港
[00:04:11.000 --> 00:04:18.000]  我兒子是讀電影的 他一向都在羅省讀完電影
[00:04:18.000 --> 00:04:23.000]  這十幾年都在羅省電影界做事
[00:04:23.000 --> 00:04:33.000]  前年年尾他就換了一個部門 他是做劇本的 他寫的很厲害
[00:04:33.000 --> 00:04:41.000]  他的部門是不用上班的 你在家裡做都可以 有電腦就可以了
[00:04:41.000 --> 00:04:48.000]  所以他部門的人可以選擇在世界上任何地方 你喜歡就在那裡住
[00:04:48.000 --> 00:04:53.000]  總之你有電腦就可以了 你不一定要住在美國
[00:04:53.000 --> 00:05:01.000]  他就選擇搬回香港 因為他小時候我們有幾年住在香港
[00:05:01.000 --> 00:05:09.000]  所以他很懷念香港的生活 他還有些同學還在香港
[00:05:09.000 --> 00:05:15.000]  所以他一想起香港就很喜歡 所以他有機會就搬回去
[00:05:15.000 --> 00:05:20.000]  搬回去也不簡單 他有兩隻貓 他很疼愛貓
[00:05:20.000 --> 00:05:24.000]  那兩隻貓搬回香港很大陣仗
[00:05:24.000 --> 00:05:31.000]  兩隻貓每一隻要兩三千元的機票 還不是坐在倉庫裡 沒位置坐的
[00:05:31.000 --> 00:05:40.000]  不是在人坐的倉庫 兩隻貓搬回去就陪他
[00:05:40.000 --> 00:05:45.000]  這是去年二月的事 二月香港很好
[00:05:45.000 --> 00:05:50.000]  六月開始發生什麼事呢 反佔中
[00:05:50.000 --> 00:06:00.000]  我們在那裡看就有點擔心 年輕人會不會走到街上示威呢 暴動呢
[00:06:00.000 --> 00:06:04.000]  但是你做父母的就知道了 你不可以問他
[00:06:04.000 --> 00:06:10.000]  你問他他不高興 他不說你就不出聲
[00:06:10.000 --> 00:06:21.000]  久不久就看看你到底怎麼樣 到十一月十二月就開始武漢的疫情
[00:06:21.000 --> 00:06:29.000]  武漢的疫情 知道香港去搬口罩很困難 所以我們寄回去
[00:06:29.000 --> 00:06:34.000]  二十五元去搬口罩 五十元才可以寄回去
[00:06:34.000 --> 00:06:41.000]  我們已經寄了幾次了 第二次還要一百元 郵局寄回去五十元
