
[00:00:00.000 --> 00:00:05.220]  我們接著一齊思想聖經的訊息
[00:00:05.220 --> 00:00:07.220]  大家和我一起仰望、祈禱
[00:00:07.220 --> 00:00:09.960]  天父我們感謝你
[00:00:09.960 --> 00:00:15.100]  因為你每一天每一天帶領我們走人生的路
[00:00:15.100 --> 00:00:22.060]  你也來吩咐我們要行在你自己的光當中
[00:00:22.060 --> 00:00:26.360]  主我們知道你的說話不單止是指導
[00:00:26.360 --> 00:00:28.360]  更加是帶著能力
[00:00:28.360 --> 00:00:31.360]  當我們來到聽眾的時候
[00:00:31.360 --> 00:00:36.800]  給我們生命的力量來行在你自己的路上
[00:00:36.800 --> 00:00:40.600]  因此主如今我們再次向主等候
[00:00:40.600 --> 00:00:43.600]  向望主賜下你自己聖經的說話
[00:00:43.600 --> 00:00:46.100]  你自己的聖靈的能力
[00:00:46.100 --> 00:00:49.100]  叫我們可以行在你的路上
[00:00:49.100 --> 00:00:51.600]  蒙受你要賜下的恩惠
[00:00:51.600 --> 00:00:53.300]  求你施恩
[00:00:53.300 --> 00:00:56.300]  帶領我們繼續一起思想聖經的時間
[00:00:56.300 --> 00:01:00.300]  我們仰望、祈禱奉耶穌聖名求
[00:01:00.300 --> 00:01:01.300]  阿們
[00:01:01.300 --> 00:01:02.300]  大家再見
[00:01:02.300 --> 00:01:03.300]  回到聖經
[00:01:03.300 --> 00:01:05.300]  接著我們前書第五章
[00:01:05.300 --> 00:01:08.300]  我們今天思想聖經的一個重點
[00:01:08.300 --> 00:01:10.300]  是不要沉睡
[00:01:10.300 --> 00:01:12.300]  當聖經提到沉睡的時候
[00:01:12.300 --> 00:01:16.300]  有一個很重要的訊息
[00:01:16.300 --> 00:01:19.300]  就好像我們現在所講及的
[00:01:19.300 --> 00:01:23.300]  就是一邊走一邊睡
[00:01:23.300 --> 00:01:25.300]  在日間當走路的時候
[00:01:25.300 --> 00:01:28.300]  一邊走一邊睡
[00:01:28.300 --> 00:01:33.300]  這就是聖經裏面包含了一種沉睡的含義
[00:01:33.300 --> 00:01:35.300]  當然如果在實際生活上
[00:01:35.300 --> 00:01:38.300]  如果你能夠一邊走一邊睡
[00:01:38.300 --> 00:01:41.300]  你的技術都很高超
[00:01:41.300 --> 00:01:45.300]  我相信沒有誰可以這樣做
[00:01:45.300 --> 00:01:47.300]  但當然有些人能夠這樣做
[00:01:47.300 --> 00:01:49.300]  我們叫他們做什麼?
[00:01:49.300 --> 00:01:51.300]  做夢遊
[00:01:51.300 --> 00:01:53.300]  我真的認識一個親人
[00:01:53.300 --> 00:01:57.300]  他的家庭有一次去到一個地方旅行
[00:01:57.300 --> 00:01:59.300]  半夜的時候全部人都睡了
[00:01:59.300 --> 00:02:02.300]  突然間酒店的員工走來敲門
[00:02:02.300 --> 00:02:04.300]  帶著一個小童
[00:02:04.300 --> 00:02:06.300]  「弟弟,是不是你們?」
[00:02:06.300 --> 00:02:09.300]  他說「是啊,女兒怎麼會走出去?」
[00:02:09.300 --> 00:02:13.300]  原來小孩子半夜夢遊
[00:02:13.300 --> 00:02:16.300]  出了酒店周圍的地方
[00:02:16.300 --> 00:02:18.300]  一個人周圍走
[00:02:18.300 --> 00:02:20.300]  經過游泳池
[00:02:20.300 --> 00:02:22.300]  可能遇到陌生人
[00:02:22.300 --> 00:02:24.300]  被員工發現
[00:02:24.300 --> 00:02:28.300]  問他「你從哪裡來?在哪個房間?」
[00:02:28.300 --> 00:02:30.300]  他才醒來
[00:02:30.300 --> 00:02:33.300]  但他不知道自己住哪個房間
[00:02:33.300 --> 00:02:35.300]  所以經過一輪查察
[00:02:35.300 --> 00:02:40.300]  敲門之後才找他的父母帶他進去
[00:02:40.300 --> 00:02:44.300]  如果一邊走一邊睡
[00:02:44.300 --> 00:02:47.300]  或者你覺得很有效率
[00:02:47.300 --> 00:02:50.300]  可以一邊工作一邊睡
[00:02:50.300 --> 00:02:53.300]  但另一方面你會很清楚知道
[00:02:53.300 --> 00:02:56.300]  這種情況是極其危險的情形
[00:02:56.300 --> 00:02:58.300]  隨時會遇到意外
[00:02:58.300 --> 00:03:01.300]  甚至是很多的傷亡
[00:03:01.300 --> 00:03:04.300]  正如你所說的情況
[00:03:04.300 --> 00:03:08.300]  人既然在白天生活
[00:03:08.300 --> 00:03:10.300]  就不應該沉睡
[00:03:10.300 --> 00:03:13.300]  亦意味著屬神的人
[00:03:13.300 --> 00:03:15.300]  既然是屬於白日
[00:03:15.300 --> 00:03:17.300]  正如你所說的白日之子
[00:03:17.300 --> 00:03:19.300]  白晝之子
[00:03:19.300 --> 00:03:21.300]  不應該沉睡
[00:03:21.300 --> 00:03:23.300]  所以在聖經第五章
[00:03:23.300 --> 00:03:25.300]  所提及的前書
[00:03:25.300 --> 00:03:27.300]  正是勉勵我們要留心
[00:03:27.300 --> 00:03:30.300]  不要在白日來沉睡
[00:03:30.300 --> 00:03:34.300]  大家請先看聖經第五章第二節
