
[00:00:00.000 --> 00:00:05.000]  由我們開始聆聽主導熱線
[00:00:05.000 --> 00:00:08.000]  我們先以禱告交託給主我們神
[00:00:08.000 --> 00:00:13.000]  多謝你讓我們能夠回來在主你的說話前學習
[00:00:13.000 --> 00:00:20.000]  讓我們學會如何做一個更加配稱為神的子民的屬神的兒女
[00:00:20.000 --> 00:00:22.000]  求你的幫助
[00:00:22.000 --> 00:00:27.000]  無論聽的說的在主你的裡面都同樣可以得到你的祖咒
[00:00:27.000 --> 00:00:31.000]  讓我們能夠在生命上面躺藥
[00:00:31.000 --> 00:00:36.000]  做了一段基督徒長時間之後感覺到開始麻木
[00:00:36.000 --> 00:00:38.000]  變成一種習慣
[00:00:38.000 --> 00:00:41.000]  但願主你讓我們有更新的生命
[00:00:41.000 --> 00:00:47.000]  求你的幫助帶領我們的同心禱告奉靠主耶穌基督的名字而靠
[00:00:47.000 --> 00:00:48.000]  阿們
[00:00:48.000 --> 00:00:52.000]  最近我發覺很有趣在這個世界
[00:00:52.000 --> 00:01:02.000]  原來很多人犯罪之後就很喜歡自己爆自己犯過的罪
[00:01:02.000 --> 00:01:06.000]  覺得很威風
[00:01:06.000 --> 00:01:11.000]  於是就把他全部說出來
[00:01:11.000 --> 00:01:22.000]  其實我相信這種思維就是人們用太多社交媒體軟件
[00:01:22.000 --> 00:01:25.000]  即是社交媒體應用程式
[00:01:25.000 --> 00:01:29.000]  我不列名了因為我怕被人告
[00:01:29.000 --> 00:01:42.000]  因為大家喜歡在社交媒體裡面賺取讚賞或流量
[00:01:42.000 --> 00:01:47.000]  於是無所不用其技
[00:01:47.000 --> 00:01:51.000]  好的事情自己又做不多又做得不好
[00:01:51.000 --> 00:01:55.000]  又不覺得別人覺得你有什麼特別
[00:01:55.000 --> 00:02:01.000]  於是唯有做一些醜事
[00:02:01.000 --> 00:02:03.000]  做一些惡事
[00:02:03.000 --> 00:02:05.000]  惡事不難做
[00:02:05.000 --> 00:02:13.000]  在這個世界要做偷呃拐騙的事只需要用一點點心思就可以做到
[00:02:13.000 --> 00:02:16.000]  當我留意到這件事的時候
[00:02:16.000 --> 00:02:21.000]  有一次讀到一篇文章在CNN裡面
[00:02:21.000 --> 00:02:24.000]  訪問一位律師
[00:02:24.000 --> 00:02:29.000]  他說現在做刑事檢控比以前容易很多
[00:02:29.000 --> 00:02:33.000]  我覺得很奇怪為什麼他這樣說
[00:02:33.000 --> 00:02:40.000]  他說如果警方找到某個犯罪者的時候
[00:02:40.000 --> 00:02:43.000]  或者用普通法的觀念
[00:02:43.000 --> 00:02:52.000]  找到疑犯之後要去舉證指控這個疑犯並不是困難
[00:02:52.000 --> 00:02:58.000]  因為最主要的原因就是這些疑犯很喜歡將自己做過的惡事
[00:02:58.000 --> 00:03:03.000]  詳細記載在社交媒體裡面
[00:03:03.000 --> 00:03:08.000]  不單止是文字而且有圖和影像
[00:03:08.000 --> 00:03:12.000]  包裹你不用怕有什麼困難
[00:03:12.000 --> 00:03:16.000]  除非那些警察真的不想別人知道
[00:03:16.000 --> 00:03:20.000]  或者那些老一派的犯罪份子
[00:03:20.000 --> 00:03:23.000]  一般年輕人都喜歡這樣做
[00:03:23.000 --> 00:03:27.000]  我最近看香港新聞都發現原來不是這樣
[00:03:27.000 --> 00:03:30.000]  原來那些很老的人都喜歡這樣做
[00:03:30.000 --> 00:03:38.000]  七十多歲的人都喜歡在網上將自己的醜惡行事說出來
[00:03:38.000 --> 00:03:44.000]  因為他們覺得他做了這番惡事
[00:03:44.000 --> 00:03:51.000]  可以在那些朋友面前有些炫耀的機會
[00:03:51.000 --> 00:03:54.000]  騙讚 現在很喜歡用這個程式
[00:03:54.000 --> 00:03:58.000]  我沒有用facebook的
[00:03:58.000 --> 00:04:00.000]  我有facebook的帳戶但沒有用
[00:04:00.000 --> 00:04:03.000]  不過那個帳戶我純粹是看別人的facebook
[00:04:03.000 --> 00:04:07.000]  其實開都是因為教會有facebook所以我開facebook帳戶
[00:04:07.000 --> 00:04:10.000]  在這樣的情況之下
[00:04:10.000 --> 00:04:17.000]  要將這些人的資料拿出來去舉證絕不困難
[00:04:17.000 --> 00:04:21.000]  有些人就說不用怕現在這個年代
[00:04:21.000 --> 00:04:23.000]  因為科技很先進的
[00:04:23.000 --> 00:04:26.000]  我們有一些叫自動毀滅功能
[00:04:26.000 --> 00:04:28.000]  大家有沒有用這些自動毀滅功能
[00:04:28.000 --> 00:04:30.000]  我用短訊
[00:04:30.000 --> 00:04:37.000]  whatsapp signal telegram
[00:04:37.000 --> 00:04:41.000]  這些軟件即時傳遞訊息
[00:04:41.000 --> 00:04:44.000]  不用怕很快會打完之後
[00:04:44.000 --> 00:04:46.000]  到定時就會毀滅
[00:04:46.000 --> 00:04:48.000]  最近我認識一個信徒
[00:04:48.000 --> 00:04:53.000]  因為我每個星期都會傳一些港島的連結給他
[00:04:53.000 --> 00:04:55.000]  他不知道是不是很喜歡
[00:04:55.000 --> 00:04:57.000]  他又不直接想推我
[00:04:57.000 --> 00:05:02.000]  於是他就將我和他的連結定為兩小時
[00:05:02.000 --> 00:05:05.000]  當我傳給他之後兩小時後自動毀滅
[00:05:05.000 --> 00:05:08.000]  他們就以為沒問題了
[00:05:08.000 --> 00:05:15.000]  但原來在科技裏面有一樣東西叫做digital signature
[00:05:15.000 --> 00:05:19.000]  digital signature是什麼呢
[00:05:19.000 --> 00:05:22.000]  我相信很多人不知道是什麼
[00:05:22.000 --> 00:05:28.000]  原來每一樣資訊在網絡上只需要傳流過
[00:05:28.000 --> 00:05:31.000]  就會有一個痕跡出現
[00:05:31.000 --> 00:05:33.000]  不是檔案那麼簡單
[00:05:33.000 --> 00:05:35.000]  而是在什麼情況下
[00:05:35.000 --> 00:05:37.000]  在什麼地方
[00:05:37.000 --> 00:05:39.000]  傳送從哪裡去到哪裡
[00:05:39.000 --> 00:05:40.000]  全部都有
[00:05:40.000 --> 00:05:49.000]  曾經有一次有一個機構想找我去講網絡的罪案
[00:05:49.000 --> 00:05:53.000]  其實他想講網絡欺凌事件
[00:05:53.000 --> 00:05:58.000]  他想請我去中文電台講解
[00:05:58.000 --> 00:06:04.000]  我一向的原則就是不出名不表揚自己的事
[00:06:04.000 --> 00:06:06.000]  如果你想知道我可以私底下講給你聽
[00:06:06.000 --> 00:06:11.000]  但你要我去開名在電台講我就沒什麼興趣
[00:06:11.000 --> 00:06:14.000]  我就跟他說沒有了我不去了
[00:06:14.000 --> 00:06:17.000]  然後他就請了另一個牧師去講
[00:06:17.000 --> 00:06:18.000]  那個牧師很有名的
[00:06:18.000 --> 00:06:19.000]  但他認不認識呢
[00:06:19.000 --> 00:06:21.000]  我很肯定他不認識
[00:06:21.000 --> 00:06:22.000]  為什麼呢
[00:06:22.000 --> 00:06:24.000]  他說大家知不知道
[00:06:24.000 --> 00:06:27.000]  在網絡上傳送任何東西給別人聽
[00:06:27.000 --> 00:06:29.000]  是沒有人知道你在哪裡
[00:06:29.000 --> 00:06:34.000]  其實這件事我第一天去做電腦的時候
[00:06:34.000 --> 00:06:36.000]  我很肯定告訴大家
[00:06:36.000 --> 00:06:38.000]  你只需要按一個鍵盤
