
[00:00:00.000 --> 00:00:05.760]  所以你不要妒忌他
[00:00:05.760 --> 00:00:06.560]  不要生他的气
[00:00:06.560 --> 00:00:08.000]  为什么他可以有幸福
[00:00:08.000 --> 00:00:10.080]  在一个永恒的状态里面
[00:00:10.080 --> 00:00:12.320]  幸福和不幸福的人差多远
[00:00:12.320 --> 00:00:14.320]  在永恒里面的时候
[00:00:14.320 --> 00:00:16.480]  大家记得新约圣经里面
[00:00:16.480 --> 00:00:18.480]  主耶稣说到这个拉撒路
[00:00:18.480 --> 00:00:20.720]  穷的拉撒路和财主
[00:00:20.720 --> 00:00:23.040]  在生的时候一个是黑贩
[00:00:23.040 --> 00:00:24.320]  一个是大鱼大肉
[00:00:24.320 --> 00:00:26.480]  在永恒才是真正的
[00:00:26.480 --> 00:00:28.800]  如果在永恒看短短几十年
[00:00:28.800 --> 00:00:31.680]  你活到50岁
[00:00:31.680 --> 00:00:34.080]  他活到80岁90岁又如何
[00:00:34.080 --> 00:00:35.120]  多你一倍又如何
[00:00:35.120 --> 00:00:38.080]  在永恒里面80岁和50岁有多少分别
[00:00:38.080 --> 00:00:40.880]  传道书的作者是这样看
[00:00:40.880 --> 00:00:43.280]  所以我有一个永恒的视野来看这些东西
[00:00:43.280 --> 00:00:44.960]  今天你和我所做的事
[00:00:44.960 --> 00:00:46.880]  有时候人家得不到别人的赏识
[00:00:46.880 --> 00:00:48.320]  得不到别人的欣赏
[00:00:48.320 --> 00:00:49.520]  还被人误会
[00:00:49.520 --> 00:00:51.520]  这个世界是一个很不公平的世界
[00:00:51.520 --> 00:00:52.320]  这是第一样
[00:00:52.320 --> 00:00:53.920]  我要承认这个事实
[00:00:53.920 --> 00:00:55.280]  你不要只这么愣着
[00:00:55.280 --> 00:00:55.920]  没用的
[00:00:55.920 --> 00:00:57.440]  这个世界就是这么荒谬
[00:00:57.440 --> 00:00:59.200]  所以才有传道书告诉你
[00:00:59.200 --> 00:00:59.840]  提醒你
[00:00:59.840 --> 00:01:01.520]  你要接受这个事实
[00:01:01.520 --> 00:01:04.000]  不过接受这个事实之余
[00:01:04.000 --> 00:01:05.520]  你知道因为这个世界
[00:01:05.520 --> 00:01:07.360]  是有很多事情不能够预料的
[00:01:07.360 --> 00:01:09.120]  既然不能够预料
[00:01:09.120 --> 00:01:10.000]  悲观来看
[00:01:10.000 --> 00:01:11.440]  做什么都没有意思
[00:01:11.440 --> 00:01:12.800]  但积极来看的时候
[00:01:12.800 --> 00:01:14.080]  做什么都有机会
[00:01:14.080 --> 00:01:15.200]  你明白吗
[00:01:15.200 --> 00:01:16.240]  分别就在这里
[00:01:16.240 --> 00:01:18.080]  基督徒就要看积极那一面
[00:01:18.080 --> 00:01:18.960]  就是因为这个世界
[00:01:18.960 --> 00:01:20.320]  我们不知道什么事情会发生
[00:01:20.320 --> 00:01:21.440]  将来的时局会怎么样
[00:01:21.440 --> 00:01:22.080]  怎样都不知道
[00:01:22.080 --> 00:01:25.760]  于是我就尽我的力量去做
[00:01:25.760 --> 00:01:28.240]  做了之后交给永恒的银行
[00:01:28.240 --> 00:01:30.720]  等上帝来帮我投资
[00:01:30.720 --> 00:01:33.760]  纵然在世界上我看不到投资的结果
[00:01:33.760 --> 00:01:35.200]  但永恒里面的投资
[00:01:35.200 --> 00:01:37.600]  是一定不会蚀本的
