
[00:00:00.000 --> 00:00:15.000]  這個禮拜是我們教會的年曆來到最神聖的一個禮拜
[00:00:15.000 --> 00:00:19.000]  英文叫這個禮拜做Holy Week
[00:00:19.000 --> 00:00:23.000]  雖然我們翻譯不是這樣翻譯成中文
[00:00:23.000 --> 00:00:26.000]  不過你可以明白那個意思
[00:00:26.000 --> 00:00:31.000]  主耶穌進入耶路撒冷
[00:00:31.000 --> 00:00:37.000]  這個星期是由我們今天所謂的中樹主日
[00:00:37.000 --> 00:00:39.000]  什麼叫做中樹主日呢?
[00:00:39.000 --> 00:00:42.000]  剛才你讀馬太福音有沒有留意到?
[00:00:42.000 --> 00:00:46.000]  耶穌騎驢進入耶路撒冷城
[00:00:46.000 --> 00:00:57.000]  百姓群眾就拿了一些中樹的樹枝來鋪在路上
[00:00:57.000 --> 00:01:02.000]  然後歡迎主耶穌進入耶路撒冷
[00:01:02.000 --> 00:01:10.000]  這個中樹主日一定是在復活節前的主日
[00:01:10.000 --> 00:01:14.000]  然後這個星期就是Holy Week
[00:01:14.000 --> 00:01:17.000]  這個星期就是耶穌在耶路撒冷城
[00:01:17.000 --> 00:01:21.000]  預備不只是受苦節薄
[00:01:21.000 --> 00:01:28.000]  而是朝向或者面向下一個星期日復活節
[00:01:28.000 --> 00:01:32.000]  主耶穌從死當中復生
[00:01:32.000 --> 00:01:35.000]  所以這個星期很重要很特別
[00:01:35.000 --> 00:01:40.000]  我們今天習慣了只想有沒有假期
[00:01:40.000 --> 00:01:42.000]  哎呀, 馬祖節已經完了
[00:01:42.000 --> 00:01:50.000]  這個星期我們每天星期一到星期五都有三段經文
[00:01:50.000 --> 00:01:54.000]  你會不會在家中可以啟認方式讀出來?
[00:01:54.000 --> 00:01:57.000]  不要只是自己讀
[00:01:57.000 --> 00:02:00.000]  或者在吃飯之前或之後
[00:02:00.000 --> 00:02:02.000]  通常之前不是很好, 因為很冷
[00:02:02.000 --> 00:02:07.000]  之後或晚上甚麼時候全家一起
[00:02:07.000 --> 00:02:10.000]  如果我的小朋友不懂得讀中文
[00:02:10.000 --> 00:02:12.000]  你懂得讀英文
[00:02:12.000 --> 00:02:18.000]  可以一起讀這幾段經文
[00:02:18.000 --> 00:02:20.000]  從一個星期開始
[00:02:20.000 --> 00:02:23.000]  不用每天都這樣做, 不用全年都這樣做
[00:02:23.000 --> 00:02:28.000]  這個星期讓我們回到聖經裏面
[00:02:28.000 --> 00:02:33.000]  讓我們從聖經裏面明白
[00:02:33.000 --> 00:02:36.000]  主耶穌來到這個世界上
[00:02:36.000 --> 00:02:41.000]  祂要成就的是甚麼事
[00:02:41.000 --> 00:02:45.000]  這段經文其實只有一個心字
[00:02:45.000 --> 00:02:47.000]  剛才都讀了出來
[00:02:47.000 --> 00:02:54.000]  那隻驢山在那裏
[00:02:54.000 --> 00:02:58.000]  廣東話我們也有, 叫山門
[00:02:58.000 --> 00:03:01.000]  不是關門變成粵語
[00:03:01.000 --> 00:03:03.000]  所以轉了一個聲
[00:03:03.000 --> 00:03:07.000]  關門只是把門掩起來
[00:03:07.000 --> 00:03:09.000]  山你知道意思是甚麼嗎
[00:03:09.000 --> 00:03:12.000]  是綁住它, 以前的門沒有鎖
[00:03:12.000 --> 00:03:16.000]  你關上之後動物會撞開
[00:03:16.000 --> 00:03:18.000]  你的小朋友會撞開
[00:03:18.000 --> 00:03:22.000]  所以以前關門還要綁住它
[00:03:22.000 --> 00:03:26.000]  所以今天我們叫它關門
[00:03:26.000 --> 00:03:31.000]  就不會再動了
[00:03:31.000 --> 00:03:33.000]  除了這個困難之外
[00:03:33.000 --> 00:03:38.000]  我們讀馬太福音21章還有另一個困難
[00:03:38.000 --> 00:03:41.000]  我不知道你讀聖經的時候有沒有留意到
[00:03:41.000 --> 00:03:47.000]  耶穌騎著多少隻驢進耶路撒冷城
[00:03:47.000 --> 00:03:49.000]  有沒有問過這個問題
[00:03:49.000 --> 00:03:51.000]  沒有, 當然是騎一隻
[00:03:51.000 --> 00:03:53.000]  這裡好像不是
[00:03:53.000 --> 00:03:55.000]  這裡說的是有兩隻驢
[00:03:55.000 --> 00:03:58.000]  首先在第二節那句話
[00:03:58.000 --> 00:04:00.000]  耶穌和門徒說
[00:04:00.000 --> 00:04:04.000]  有兩個門徒打發他們去對面那條村
[00:04:04.000 --> 00:04:09.000]  在那裡會見到有一匹驢山在那裏
[00:04:09.000 --> 00:04:13.000]  還有驢驢同在一處
[00:04:13.000 --> 00:04:16.000]  然後第七節, 第六節
[00:04:16.000 --> 00:04:19.000]  門徒照耶穌吩咐的去做
[00:04:19.000 --> 00:04:24.000]  就牽了驢和驢驢來
[00:04:24.000 --> 00:04:26.000]  兩隻了
[00:04:26.000 --> 00:04:29.000]  然後把衣服搭在上面
[00:04:29.000 --> 00:04:32.000]  耶穌就騎上
[00:04:32.000 --> 00:04:34.000]  怎麼騎兩隻驢呢
[00:04:34.000 --> 00:04:36.000]  是輪流騎呢
[00:04:36.000 --> 00:04:38.000]  還是並排
[00:04:38.000 --> 00:04:40.000]  耶穌比較開啞地騎著兩隻
[00:04:40.000 --> 00:04:43.000]  不是, 我讀聖經不要搞錯這件事
[00:04:43.000 --> 00:04:46.000]  讀福音書有個好處
[00:04:46.000 --> 00:04:50.000]  其實因為記載同一件事
[00:04:50.000 --> 00:04:53.000]  有幾個不同的報告
[00:04:53.000 --> 00:04:57.000]  如果有大新聞, 不知道你有沒有這樣的習慣
[00:04:57.000 --> 00:05:00.000]  你買報紙買多少份
[00:05:00.000 --> 00:05:02.000]  現在沒什麼用
[00:05:02.000 --> 00:05:04.000]  現在的報紙每一張都是抄那個來源
[00:05:04.000 --> 00:05:06.000]  發新社還是路透社
[00:05:06.000 --> 00:05:09.000]  所以你看多少份, 其實都是說那些東西
[00:05:09.000 --> 00:05:12.000]  但以前不是, 以前尤其是如果是本地新聞
[00:05:12.000 --> 00:05:16.000]  不同的報紙有不同的角度
[00:05:16.000 --> 00:05:20.000]  找到內幕消息就多一段
[00:05:20.000 --> 00:05:22.000]  這很重要
[00:05:22.000 --> 00:05:24.000]  你看看, 馬太福音這樣記載
[00:05:24.000 --> 00:05:27.000]  不過其餘三本福音書
[00:05:27.000 --> 00:05:30.000]  都同樣記載耶穌騎驢進耶路撒冷
[00:05:30.000 --> 00:05:32.000]  看看他們怎樣記載
[00:05:32.000 --> 00:05:34.000]  你有沒有聖經在手上
[00:05:34.000 --> 00:05:36.000]  如果沒有, 和隔壁一起看
[00:05:36.000 --> 00:05:38.000]  我想我們都多讀一兩節
[00:05:39.000 --> 00:05:45.000]  關於耶穌入耶路撒冷城的這件事
[00:05:45.000 --> 00:05:49.000]  馬可福音第十一章
[00:05:49.000 --> 00:05:55.000]  馬可福音第十一章
[00:05:55.000 --> 00:05:59.000]  第一節到第二節
[00:05:59.000 --> 00:06:01.000]  我們一起讀吧
[00:06:01.000 --> 00:06:04.000]  馬可福音第十一章
[00:06:04.000 --> 00:06:07.000]  第一節到第二節
[00:06:07.000 --> 00:06:08.000]  請讀
[00:06:35.000 --> 00:06:37.000]  其餘都是重覆
[00:06:37.000 --> 00:06:40.000]  你有沒有留意到馬可福音的記載
[00:06:40.000 --> 00:06:43.000]  和馬太福音有分別
[00:06:43.000 --> 00:06:47.000]  首先, 馬可福音說清楚
[00:06:47.000 --> 00:06:53.000]  山在那裡那隻驢是哪隻
[00:06:53.000 --> 00:06:56.000]  是驢驢驢, 懂不懂分辨
[00:06:56.000 --> 00:06:58.000]  驢驢和驢有什麼分別
