
[00:00:00.000 --> 00:00:06.360]  好 高興來到大家當中
[00:00:06.360 --> 00:00:11.200]  第一次來到這個理員會彩雲堂
[00:00:11.200 --> 00:00:13.760]  其實很少來彩雲村的
[00:00:13.760 --> 00:00:17.640]  沒甚麼必要都不會走進來的
[00:00:17.640 --> 00:00:19.560]  就算我喜歡行山的
[00:00:19.560 --> 00:00:23.760]  就算你要行飛鵝嶺都是巴士經過的
[00:00:23.760 --> 00:00:26.600]  高興的 多認識一個地方
[00:00:26.600 --> 00:00:28.780]  多認識一些弟兄姊妹
[00:00:28.780 --> 00:00:31.360]  今天選了一段經文 都挺有趣的
[00:00:31.360 --> 00:00:33.440]  是一段挺灰的經文
[00:00:33.440 --> 00:00:37.640]  但是都可能反映一下香港人
[00:00:37.640 --> 00:00:40.000]  過去幾年走過的路程
[00:00:40.000 --> 00:00:43.140]  或者甚至是你今天的心境
[00:00:43.140 --> 00:00:47.080]  不過在灰之中希望帶給我們一些鼓勵
[00:00:47.080 --> 00:00:51.120]  那首詩歌你們第二首我第一次唱的
[00:00:51.120 --> 00:00:53.520]  《沉著你的那天》
[00:00:53.520 --> 00:00:58.880]  講到很美麗 徬徨空虛
[00:00:58.880 --> 00:01:03.880]  悄然消失遠飛 又有彩虹
[00:01:03.880 --> 00:01:06.520]  不過人生不是經常都是這樣的
[00:01:06.520 --> 00:01:07.700]  老實講 先相信了
[00:01:07.700 --> 00:01:10.620]  我們今天就選一段不是很彩虹的
[00:01:10.620 --> 00:01:13.040]  這個灰紅的 不是彩虹的
[00:01:13.040 --> 00:01:16.760]  不過開始的時候我們再做一個禱告
[00:01:16.760 --> 00:01:19.240]  主耶穌我們求祢都幫助我們
[00:01:19.240 --> 00:01:22.400]  知道人生有起起跌跌
[00:01:22.400 --> 00:01:26.140]  無論是大環境或者是我們的家裡
[00:01:26.140 --> 00:01:28.360]  我們事業的小環境
[00:01:28.360 --> 00:01:31.220]  不過幫助我們在不同的場景
[00:01:31.220 --> 00:01:34.420]  我們記住祢的恩典救我們
[00:01:34.420 --> 00:01:39.100]  今天求祢藉著耶利米巴錄的一段對話
[00:01:39.100 --> 00:01:41.420]  能夠成為我們的鼓勵
[00:01:41.420 --> 00:01:44.540]  將講到聽到的時間交堂
[00:01:44.540 --> 00:01:46.120]  報告耶穌基督
[00:01:46.120 --> 00:01:48.800]  好了 這段經文先解釋一下
[00:01:48.800 --> 00:01:50.920]  有些人當然可能很熟悉耶利米
[00:01:50.920 --> 00:01:53.280]  有些人不過未必熟悉這段書
[00:01:53.280 --> 00:01:54.960]  先講一些背景
[00:01:54.960 --> 00:01:59.460]  耶利米就是以色列或者其實猶大國
[00:01:59.460 --> 00:02:04.380]  嚴格一點是南國 猶大國亡國時期的一個先知
[00:02:04.380 --> 00:02:07.940]  所以耶利米就活在以色列人
