
[00:00:00.000 --> 00:00:07.000]  好 今天我們來到這個時事記
[00:00:07.000 --> 00:00:10.100]  《論盡時事成與敗》的第三講
[00:00:10.100 --> 00:00:13.880]  我們就開始來看一些時事
[00:00:13.880 --> 00:00:16.440]  我們就會和以往有些
[00:00:16.440 --> 00:00:18.280]  可能大家習慣不同的
[00:00:18.280 --> 00:00:21.760]  我們會多一點講一些我們叫旁知的東西
[00:00:21.760 --> 00:00:24.360]  就是說有些時候可能我們未必
[00:00:24.360 --> 00:00:27.080]  會在我們一般的情況會講
[00:00:27.080 --> 00:00:30.600]  比如我們今天會講多一點關於加拿大的宗教
[00:00:30.600 --> 00:00:32.420]  以致我們能夠
[00:00:32.420 --> 00:00:36.360]  我們不是嘗試去合理化以色列人
[00:00:36.360 --> 00:00:39.880]  去加拿大要去清場
[00:00:39.880 --> 00:00:45.240]  因為加拿大的情況就是上帝下命令要我們清場
[00:00:45.240 --> 00:00:47.360]  就不是因為以色列人有什麼好
[00:00:47.360 --> 00:00:49.720]  上帝多次都透過摩西說
[00:00:49.720 --> 00:00:51.520]  你們又不是強又不是好
[00:00:51.520 --> 00:00:54.400]  不過我就是這樣選了你們
[00:00:54.400 --> 00:00:59.120]  所以這個也是上帝在以色列人身上的旨意
[00:00:59.120 --> 00:01:03.320]  我們今天主要會看第三章的
[00:01:03.320 --> 00:01:08.400]  時事記的第三章的第一至第十一節
[00:01:08.400 --> 00:01:09.200]  一至十一節
[00:01:09.200 --> 00:01:11.120]  我們會看第一個事事
[00:01:11.120 --> 00:01:13.320]  就是「訛陀列」的
[00:01:13.320 --> 00:01:17.640]  在我們開始分享之前我們先看一看這幾套
[00:01:17.640 --> 00:01:21.080]  天父我們多謝你讓我們一起有機會來學習聖經
[00:01:21.080 --> 00:01:24.600]  我們能夠透過一些你自己的工人
[00:01:24.600 --> 00:01:26.800]  你怎麼興起它、怎麼使用它
[00:01:26.800 --> 00:01:29.920]  還有當時的環境和處境是怎麼樣
[00:01:29.920 --> 00:01:34.840]  以致我們能夠對你自己在加拿大
[00:01:34.840 --> 00:01:38.560]  使用你自己的百姓來做一些工作
[00:01:38.560 --> 00:01:40.240]  來多一些了解
[00:01:40.240 --> 00:01:43.720]  我們願意透過這一堂我們有多一些討論
[00:01:43.720 --> 00:01:45.080]  我們有多一些認識
[00:01:45.080 --> 00:01:46.320]  我們來聽我們的祈禱
[00:01:46.320 --> 00:01:49.120]  奉耶穌基督的名 阿們
[00:01:50.120 --> 00:01:53.400]  從出埃及記開始
[00:01:53.400 --> 00:01:55.080]  我想我們大家還記得
[00:01:55.080 --> 00:01:57.480]  上帝呼召以色列人
[00:01:57.480 --> 00:02:02.160]  從埃及地翻出來
[00:02:02.160 --> 00:02:03.960]  就下去加拿大
[00:02:03.960 --> 00:02:08.800]  裡面有多重的目的
[00:02:08.800 --> 00:02:13.600]  一方面上帝要培育一班的百姓
[00:02:13.600 --> 00:02:17.600]  在埃及地那裡
[00:02:17.600 --> 00:02:22.760]  由70個人的一家慢慢演變成
[00:02:22.760 --> 00:02:24.560]  如果單是南丁
[00:02:24.560 --> 00:02:27.240]  我們說出埃及的時候都有60萬南丁
[00:02:27.240 --> 00:02:28.440]  所以據估計
[00:02:28.440 --> 00:02:31.440]  如果一個南丁一拉四的時候
[00:02:31.440 --> 00:02:36.000]  那裡就有240萬的人口
[00:02:36.000 --> 00:02:38.000]  從以色列引出來
[00:02:38.000 --> 00:02:41.080]  我們都知道60萬的意思是
[00:02:41.080 --> 00:02:43.760]  南丁是20歲以上的
[00:02:43.760 --> 00:02:45.320]  是可以成家的南丁
[00:02:45.320 --> 00:02:48.520]  所以以我們所熟悉的核心家庭
[00:02:48.520 --> 00:02:49.640]  一家四口計算
[00:02:49.640 --> 00:02:50.840]  那裡有240萬
[00:02:50.840 --> 00:02:52.560]  可以多一些 可以少一些
[00:02:52.560 --> 00:02:57.040]  但是大概200萬左右都走不掉
[00:02:57.040 --> 00:03:02.000]  神用了400年的時間
[00:03:02.000 --> 00:03:05.720]  在埃及孕育了一班百姓
[00:03:05.720 --> 00:03:08.200]  然後帶他們出來
