
[00:00:00.000 --> 00:00:05.000]  好,我是一年不來一次的
[00:00:05.000 --> 00:00:08.000]  見到你們又大了一歲了
[00:00:08.000 --> 00:00:10.000]  不知道你們有什麼感受
[00:00:10.000 --> 00:00:14.000]  你們以前的堂主任董麗新牧師
[00:00:14.000 --> 00:00:16.000]  就是我的老師
[00:00:16.000 --> 00:00:20.000]  現在你們的堂主任黃卓峰
[00:00:20.000 --> 00:00:22.000]  快要做牧師了
[00:00:22.000 --> 00:00:26.000]  最準牧師黃卓峰就是我的學生
[00:00:26.000 --> 00:00:28.000]  所以我又大了一歲的感覺
[00:00:28.000 --> 00:00:30.000]  就是什麼時候退休呢
[00:00:30.000 --> 00:00:32.000]  不知道你們的感受是什麼
[00:00:32.000 --> 00:00:35.000]  不過首先這個星期是
[00:00:35.000 --> 00:00:38.000]  所謂張臨期的第一個星期
[00:00:38.000 --> 00:00:41.000]  在傳統的教會的年曆
[00:00:41.000 --> 00:00:45.000]  也都代表一個新的教會年曆開始
[00:00:45.000 --> 00:00:47.000]  教會的年曆就不是1月1號開始的
[00:00:47.000 --> 00:00:49.000]  教會年曆就是由12月開始
[00:00:49.000 --> 00:00:51.000]  就是以耶穌的誕生
[00:00:51.000 --> 00:00:54.000]  一直到耶穌誕生之前終結
[00:00:54.000 --> 00:00:59.000]  代表新的一個教會年曆
[00:00:59.000 --> 00:01:01.000]  代表我們象徵
[00:01:01.000 --> 00:01:03.000]  好像耶穌誕生就與我們同行
[00:01:03.000 --> 00:01:05.000]  又有一個新的一年
[00:01:05.000 --> 00:01:08.000]  可以主與我們同行的一年
[00:01:08.000 --> 00:01:10.000]  希望就以這篇的講道
[00:01:10.000 --> 00:01:13.000]  作為給大家的一些鼓勵
[00:01:13.000 --> 00:01:16.000]  我們開始的時候先做一個禱告
[00:01:16.000 --> 00:01:18.000]  主耶穌多謝你
[00:01:18.000 --> 00:01:20.000]  我們人生有你同行
[00:01:20.000 --> 00:01:22.000]  你來到這個世界上
[00:01:22.000 --> 00:01:25.000]  不單只是2000年前的事實
[00:01:25.000 --> 00:01:28.000]  也是今天在我們生命中的事實
[00:01:28.000 --> 00:01:29.000]  幫助我們
[00:01:29.000 --> 00:01:33.000]  讓我們的生命都能夠成為一個朝聖之旅
[00:01:33.000 --> 00:01:36.000]  讓你的明星帶領我們一生
[00:01:36.000 --> 00:01:38.000]  以致我們行在你的祝福
[00:01:38.000 --> 00:01:41.000]  行在你美好的旨意當中
[00:01:41.000 --> 00:01:44.000]  將今天一段聽到的時間都交託禱告
[00:01:44.000 --> 00:01:46.000]  奉耶穌基督命
[00:01:46.000 --> 00:01:47.000]  多謝議員
[00:01:47.000 --> 00:01:54.000]  我們讀這段經文
[00:01:54.000 --> 00:01:55.000]  我們不會讀完它
[00:01:55.000 --> 00:01:56.000]  我們由第一節
[00:01:56.000 --> 00:01:58.000]  這段經文大家應該都很熟悉
[00:01:58.000 --> 00:02:00.000]  所以我會一路跟著去
[00:02:00.000 --> 00:02:01.000]  一路跟著講
[00:02:01.000 --> 00:02:04.000]  你可以看你的聖經
[00:02:04.000 --> 00:02:07.000]  或者看螢光幕的PowerPoint
[00:02:07.000 --> 00:02:09.000]  耶穌出世的故事
[00:02:09.000 --> 00:02:11.000]  馬太福音五章一節開始說
[00:02:11.000 --> 00:02:14.000]  在希律王作王的時候
[00:02:14.000 --> 00:02:17.000]  耶穌生在猶太的伯利肯
[00:02:17.000 --> 00:02:19.000]  就有幾個博學之士
[00:02:19.000 --> 00:02:22.000]  從東方來到耶路撒冷說
[00:02:22.000 --> 00:02:28.000]  那生下來作猶太人之王的在那裡呢?
[00:02:28.000 --> 00:02:30.000]  我們在東方看見他的星
[00:02:30.000 --> 00:02:32.000]  特來拜他
[00:02:32.000 --> 00:02:36.000]  這段經文其實大家都一定熟悉
[00:02:36.000 --> 00:02:38.000]  可能如果你是主日學老師的話
[00:02:38.000 --> 00:02:41.000]  可能你教過小朋友講過這個故事
[00:02:41.000 --> 00:02:44.000]  也安排過一些歌劇也說不定
[00:02:44.000 --> 00:02:48.000]  我也很懷念我三個女兒小時候
[00:02:48.000 --> 00:02:52.000]  我曾經做過一個歌劇的導演
[00:02:52.000 --> 00:02:54.000]  安排兒童主日學小朋友
[00:02:54.000 --> 00:02:56.000]  指揮他們唱歌
[00:02:56.000 --> 00:02:58.000]  很可愛的一段經文
[00:02:58.000 --> 00:03:04.000]  我很懷念當年女兒還小的時候
[00:03:04.000 --> 00:03:08.000]  無論如何我們今天想從另一個角度去看這段經文
[00:03:08.000 --> 00:03:12.000]  不是從一個很可愛的角度去看
[00:03:12.000 --> 00:03:15.000]  我們當它是一個警匪片去看
[00:03:15.000 --> 00:03:20.000]  你想想這段經文是說耶穌差點被人殺了
[00:03:20.000 --> 00:03:22.000]  從這個角度
[00:03:22.000 --> 00:03:28.000]  所謂正邪對立的勢力去看
[00:03:28.000 --> 00:03:31.000]  你會發覺這段經文有它精彩的地方
[00:03:31.000 --> 00:03:35.000]  也有它很多劇情沒有交代的地方
[00:03:35.000 --> 00:03:37.000]  如果是寫劇本
[00:03:37.000 --> 00:03:39.000]  今天的劇本這段經文
[00:03:39.000 --> 00:03:42.000]  會被人拋棄
[00:03:42.000 --> 00:03:44.000]  要交代很多東西
[00:03:44.000 --> 00:03:47.000]  不過因為這段不是一個現代話劇
[00:03:47.000 --> 00:03:51.000]  它告訴我們和沒有告訴我們一些東西
[00:03:51.000 --> 00:03:54.000]  顯出它要強調的一些東西
[00:03:54.000 --> 00:03:56.000]  這樣說很抽象
[00:03:56.000 --> 00:03:59.000]  我們開始看看為什麼有很多東西它沒有說
[00:03:59.000 --> 00:04:01.000]  但又說了些什麼給我們聽
[00:04:01.000 --> 00:04:02.000]  這裡一開始說
[00:04:02.000 --> 00:04:06.000]  故事在何時發生呢?希律作王的時候
[00:04:06.000 --> 00:04:08.000]  大家不知道誰是希律
[00:04:08.000 --> 00:04:11.000]  作者因為寫給猶太人的
[00:04:11.000 --> 00:04:12.000]  馬太福音
[00:04:12.000 --> 00:04:16.000]  假設讀者知道誰是希律
[00:04:16.000 --> 00:04:18.000]  希律基本上是一個
[00:04:18.000 --> 00:04:23.000]  那時候是統治猶太地的統治者
[00:04:23.000 --> 00:04:26.000]  他如何能夠做到猶太地的統治者呢?
[00:04:26.000 --> 00:04:29.000]  就是因為羅馬的政府支持他
[00:04:29.000 --> 00:04:33.000]  當時猶太地是屬於羅馬的殖民地
[00:04:33.000 --> 00:04:37.000]  說一個十秒鐘的政治
[00:04:37.000 --> 00:04:39.000]  如果說一個比喻的話
[00:04:39.000 --> 00:04:43.000]  希律做到王就全靠阿爺支持他
[00:04:43.000 --> 00:04:45.000]  就好像我們梁振英那樣
[00:04:45.000 --> 00:04:47.000]  靠阿爺支持他做了
[00:04:47.000 --> 00:04:50.000]  所以很多人很不滿意他
[00:04:50.000 --> 00:04:54.000]  還有希律和梁先生都有一些共通的地方
[00:04:54.000 --> 00:04:57.000]  都是一個好勇鬥狠的人
[00:04:57.000 --> 00:05:02.000]  他知道那些猶太人很憎恨他
[00:05:02.000 --> 00:05:04.000]  因為阿爺派下來管
[00:05:04.000 --> 00:05:05.000]  所以很憎恨他
[00:05:05.000 --> 00:05:09.000]  而且他是一個混血兒
[00:05:09.000 --> 00:05:11.000]  他一半是猶太人血統
[00:05:11.000 --> 00:05:12.000]  一半是外邦人血統
[00:05:12.000 --> 00:05:17.000]  所以猶太人特別恨這些混血兒
[00:05:17.000 --> 00:05:19.000]  這個希集種
[00:05:19.000 --> 00:05:21.000]  很憎恨他
[00:05:21.000 --> 00:05:25.000]  但是希律也是一個很有才幹的人
[00:05:25.000 --> 00:05:28.000]  有很高的暗示能力的人
[00:05:28.000 --> 00:05:31.000]  所以作者一開始說到希律
[00:05:31.000 --> 00:05:33.000]  如果你是第一世紀的猶太人
[00:05:33.000 --> 00:05:38.000]  你已經隱隱感受到有一種不安的感覺
[00:05:38.000 --> 00:05:40.000]  如果套用今天的電影
[00:05:40.000 --> 00:05:43.000]  你就會看到有一個好像黑手黨大佬
[00:05:43.000 --> 00:05:47.000]  一開幕就有一個黑手黨大佬坐在房子裡
[00:05:47.000 --> 00:05:49.000]  然後有些什麼事情發生呢
[00:05:49.000 --> 00:05:53.000]  有幾個從東方來的博士
[00:05:53.000 --> 00:05:57.000]  和修館翻譯得比較好
[00:05:57.000 --> 00:05:59.000]  如果你讀慣和合館
[00:05:59.000 --> 00:06:02.000]  你知道和合館是翻譯博士的
[00:06:02.000 --> 00:06:06.000]  和修館就翻譯做博學之士
[00:06:06.000 --> 00:06:08.000]  免得你以為那個博士是三個
[00:06:08.000 --> 00:06:09.000]  就是幾個PhD
[00:06:09.000 --> 00:06:11.000]  其實不是說PhD
[00:06:11.000 --> 00:06:13.000]  博學之士
[00:06:13.000 --> 00:06:18.000]  順帶一提這個經文沒有說到三個
[00:06:18.000 --> 00:06:19.000]  就是說幾個
[00:06:19.000 --> 00:06:21.000]  但是剛才唱一首歌
[00:06:21.000 --> 00:06:24.000]  教會傳統有三個
[00:06:24.000 --> 00:06:27.000]  知不知道為什麼變成三個博士
[00:06:27.000 --> 00:06:29.000]  不是兩個不是四個
[00:06:29.000 --> 00:06:32.000]  有沒有想到
[00:06:32.000 --> 00:06:33.000]  其實很自然的
[00:06:33.000 --> 00:06:35.000]  因為有多少份禮物
[00:06:35.000 --> 00:06:37.000]  三份禮物嘛
[00:06:37.000 --> 00:06:38.000]  三份禮物就是三個人
[00:06:38.000 --> 00:06:40.000]  最合理的就是每人一份
[00:06:40.000 --> 00:06:42.000]  四個人第四個不知道做什麼
[00:06:42.000 --> 00:06:47.000]  所以教會的傳統就是三個博士
[00:06:47.000 --> 00:06:49.000]  事實上不知道是多少個
[00:06:49.000 --> 00:06:51.000]  教會傳統後來發展下去
[00:06:51.000 --> 00:06:53.000]  甚至有名的博士
[00:06:53.000 --> 00:06:54.000]  一個叫Balfaster
[00:06:54.000 --> 00:06:55.000]  一個叫McCoy
[00:06:55.000 --> 00:06:57.000]  這些不用理了
