
[00:00:00.000 --> 00:00:07.200]  很高興又有機會來到千象城基督教會
[00:00:07.200 --> 00:00:09.800]  和你們分享神的話語
[00:00:09.800 --> 00:00:13.800]  今天要和大家講的是大圍短的25講
[00:00:13.800 --> 00:00:16.300]  在撒武爾夏的23章
[00:00:16.300 --> 00:00:19.400]  我給的題目 剛才也有介紹
[00:00:19.400 --> 00:00:24.000]  就是將自己魚走妖出獻給主
[00:00:24.000 --> 00:00:26.200]  為什麼我會今天講這個呢
[00:00:26.200 --> 00:00:29.200]  其實我會講撒武爾夏的23章
[00:00:29.200 --> 00:00:32.800]  是會講到大衛勇士的名單
[00:00:32.800 --> 00:00:36.800]  有三個勇士就是打水給大衛喝
[00:00:36.800 --> 00:00:40.800]  大衛不喝 反而將這些水獻給神
[00:00:40.800 --> 00:00:46.000]  你說 哇 今天玄牧師你要和我們講勇士的名單
[00:00:46.000 --> 00:00:48.000]  很悶的
[00:00:48.000 --> 00:00:52.000]  很多時候我們讀聖經的時候最怕讀什麼
[00:00:52.000 --> 00:00:56.000]  最怕讀家譜 最怕讀人名
[00:00:56.000 --> 00:01:01.000]  避而遠之 希望不用讀 或者跳了它不用讀
[00:01:01.000 --> 00:01:05.000]  其實很多時候我們讀家譜的時候
[00:01:05.000 --> 00:01:09.000]  如果我們留意的話是很精彩的
[00:01:09.000 --> 00:01:14.600]  今天我的目的就是要和大家來看大衛勇士的名單
[00:01:14.600 --> 00:01:19.800]  如果我說今天勇士的名單大家不覺得太悶的話
[00:01:19.800 --> 00:01:21.400]  那我就成功
[00:01:21.400 --> 00:01:25.000]  但是如果大家聽了我這篇到悶成這樣
[00:01:25.000 --> 00:01:27.000]  那我就失敗
[00:01:27.000 --> 00:01:33.000]  其實我講很多的聖經系列都是希望和大家一起讀經
[00:01:33.000 --> 00:01:37.600]  如果你一天聽我一篇到 又讀相關的經文的話
[00:01:37.600 --> 00:01:41.000]  兩年半你就能讀完整部聖經
[00:01:41.000 --> 00:01:47.000]  但是不單止讀完聖經你還能夠很深入的明白聖經說什麼
[00:01:47.000 --> 00:01:50.600]  在系列當中每一部書我都有介紹
[00:01:50.600 --> 00:01:54.000]  介紹的時候就會給大家有很多的背景
[00:01:54.000 --> 00:01:59.000]  很多的資料 能夠讓大家更加認識這一部書
[00:01:59.000 --> 00:02:02.000]  所以今天講撒姆爾記下23章
[00:02:02.000 --> 00:02:05.000]  就是因為我每一章書我都會講
[00:02:05.000 --> 00:02:09.000]  今天就講到大衛勇士的名單
[00:02:09.000 --> 00:02:13.000]  其實在撒姆爾記下最後的四章書
[00:02:13.000 --> 00:02:16.000]  作者一共講了有六件事
[00:02:16.000 --> 00:02:20.000]  這六件事都是以首尾的結構給我們看到
[00:02:20.000 --> 00:02:23.000]  六件事的話 一首一尾
[00:02:23.000 --> 00:02:26.000]  那就是說有三層的首尾結構
[00:02:26.000 --> 00:02:32.000]  最外面的一層就是講到以色列的王都犯了罪
[00:02:32.000 --> 00:02:35.000]  為以色列人帶來很大的災害
[00:02:35.000 --> 00:02:38.000]  在撒姆爾記下的21章頭就是
[00:02:38.000 --> 00:02:43.000]  「扫羅王殺死羈騙人以致被神懲罰」
[00:02:43.000 --> 00:02:45.000]  以色列的地有旱災
