
[00:00:00.000 --> 00:00:08.640]  今日要和大家講一個題目是有關「試煉」和「試探」
[00:00:08.640 --> 00:00:12.800]  有很多人說很多牧者都講過這個題目
[00:00:12.800 --> 00:00:15.880]  我們都知道試煉和試探有什麼分別
[00:00:15.880 --> 00:00:19.680]  而的確我今日的題目就是同一件事
[00:00:19.680 --> 00:00:24.520]  神在試煉我還是撒旦在試探我
[00:00:24.520 --> 00:00:27.120]  我是會講這兩者的分別
[00:00:27.120 --> 00:00:30.520]  但不只是講「試煉」和「試探」的分別
[00:00:30.520 --> 00:00:32.880]  還有很多其他的東西
[00:00:32.880 --> 00:00:36.360]  例如我們會回答一個問題
[00:00:36.360 --> 00:00:38.600]  究竟「試探」是否罪?
[00:00:38.600 --> 00:00:41.880]  有很多學者都說「試探」不是罪
[00:00:41.880 --> 00:00:44.720]  耶穌基督也有試探
[00:00:44.720 --> 00:00:49.160]  但也有學者說「不是,試探也是罪」
[00:00:49.160 --> 00:00:51.680]  究竟哪個對哪個錯呢?
[00:00:51.680 --> 00:00:54.760]  稍後我們會有詳細的解釋
[00:00:54.760 --> 00:01:00.280]  還有第三點,就是耶穌基督在馬太福音第五章說
[00:01:00.280 --> 00:01:05.640]  你們都聽過「不可殺人,凡殺人的會受到審判」
[00:01:05.640 --> 00:01:08.680]  但耶穌基督說「你不需要殺人」
[00:01:08.680 --> 00:01:12.280]  「你只要心裏面向你的弟兄無故動怒」
[00:01:12.280 --> 00:01:15.320]  「你就一定會受到審判」
[00:01:15.320 --> 00:01:20.000]  耶穌基督又說「當我們有不潔淨的思想」
[00:01:20.000 --> 00:01:22.320]  「當我們被試探的時候」
[00:01:22.320 --> 00:01:24.840]  「你見到女人你就動淫念」
[00:01:24.840 --> 00:01:29.000]  「你就等於在心裏面和她犯了奸淫」
[00:01:29.000 --> 00:01:30.680]  有很多學者說
[00:01:30.680 --> 00:01:35.400]  「如果你在腦裏面動怒就等於殺人」
[00:01:35.400 --> 00:01:39.640]  「你腦裏面有淫亂的思想、淫邪的思想」
[00:01:39.640 --> 00:01:41.640]  「你就等於犯了奸淫」
[00:01:41.640 --> 00:01:43.880]  耶穌基督是否真的這樣說呢?
[00:01:43.880 --> 00:01:45.120]  我相信不是
[00:01:45.120 --> 00:01:47.920]  耶穌基督從來沒有這樣說過
[00:01:47.920 --> 00:01:54.400]  那麼心裏面的想法和你走出來犯罪有什麼不同呢?
[00:01:54.400 --> 00:01:56.520]  分別的地方又在哪裏呢?
[00:01:56.520 --> 00:02:01.160]  我們今天會有很詳細的分析這件事
[00:02:01.160 --> 00:02:02.760]  還有第四點
[00:02:02.760 --> 00:02:05.880]  就是耶穌基督根本沒有罪性
[00:02:05.880 --> 00:02:07.120]  我們知道
[00:02:07.120 --> 00:02:11.120]  他這樣撒旦去試探那豈不是浪費?
[00:02:11.120 --> 00:02:13.400]  他也不會犯罪的
[00:02:13.400 --> 00:02:15.920]  是 耶穌基督的確沒有罪性
[00:02:15.920 --> 00:02:18.320]  但是有件很重要的事
[00:02:18.320 --> 00:02:20.320]  就是當他被試探的時候
[00:02:20.320 --> 00:02:22.640]  他是沒有做到一些事情
[00:02:22.640 --> 00:02:25.520]  這就是我們所需要學習的
[00:02:25.520 --> 00:02:29.840]  究竟耶穌基督沒有做到什麼事情是那麼重要呢?
[00:02:29.840 --> 00:02:33.080]  我們稍後也會回來看這一點
[00:02:33.080 --> 00:02:34.960]  還有第五點
