
[00:00:00.000 --> 00:00:08.680]  今天跟大家一起思想的經文是出自於馬太福音第五章
[00:00:08.680 --> 00:00:11.640]  從第27至第30節
[00:00:11.640 --> 00:00:14.200]  今天所講的講題是
[00:00:14.200 --> 00:00:18.520]  不讓星火燎原的千國子民
[00:00:18.520 --> 00:00:23.680]  但在創世紀第一章第27節裏面
[00:00:23.680 --> 00:00:27.800]  我們知道神做了男人又做了女人
[00:00:27.800 --> 00:00:32.480]  但在創世紀裏面不只是一個創世記載
[00:00:32.480 --> 00:00:35.360]  其實在創世紀第二章裏面
[00:00:35.360 --> 00:00:39.720]  也繼續了另一個創世記錄
[00:00:39.720 --> 00:00:43.000]  在那段經文裏面我們會知道
[00:00:43.000 --> 00:00:46.280]  神首先是做了男人
[00:00:46.280 --> 00:00:49.720]  然後讓男人耕種土地
[00:00:49.720 --> 00:00:52.880]  這個其實我們在創世紀第二章
[00:00:52.880 --> 00:00:56.440]  第五至第七節裏面已經看到
[00:00:56.440 --> 00:01:03.920]  但後來到了創世紀第二章18至24節的時候
[00:01:03.920 --> 00:01:11.200]  我們發現到上帝對男人是有很仔細的觀察
[00:01:11.200 --> 00:01:17.120]  他發現到男人只是單獨居住和生活
[00:01:17.120 --> 00:01:21.000]  上帝覺得這樣的情況不妥當
[00:01:21.000 --> 00:01:26.320]  所以於是乎上帝就決定做一個女人
[00:01:26.320 --> 00:01:29.480]  成為了男人的同伴
[00:01:29.480 --> 00:01:34.960]  因此男人和女人並存的時候
[00:01:34.960 --> 00:01:38.080]  就可以互相補足對方
[00:01:38.080 --> 00:01:42.720]  上帝就要建立這份這麼獨特的人的關係
[00:01:42.720 --> 00:01:47.520]  男人和女人在生活裏面互相補足
[00:01:47.520 --> 00:01:50.400]  互相填補對方
[00:01:50.400 --> 00:01:55.680]  能夠履行上帝所放他們在創造裏面
[00:01:55.680 --> 00:01:57.440]  不單只是耕種
[00:01:57.440 --> 00:02:01.760]  並且可以生養眾多 填滿地面
[00:02:01.760 --> 00:02:06.280]  但是這樣的男人和女人的關係
[00:02:06.280 --> 00:02:12.760]  當人犯罪之後就發生了根本性的一種的結變化
[00:02:12.760 --> 00:02:18.160]  這我們就從第三章第八節至第十三節裏面
[00:02:18.160 --> 00:02:20.760]  我們就會留意到一件事
[00:02:20.760 --> 00:02:26.840]  男人跟著和女人的關係變成一種指責的關係
[00:02:26.840 --> 00:02:34.560]  而女人也自此被男人視作為只是一個生育的角色
