
[00:00:00.000 --> 00:00:08.000]  第五個 六十九週年的唐慶
[00:00:08.000 --> 00:00:11.600]  你會不會覺得這個題目有點怪怪的
[00:00:11.600 --> 00:00:14.400]  打破老底家的宿命
[00:00:14.400 --> 00:00:17.680]  老底家教會是我說
[00:00:17.680 --> 00:00:19.880]  七個教會的最後一間
[00:00:19.880 --> 00:00:21.000]  第七間
[00:00:21.000 --> 00:00:28.000]  而這個教會很多時候被解釋為末世的教會
[00:00:28.000 --> 00:00:31.400]  二十世紀二十一世紀的教會
[00:00:31.400 --> 00:00:34.000]  而這個教會的特色是什麼呢
[00:00:34.000 --> 00:00:35.400]  就是不冷不熱
[00:00:35.400 --> 00:00:42.000]  今天唐慶我們是不是老底家教會呢
[00:00:42.000 --> 00:00:47.000]  所以我的題目就是要打破這個宿命
[00:00:47.000 --> 00:00:50.000]  我們先讀經文 我們一起讀
[00:00:50.000 --> 00:00:55.000]  你要寫信給老底家教會的使者說
[00:00:55.000 --> 00:00:59.000]  那位阿們誠信真實的見證者
[00:00:59.000 --> 00:01:02.000]  神創造的根源這樣說
[00:01:02.000 --> 00:01:04.000]  我知道你的行為
[00:01:04.000 --> 00:01:06.000]  你也不冷也不熱
[00:01:06.000 --> 00:01:09.000]  我包不得你或冷或熱
[00:01:09.000 --> 00:01:11.000]  既然你如溫水
[00:01:11.000 --> 00:01:13.000]  也不冷也不熱
[00:01:13.000 --> 00:01:16.000]  我要從我口中把你吐出去
[00:01:16.000 --> 00:01:19.000]  你說我是富足的
[00:01:19.000 --> 00:01:21.000]  已經發了財
[00:01:21.000 --> 00:01:22.000]  一樣都不缺
[00:01:22.000 --> 00:01:26.000]  他不知道你是困苦可憐
[00:01:26.000 --> 00:01:29.000]  貧窮乞懶赤身的
[00:01:29.000 --> 00:01:34.000]  我勸你向我買從火中鍛鍊出來的金子
[00:01:34.000 --> 00:01:35.000]  使你富足
[00:01:35.000 --> 00:01:37.000]  又買白衣穿上
[00:01:37.000 --> 00:01:41.000]  使你赤身的羞恥不露出來
