
[00:00:00.000 --> 00:00:02.560]  可不可以聽我們同心協力
[00:00:02.560 --> 00:00:05.340]  天父 我再一次感謝你
[00:00:05.340 --> 00:00:07.340]  因為我們知道
[00:00:07.340 --> 00:00:10.860]  你是我們的主 我們的神
[00:00:10.860 --> 00:00:15.460]  你連我們的頭髮都掃過
[00:00:15.460 --> 00:00:19.160]  雖然有很多世上的苦難
[00:00:19.160 --> 00:00:21.660]  我們不明白
[00:00:21.660 --> 00:00:28.040]  但求你用你的話去安慰在疾病災難的人
[00:00:28.280 --> 00:00:31.500]  既然Albert也求你安慰他
[00:00:31.500 --> 00:00:36.280]  也幫助何輝早日可以得到痊癒
[00:00:36.280 --> 00:00:38.280]  祝福 報受他們
[00:00:38.280 --> 00:00:40.280]  祈禱奉耶穌名求
[00:00:40.280 --> 00:00:42.280]  阿們
[00:00:42.280 --> 00:00:46.040]  我想只要大家稍微留意
[00:00:46.040 --> 00:00:49.840]  教會過去幾個月所發生的事
[00:00:49.840 --> 00:00:52.680]  不然你就會問一問
[00:00:52.680 --> 00:00:55.320]  這些是不是偶然的呢?
[00:00:56.120 --> 00:00:58.720]  那你會問究竟教會發生了什麼事
[00:00:58.720 --> 00:01:01.960]  有很多人說每個星期都不知道發生什麼事
[00:01:01.960 --> 00:01:07.280]  我就列出一些事實給大家看一看
[00:01:07.280 --> 00:01:10.360]  大概幾個月前
[00:01:10.360 --> 00:01:12.360]  我已經和大家分享過
[00:01:12.360 --> 00:01:16.200]  我發覺信箱裏面有一封信
[00:01:16.200 --> 00:01:18.520]  我經常都不去看我的信箱
[00:01:18.520 --> 00:01:20.520]  過幾天就去看信箱一查
[00:01:20.520 --> 00:01:22.520]  就有一封信寄給我
[00:01:22.520 --> 00:01:23.920]  我抄下來看
[00:01:23.920 --> 00:01:25.920]  有一張支票
[00:01:25.920 --> 00:01:27.920]  是奉獻給教會的
[00:01:27.920 --> 00:01:29.920]  我不以為意
[00:01:29.920 --> 00:01:31.920]  不知道誰懂得
[00:01:31.920 --> 00:01:33.920]  我們教會就奉獻給你
[00:01:33.920 --> 00:01:35.920]  我一看銀碼
[00:01:35.920 --> 00:01:37.920]  好像我看錯了一些東西
[00:01:37.920 --> 00:01:39.920]  Steven Kho剛剛經過
[00:01:39.920 --> 00:01:41.920]  我說Steven你給我看看
[00:01:41.920 --> 00:01:43.920]  因為我的數目字一定錯
[00:01:43.920 --> 00:01:45.920]  一看
[00:01:45.920 --> 00:01:47.920]  是呀沒錯
[00:01:47.920 --> 00:01:49.920]  25萬
[00:01:51.920 --> 00:01:53.920]  奉獻給教會
[00:01:53.920 --> 00:01:57.920]  我由
[00:01:57.920 --> 00:02:01.920]  1987年開始
[00:02:01.920 --> 00:02:03.920]  這間教會來
[00:02:03.920 --> 00:02:05.920]  都未曾見過這麼大張支票
[00:02:05.920 --> 00:02:09.920]  那
[00:02:09.920 --> 00:02:11.920]  是一個無名氏
[00:02:11.920 --> 00:02:13.920]  透過美國播道總會
[00:02:13.920 --> 00:02:15.920]  奉獻了25萬給我們教會
[00:02:15.920 --> 00:02:17.920]  還寫明
[00:02:17.920 --> 00:02:19.920]  是用來做福音和門徒訓練之用
[00:02:19.920 --> 00:02:21.920]  所以今天我們下午就有一個會友大會
[00:02:21.920 --> 00:02:23.920]  我們怎樣去發展我們教會
[00:02:23.920 --> 00:02:25.920]  現在上帝給了我們這筆錢
[00:02:25.920 --> 00:02:27.920]  不是藏在地上的
[00:02:27.920 --> 00:02:29.920]  那應該怎麼做呢
[00:02:29.920 --> 00:02:31.920]  我們再看一看
[00:02:31.920 --> 00:02:33.920]  過去一年來
