
[00:00:00.000 --> 00:00:07.120]  我想說一點大家不容易接受的事情
[00:00:07.120 --> 00:00:10.400]  我們可以有機會再談多一點
[00:00:10.400 --> 00:00:15.320]  我想主要是說上次說到創造
[00:00:15.320 --> 00:00:20.000]  就是有一個秩序 特別是那個物質秩序
[00:00:20.000 --> 00:00:24.080]  有些東西就好像是
[00:00:24.080 --> 00:00:28.960]  我不用這麼高 遮住
[00:00:28.960 --> 00:00:32.960]  謝謝
[00:00:32.960 --> 00:00:40.640]  特別是說到神的創造不是完美的
[00:00:40.640 --> 00:00:42.880]  我說過一句這樣的說話
[00:00:42.880 --> 00:00:49.080]  好像很多人好像不是馬上可以接受到
[00:00:49.080 --> 00:00:52.280]  或者我解釋多一點
[00:00:52.280 --> 00:00:56.080]  其實所謂完美
[00:00:56.080 --> 00:00:58.360]  其實這個都是根據傳道書所說的
[00:00:58.360 --> 00:01:02.760]  所謂完美就是不像天堂那樣
[00:01:02.760 --> 00:01:07.960]  我其實主要在形容上想大家面對今天的人生
[00:01:07.960 --> 00:01:13.560]  包括即場 不要期望是天堂
[00:01:13.560 --> 00:01:17.000]  因為聖經的表述真的是這樣的
[00:01:17.000 --> 00:01:19.800]  特別是看《創世記》第一章
[00:01:19.800 --> 00:01:23.640]  它說做黑暗 就是有光和黑暗
[00:01:23.640 --> 00:01:27.560]  又有海和寒地
[00:01:27.560 --> 00:01:30.920]  如果你比起啟示徒說新天新地
[00:01:30.920 --> 00:01:34.880]  就是不同的 它那裡說明是沒有海和黑暗
[00:01:34.880 --> 00:01:37.480]  就是說是不同的 我想說
[00:01:37.480 --> 00:01:47.360]  所以創造不是等於永恆的天堂
[00:01:47.360 --> 00:01:51.560]  在這樣的情況下我說它是不完美的
[00:01:51.560 --> 00:01:54.840]  當然聖經說神看似好的
[00:01:54.840 --> 00:01:57.840]  好的意思就是這樣
[00:01:57.840 --> 00:02:04.040]  其實它的定義 我都說神說好的就是好的
[00:02:04.040 --> 00:02:06.880]  不一定是你說好的
[00:02:06.880 --> 00:02:10.480]  它是忠義
[00:02:10.480 --> 00:02:13.560]  這個才是創造的重要地方
[00:02:13.560 --> 00:02:18.440]  創造就是強調神說的事
[00:02:18.440 --> 00:02:21.080]  全部都是神說的 神說的事
[00:02:21.080 --> 00:02:23.080]  神說這樣好就是好
[00:02:23.080 --> 00:02:26.360]  神忠義在我們今生裡
[00:02:26.360 --> 00:02:28.360]  暫時在日光之下
[00:02:28.360 --> 00:02:30.680]  有一個世界 有一個人生
[00:02:30.680 --> 00:02:34.960]  不是我們心目中的完美
[00:02:34.960 --> 00:02:39.080]  祂的忠義是這樣 祂看似好的
[00:02:39.080 --> 00:02:42.080]  其實傳統書解釋了
[00:02:42.080 --> 00:02:44.920]  為什麼你會覺得不好呢
[00:02:44.920 --> 00:02:46.920]  因為你有永恆在心裡
[00:02:46.920 --> 00:02:48.920]  你需要永恆才行
[00:02:48.920 --> 00:02:53.400]  說明心不是永恆 就是這個意思
[00:02:53.400 --> 00:02:55.400]  上一節說到
[00:02:55.400 --> 00:02:57.400]  它所謂不好
[00:02:57.400 --> 00:02:59.400]  就是因為它會變
[00:02:59.400 --> 00:03:01.400]  它不是永恆
[00:03:01.400 --> 00:03:04.600]  有定時 有對比
[00:03:04.600 --> 00:03:06.600]  有好有不好的事
[00:03:06.600 --> 00:03:08.600]  其實真的要想一下
[00:03:08.600 --> 00:03:10.600]  這個傳統書說的
[00:03:10.600 --> 00:03:13.600]  你看到不好才知道什麼是好的
[00:03:13.600 --> 00:03:15.600]  人就是這樣
[00:03:15.600 --> 00:03:20.600]  它想你珍惜
[00:03:20.600 --> 00:03:25.600]  想你有個對比你才能欣賞到
[00:03:25.600 --> 00:03:27.600]  和享受到什麼是好的
[00:03:27.600 --> 00:03:29.600]  其實傳統書真的這樣說
[00:03:29.600 --> 00:03:31.600]  所以傳統書的智慧
[00:03:31.600 --> 00:03:33.600]  你要慢慢回答
[00:03:33.600 --> 00:03:36.600]  其實它整本書想說的
