
[00:00:00.000 --> 00:00:05.320]  第四個講題是關於突破人生的十種祈求
[00:00:05.320 --> 00:00:07.320]  我們今天講第三講
[00:00:07.320 --> 00:00:10.320]  本來我定的題目是懂得選擇
[00:00:10.320 --> 00:00:14.000]  但是今天我發覺這四個字更加準確
[00:00:14.000 --> 00:00:16.600]  就是選擇正確
[00:00:16.600 --> 00:00:19.520]  我們學習如何在人生裏容易些
[00:00:19.520 --> 00:00:21.400]  或者說不要出錯
[00:00:21.400 --> 00:00:25.400]  不知道大家是不是一個懂得選擇的人呢
[00:00:25.400 --> 00:00:28.400]  你選擇得最對的事情會是什麼呢
[00:00:28.400 --> 00:00:34.000]  或者說你人生最後悔選擇了些什麼呢
[00:00:34.000 --> 00:00:36.000]  我們很多時候有句俗語
[00:00:36.000 --> 00:00:39.400]  或者經常說的就是千揀萬斬
[00:00:39.400 --> 00:00:42.400]  揀著個爛吞斬
[00:00:42.400 --> 00:00:45.800]  我認識一些朋友是有選擇恐懼症的
[00:00:45.800 --> 00:00:47.400]  他說最好不要讓我選擇
[00:00:47.400 --> 00:00:49.200]  行了行了行了 你說了算
[00:00:49.200 --> 00:00:52.200]  譬如去到餐廳給他餐牌
[00:00:52.200 --> 00:00:54.400]  嘩 大件事了
[00:00:54.400 --> 00:00:58.000]  我認識的最久好像是15分鐘20分鐘
[00:00:58.000 --> 00:00:59.600]  都未選到食物
[00:00:59.600 --> 00:01:03.000]  我覺得他好像幾乎想背了餐牌
[00:01:03.000 --> 00:01:04.200]  選不到
[00:01:04.200 --> 00:01:07.800]  選錯食物最多都是後悔兩三個小時
[00:01:07.800 --> 00:01:09.800]  因為可能你下午選錯了
[00:01:09.800 --> 00:01:12.200]  那麼晚上就再選一個
[00:01:12.200 --> 00:01:15.400]  但是有些選錯了我們會說很嚴重的
[00:01:15.400 --> 00:01:18.200]  是抱憾什麼
[00:01:18.200 --> 00:01:19.600]  終生
[00:01:19.600 --> 00:01:22.800]  但是抱憾終生原來不是最嚴重的
[00:01:22.800 --> 00:01:24.000]  最嚴重是什麼
[00:01:24.000 --> 00:01:27.200]  是抱憾永生
