
[00:00:00.000 --> 00:00:05.000]  各位網友 今天是第一次站在港台講道
[00:00:05.000 --> 00:00:08.000]  希望我的喉嚨和聲音都可以
[00:00:08.000 --> 00:00:10.000]  有時候聲音要遷就著 不要緊
[00:00:10.000 --> 00:00:14.000]  人有軟弱 神的說話大有能力 好嗎?
[00:00:14.000 --> 00:00:18.000]  今天我們就來思想剛才所讀的四節經文
[00:00:18.000 --> 00:00:22.000]  如果你們手上有聖經的話 我都很想你打開耳窗
[00:00:22.000 --> 00:00:24.000]  因為我看到很多人在看著我
[00:00:24.000 --> 00:00:26.000]  我都想你打開耳窗 因為我看到很多人在看著我
[00:00:26.000 --> 00:00:30.000]  如果你們手上有聖經的話 我都很想你打開耳窗
[00:00:30.000 --> 00:00:32.000]  是《耳塞亞書》第58章
[00:00:32.000 --> 00:00:35.000]  《耳塞亞書》第58章我們剛才讀的是第9節
[00:00:35.000 --> 00:00:40.000]  到第12節 第9節到第10節
[00:00:40.000 --> 00:00:43.000]  我今天選這段經文是因為
[00:00:43.000 --> 00:00:46.000]  大家在邀請信裏面提議
[00:00:46.000 --> 00:00:50.000]  希望現在這個聚會這段時間
[00:00:50.000 --> 00:00:55.000]  在崇拜裏面多些提及弟兄姊妹
[00:00:55.000 --> 00:00:57.000]  弟兄姊妹不單單只是聽到
[00:00:57.000 --> 00:01:01.000]  不單單只是學到不同的傳播方法
[00:01:01.000 --> 00:01:06.000]  也真是有生命 有血 有肉進入人群當中
[00:01:06.000 --> 00:01:08.000]  我相信這也是我自己的負擔
[00:01:08.000 --> 00:01:11.000]  所以今天我想起這段聖經
[00:01:11.000 --> 00:01:13.000]  想和大家一起來分享
[00:01:13.000 --> 00:01:17.000]  我們只是四節 但四節整個說話都可以很豐富
[00:01:17.000 --> 00:01:20.000]  我們先祈禱 求主保我們
[00:01:20.000 --> 00:01:23.000]  我們主我們神 我們多謝祢賜給我們祢自己的話語
[00:01:23.000 --> 00:01:27.000]  但我們更加需要祢自己的靈帶領我們進入祢的真理當中
[00:01:27.000 --> 00:01:29.000]  因為我們今天同感一靈
[00:01:29.000 --> 00:01:32.000]  是聆聽祢自己對我們所說的話
[00:01:32.000 --> 00:01:34.000]  求主憐憫 感動我們的心
[00:01:34.000 --> 00:01:37.000]  聽我們的禱告 奉耶穌基督的名求
[00:01:37.000 --> 00:01:38.000]  Amen
[00:01:38.000 --> 00:01:41.000]  好 我們請由施上這段聖經
[00:01:41.000 --> 00:01:44.000]  我有個大綱 是不是可以打出來都可以
[00:01:44.000 --> 00:01:48.000]  一邊說的時候 如果可以的話可以打出來
[00:01:48.000 --> 00:01:52.000]  如果不是的話就聽著我說
[00:01:52.000 --> 00:01:57.000]  這段聖經雖然是四節 很短的聖經
[00:01:57.000 --> 00:02:01.000]  但當中也很有豐富的意思
[00:02:01.000 --> 00:02:04.000]  我們特別針對留心看
[00:02:04.000 --> 00:02:09.000]  究竟神透過這段聖經想和我們說些什麼訊息
[00:02:09.000 --> 00:02:13.000]  我們將這段聖經分為三個部分
[00:02:13.000 --> 00:02:18.000]  前一節半 接著一節半 最後第四節
[00:02:18.000 --> 00:02:22.000]  四節的聖經 究竟想說些什麼呢
[00:02:22.000 --> 00:02:25.000]  剛才大家讀的時候可能特別留意到
[00:02:25.000 --> 00:02:27.000]  第十二節 最後那裡說
[00:02:27.000 --> 00:02:30.000]  祢必稱為補破口的
[00:02:30.000 --> 00:02:36.000]  和可以重修路徑 讓人可以居住地方的人
[00:02:36.000 --> 00:02:39.000]  基督徒有這樣的花名
[00:02:39.000 --> 00:02:41.000]  稱為被補破口的
[00:02:41.000 --> 00:02:48.000]  和可以重修路徑 使人可以居住的地方的人
[00:02:48.000 --> 00:02:54.000]  補破口必然是我們今天要說的主題的起始點
[00:02:54.000 --> 00:02:59.000]  我相信我們也不想在這裡太多去形容
[00:02:59.000 --> 00:03:02.000]  我們今天的社會很多破口
[00:03:02.000 --> 00:03:07.000]  大家知道這些破口當然不只是指見得到的
[00:03:07.000 --> 00:03:10.000]  我們見不到的心靈的破口
[00:03:10.000 --> 00:03:13.000]  我們經常說香港是一個撕裂的城市
[00:03:13.000 --> 00:03:16.000]  我想你和我也知道不只是撕裂
[00:03:16.000 --> 00:03:19.000]  我們是一個充滿了破口的世界
[00:03:19.000 --> 00:03:23.000]  充滿了破口的城市
[00:03:23.000 --> 00:03:27.000]  我們環顧我們周圍很多的傷痕
[00:03:27.000 --> 00:03:29.000]  我們周圍的世界
[00:03:29.000 --> 00:03:32.000]  我們的社會 我們的社區
[00:03:32.000 --> 00:03:36.000]  甚至我們看回我們自己的家庭
[00:03:36.000 --> 00:03:38.000]  也有很多傷痕在這裡 是吧
[00:03:38.000 --> 00:03:43.000]  甚至我們的團契 教會裡面也有很多傷痕
[00:03:43.000 --> 00:03:46.000]  我相信這個就是我們今天所面對的世界
[00:03:46.000 --> 00:03:49.000]  但究竟面對著這個世界的時候
[00:03:49.000 --> 00:03:52.000]  我們作為神自己的兒女 神有什麼心意給我們
[00:03:52.000 --> 00:03:54.000]  這個才是重要的
[00:03:54.000 --> 00:03:57.000]  不只是在這裡生活 和其他人一樣
[00:03:57.000 --> 00:04:01.000]  能夠生存就生存 活得好一點就好一點
[00:04:01.000 --> 00:04:03.000]  有機會去旅遊就玩一玩
[00:04:03.000 --> 00:04:07.000]  回來又再做過事 養大幾個小孩
[00:04:07.000 --> 00:04:09.000]  不是這樣就過一輩子
[00:04:09.000 --> 00:04:11.000]  神有祂的意思 我想用這個
[00:04:11.000 --> 00:04:13.000]  以賽亞書和大家一起看
[00:04:13.000 --> 00:04:15.000]  神的意思在哪裡
[00:04:15.000 --> 00:04:19.000]  我們先看第九節和第十節上半節
[00:04:19.000 --> 00:04:23.000]  那時你呼求耶和華必應允
[00:04:23.000 --> 00:04:26.000]  你呼求他必說我在這裡
[00:04:26.000 --> 00:04:30.000]  你若從你們中間除掉寵兀和指責人的指頭
[00:04:30.000 --> 00:04:32.000]  並發惡言的事
[00:04:32.000 --> 00:04:39.000]  你若心裡面向飢餓的人發憐憫恥困苦的人得本宗
[00:04:39.000 --> 00:04:41.000]  好 我們先看第九節
[00:04:41.000 --> 00:04:44.000]  第九節一開始的時候
[00:04:44.000 --> 00:04:46.000]  你有沒有留意這裡
[00:04:46.000 --> 00:04:48.000]  以賽亞先知說話
[00:04:48.000 --> 00:04:50.000]  那時你求告耶和華必應允
[00:04:50.000 --> 00:04:54.000]  你求告他必說我在這裡
[00:04:54.000 --> 00:04:57.000]  如果你是基督徒 你會很熟悉這幾個字
[00:04:57.000 --> 00:04:59.000]  我在這裡 你是不是聽過
[00:04:59.000 --> 00:05:01.000]  是不是 在哪裡聽過
[00:05:01.000 --> 00:05:04.000]  以賽亞書在哪幾章
[00:05:04.000 --> 00:05:06.000]  早一點的
[00:05:06.000 --> 00:05:10.000]  早一點的六章第八節那裡
[00:05:10.000 --> 00:05:12.000]  其實聽過這句話
[00:05:12.000 --> 00:05:14.000]  這句話是什麼時候出現的呢
[00:05:14.000 --> 00:05:16.000]  大家記得六章八節那裡
[00:05:16.000 --> 00:05:18.000]  以賽亞見到一個異象
[00:05:18.000 --> 00:05:20.000]  說到耶和華的呼召
[00:05:20.000 --> 00:05:23.000]  見到一個聖所充滿了聖潔
[00:05:23.000 --> 00:05:24.000]  有煙霧
[00:05:24.000 --> 00:05:27.000]  然後以賽亞就斃了
[00:05:27.000 --> 00:05:29.000]  他說很糟糕 我是一個不潔的人
[00:05:29.000 --> 00:05:30.000]  口唇不潔
[00:05:30.000 --> 00:05:32.000]  於是有撒拉弗 有天使
[00:05:32.000 --> 00:05:34.000]  將壇上的炭火
[00:05:34.000 --> 00:05:36.000]  沾他的嘴巴來清潔
[00:05:36.000 --> 00:05:39.000]  然後他就聽見有聲音呼喊
[00:05:39.000 --> 00:05:42.000]  就是從耶和華神而來的呼籲
[00:05:42.000 --> 00:05:45.000]  說我可以差遣誰呢
[00:05:45.000 --> 00:05:47.000]  誰可以為我去呢
[00:05:47.000 --> 00:05:49.000]  於是先知以賽亞就說
[00:05:49.000 --> 00:05:53.000]  我在這裡 請差遣我
[00:05:53.000 --> 00:05:55.000]  是不是 很熟悉這節聖經
[00:05:55.000 --> 00:05:57.000]  好燙 我都沒有想過
[00:05:57.000 --> 00:05:59.000]  第五十八章又出現多一次
[00:05:59.000 --> 00:06:02.000]  這裡有沒有說我在這裡
[00:06:02.000 --> 00:06:03.000]  是不是
[00:06:03.000 --> 00:06:06.000]  我想問你有沒有留意我在這裡
[00:06:06.000 --> 00:06:09.000]  這裡說和剛才我們所讀的六章
[00:06:09.000 --> 00:06:11.000]  有什麼不同
[00:06:11.000 --> 00:06:13.000]  是吧
[00:06:13.000 --> 00:06:16.000]  是啦 不同的
[00:06:16.000 --> 00:06:18.000]  同一句話
[00:06:18.000 --> 00:06:20.000]  在第六章那裡
[00:06:20.000 --> 00:06:23.000]  是神呼召的時候
[00:06:23.000 --> 00:06:26.000]  人以賽亞說我在這裡
[00:06:26.000 --> 00:06:28.000]  誰可以為我去呢
[00:06:28.000 --> 00:06:30.000]  我可以差遣誰呢
[00:06:30.000 --> 00:06:31.000]  人以賽亞說讓我來吧
[00:06:31.000 --> 00:06:33.000]  我願意參與
[00:06:33.000 --> 00:06:35.000]  我參加
[00:06:35.000 --> 00:06:36.000]  我在這裡
[00:06:36.000 --> 00:06:37.000]  但這裡呢
[00:06:37.000 --> 00:06:39.000]  誰說的
[00:06:39.000 --> 00:06:41.000]  神說的
[00:06:41.000 --> 00:06:43.000]  這裡不是神呼召人
[00:06:43.000 --> 00:06:46.000]  是人 我不敢說呼召這個字
[00:06:46.000 --> 00:06:47.000]  哪有資格
[00:06:47.000 --> 00:06:49.000]  我們人去呼籲神
[00:06:49.000 --> 00:06:50.000]  我怎麼辦呢
[00:06:50.000 --> 00:06:52.000]  神說我在這裡
[00:06:52.000 --> 00:06:53.000]  但原來你發覺
[00:06:53.000 --> 00:06:56.000]  神的呼召是兩面的
[00:06:56.000 --> 00:06:58.000]  神的呼召很多時候我們只是等
[00:06:58.000 --> 00:06:59.000]  就是說
[00:06:59.000 --> 00:07:02.000]  我不知道可以為這個城市做些什麼
[00:07:02.000 --> 00:07:03.000]  我就是在這裡等
[00:07:03.000 --> 00:07:05.000]  看神給我有感動
[00:07:05.000 --> 00:07:06.000]  看我在那個崗位
[00:07:06.000 --> 00:07:08.000]  或者在哪些短孫
[00:07:08.000 --> 00:07:10.000]  或者在什麼侍奉的崗位
[00:07:10.000 --> 00:07:11.000]  於是在這裡等
[00:07:11.000 --> 00:07:12.000]  不是說不對
[00:07:12.000 --> 00:07:15.000]  不過我們知道原來神的呼召
[00:07:15.000 --> 00:07:17.000]  不是單單要我們
[00:07:17.000 --> 00:07:20.000]  得到一個很獨特的神給我一個感動
[00:07:20.000 --> 00:07:22.000]  然後我就去傳福音
[00:07:22.000 --> 00:07:24.000]  我就去某個地方
[00:07:24.000 --> 00:07:26.000]  傳福音那種呼召
[00:07:26.000 --> 00:07:28.000]  當然是最正統的
[00:07:28.000 --> 00:07:30.000]  傳統我們所了解的呼召
[00:07:30.000 --> 00:07:33.000]  但真正神的呼召裡面有兩面
[00:07:33.000 --> 00:07:37.000]  一方面我們聽見神呼召我們去
[00:07:37.000 --> 00:07:39.000]  但另一方面我們更加重要的
[00:07:39.000 --> 00:07:41.000]  就好像這裡第58章那樣
