
[00:00:00.000 --> 00:00:05.000]  在今早的崇拜裏面
[00:00:05.000 --> 00:00:10.200]  我就很想用剛才馬太福音的第十三章
[00:00:10.200 --> 00:00:11.800]  不過不只是那幾節
[00:00:11.800 --> 00:00:17.400]  就是全章耶穌說了有七個天國的比喻
[00:00:17.400 --> 00:00:20.600]  我就想和大家在天國的比喻裏面
[00:00:20.600 --> 00:00:26.000]  來了解天國的屬靈奧秘
[00:00:26.000 --> 00:00:29.200]  屬靈奧秘這個字耶穌自己說的
[00:00:29.200 --> 00:00:31.400]  在十一節裏面
[00:00:31.400 --> 00:00:41.000]  祂自己說祂用比喻想和我們說天國的奧秘
[00:00:41.000 --> 00:00:44.400]  天國有奧秘的嗎?
[00:00:44.400 --> 00:00:46.600]  當然有了
[00:00:46.600 --> 00:00:48.200]  怎麼會沒有呢?
[00:00:48.200 --> 00:00:53.400]  你想想神在我們人間所做的手法所做的事
[00:00:53.400 --> 00:00:58.200]  又想想神自己那種我們測不透的偉大
[00:00:58.200 --> 00:01:02.600]  祂那種我們沒辦法完全明白的慈愛
[00:01:02.600 --> 00:01:04.600]  充滿了奧秘
[00:01:04.600 --> 00:01:09.000]  是我們的智慧沒可能完全了解明白的
[00:01:09.000 --> 00:01:12.000]  所以天國肯定有奧秘
[00:01:12.000 --> 00:01:13.600]  不過我們的好消息就是
[00:01:13.600 --> 00:01:18.800]  耶穌說我現在將這些奧秘告訴你們
[00:01:18.800 --> 00:01:22.800]  不過祂接著說又令我們很困惑
[00:01:22.800 --> 00:01:24.600]  因為第十三節那裏說
[00:01:24.600 --> 00:01:27.800]  耶穌說我用比喻和他們說的時候
[00:01:27.800 --> 00:01:30.000]  是因為他們看又看不見
[00:01:30.000 --> 00:01:32.400]  聽又聽不見也不明白
[00:01:32.400 --> 00:01:34.800]  這件事就真的很奇怪
[00:01:34.800 --> 00:01:41.400]  是不是耶穌用比喻來說天國的奧秘的時候
[00:01:41.400 --> 00:01:44.200]  是故意令人聽又聽不明白
[00:01:44.200 --> 00:01:45.400]  看又看到了
[00:01:45.400 --> 00:01:47.600]  不過都不知道是什麼呢?
[00:01:47.600 --> 00:01:51.200]  究竟是不是這樣的意思呢?
[00:01:51.200 --> 00:01:54.400]  當然不是了
[00:01:54.400 --> 00:01:57.200]  因為我們知道耶穌來到這個世間
[00:01:57.200 --> 00:01:59.200]  神自己道成肉身
[00:01:59.200 --> 00:02:01.600]  來到我們人間想做什麼呢?
[00:02:01.600 --> 00:02:05.200]  除了要拯救我們的罪之外
[00:02:05.200 --> 00:02:10.800]  還有祂很想讓我們更加明白祂是一個怎樣的神
[00:02:10.800 --> 00:02:14.800]  所以整個耶穌來到我們人間就是想我們明白
[00:02:14.800 --> 00:02:16.200]  就是想我們明白祂
[00:02:16.200 --> 00:02:18.600]  想我們本來不明白的能夠明白
[00:02:18.600 --> 00:02:20.400]  所以神從來
[00:02:20.400 --> 00:02:24.400]  耶穌也是絕對不會刻意令我們不明白的
[00:02:24.400 --> 00:02:26.600]  我們千萬不要搞錯
[00:02:26.600 --> 00:02:28.600]  那這裡想說什麼呢?
[00:02:28.600 --> 00:02:29.800]  這裡想說一件事
[00:02:29.800 --> 00:02:32.200]  耶穌接著說的很清楚
[00:02:32.200 --> 00:02:38.400]  就是我用這些比喻來說天國的奧秘的時候
[00:02:38.400 --> 00:02:40.600]  有人聽得明白
