
[00:00:00.000 --> 00:00:03.000]  幸福和快乐的人生
[00:00:03.000 --> 00:00:06.000]  是每个人都很向往
[00:00:06.000 --> 00:00:10.000]  你想想你当年排除万难
[00:00:10.000 --> 00:00:13.000]  放下你的事业
[00:00:13.000 --> 00:00:16.000]  放下你的前途
[00:00:16.000 --> 00:00:19.000]  放下一层楼去移民
[00:00:19.000 --> 00:00:23.000]  为的就是追求你认为一个
[00:00:23.000 --> 00:00:27.000]  更加幸福快乐和
[00:00:27.000 --> 00:00:31.000]  有安全感的城市去居住
[00:00:31.000 --> 00:00:35.000]  但是幸福和快乐
[00:00:35.000 --> 00:00:38.000]  不容易夹着
[00:00:38.000 --> 00:00:43.000]  捉到又未必可以保持住
[00:00:43.000 --> 00:00:46.000]  可能稍中即逝
[00:00:46.000 --> 00:00:50.000]  甚至我们不容易为幸福快乐
[00:00:50.000 --> 00:00:54.000]  下一个简单的定义
[00:00:54.000 --> 00:00:58.000]  不过我今天搬个名人出来
[00:00:58.000 --> 00:01:00.000]  看他怎么定义
[00:01:00.000 --> 00:01:02.000]  温家宝 我经常说温家宝
[00:01:02.000 --> 00:01:04.000]  因为温家宝有很多证据
[00:01:04.000 --> 00:01:06.000]  他说话是很慢的
[00:01:06.000 --> 00:01:08.000]  一定听得到
[00:01:08.000 --> 00:01:13.000]  他离任前一年春天
[00:01:13.000 --> 00:01:17.000]  北京召开人大政协会议
[00:01:17.000 --> 00:01:20.000]  中国领导人真的比香港人
[00:01:20.000 --> 00:01:22.000]  领导人厉害很多
[00:01:22.000 --> 00:01:25.000]  做show都做得很出色
[00:01:25.000 --> 00:01:29.000]  竟然有一个网上答问
[00:01:29.000 --> 00:01:33.000]  是接听全中国人民
[00:01:33.000 --> 00:01:37.000]  在电邮和总理对话
[00:01:37.000 --> 00:01:39.000]  当然这些有所铺排
[00:01:39.000 --> 00:01:42.000]  但是掌握民心
[00:01:42.000 --> 00:01:45.000]  第一个问题就是当年
[00:01:45.000 --> 00:01:48.000]  很多老百姓要问一个问题
[00:01:48.000 --> 00:01:51.000]  三年前中国GDP很厉害
[00:01:51.000 --> 00:01:55.000]  每年超过8.5%的经济增长
[00:01:55.000 --> 00:01:57.000]  加拿大多少
[00:01:57.000 --> 00:02:01.000]  你们不太知道
[00:02:01.000 --> 00:02:04.000]  总之有二有三很好
[00:02:04.000 --> 00:02:06.000]  你看看家园多惨
[00:02:06.000 --> 00:02:08.000]  缩水的
[00:02:08.000 --> 00:02:11.000]  现在一对6.9%没7%
[00:02:11.000 --> 00:02:14.000]  所以你给我的港元费我蚀本
[00:02:14.000 --> 00:02:18.000]  蚀了水要补回10%
[00:02:18.000 --> 00:02:22.000]  当年中国经济大升
[00:02:22.000 --> 00:02:24.000]  但是中国人觉得
[00:02:24.000 --> 00:02:27.000]  我们是否开心了呢
[00:02:27.000 --> 00:02:30.000]  于是很多评论就说到
[00:02:30.000 --> 00:02:34.000]  中国的GDP和中国的幸福感
[00:02:34.000 --> 00:02:36.000]  是否挂钩呢
[00:02:36.000 --> 00:02:39.000]  因为中国穷了那么久
[00:02:39.000 --> 00:02:41.000]  一定赚不到
[00:02:41.000 --> 00:02:43.000]  中国穷了那么久
[00:02:43.000 --> 00:02:46.000]  一定GDP增长收入增加
[00:02:46.000 --> 00:02:48.000]  幸福感应该全面提升
[00:02:48.000 --> 00:02:50.000]  但很久发现不是
[00:02:50.000 --> 00:02:52.000]  我们发现以前更开心
[00:02:52.000 --> 00:02:55.000]  于是温总第一个问题
[00:02:55.000 --> 00:02:57.000]  当然是做媒的了
[00:02:57.000 --> 00:03:00.000]  做媒做得高明
[00:03:00.000 --> 00:03:02.000]  老百姓问
[00:03:02.000 --> 00:03:05.000]  总理
[00:03:05.000 --> 00:03:07.000]  在你心中
[00:03:07.000 --> 00:03:11.000]  什么叫幸福呢
[00:03:11.000 --> 00:03:13.000]  什么叫幸福呢
[00:03:13.000 --> 00:03:15.000]  总理有个语句
[00:03:15.000 --> 00:03:19.000]  这个幸福
[00:03:19.000 --> 00:03:27.000]  就是我们今天活得很安心
[00:03:27.000 --> 00:03:30.000]  很放心
[00:03:30.000 --> 00:03:32.000]  也很舒心
[00:03:32.000 --> 00:03:34.000]  舒心就很开心
[00:03:34.000 --> 00:03:38.000]  并且对明天将来很有信心
[00:03:38.000 --> 00:03:42.000]  一贯温家宝式的讲话
[00:03:42.000 --> 00:03:44.000]  很动听
[00:03:44.000 --> 00:03:46.000]  很好听
[00:03:46.000 --> 00:03:48.000]  但很虚的
[00:03:48.000 --> 00:03:50.000]  但是我们今天活得很安心
[00:03:50.000 --> 00:03:52.000]  很放心
[00:03:52.000 --> 00:03:54.000]  很舒心
[00:03:54.000 --> 00:03:56.000]  舒心就很开心
[00:03:56.000 --> 00:04:00.000]  并且对明天将来很有信心
[00:04:00.000 --> 00:04:02.000]  但很虚的
[00:04:02.000 --> 00:04:06.000]  这就是温家宝式的谈话
[00:04:06.000 --> 00:04:08.000]  很特别
[00:04:08.000 --> 00:04:10.000]  幸福在哪里呢
[00:04:10.000 --> 00:04:12.000]  你问医生
[00:04:12.000 --> 00:04:14.000]  什么叫健康啊
[00:04:14.000 --> 00:04:16.000]  什么叫健康的看病啊
[00:04:16.000 --> 00:04:18.000]  没病没痛就健康了
[00:04:18.000 --> 00:04:20.000]  这么简单
[00:04:20.000 --> 00:04:22.000]  其实说到幸福快乐
[00:04:22.000 --> 00:04:24.000]  一个很简单的道理
[00:04:24.000 --> 00:04:28.000]  就是将一些不幸福不快乐的因素拿开
[00:04:28.000 --> 00:04:30.000]  这件事
[00:04:30.000 --> 00:04:34.000]  心理学大师弗洛伊德说得好
[00:04:34.000 --> 00:04:38.000]  人生有三个痛苦的根源
[00:04:38.000 --> 00:04:40.000]  你看看你中了多少个了
[00:04:40.000 --> 00:04:42.000]  第一 天然灾难
[00:04:42.000 --> 00:04:46.000]  温哥华很安全
