
[00:00:00.000 --> 00:00:07.100]  不知道今年的聖誕你有沒有一種新的感覺呢
[00:00:07.100 --> 00:00:14.400]  願意今年的聖誕節 雖然這篇講章在十幾年前都在這裡講過了
[00:00:14.400 --> 00:00:17.400]  不過我會加一些新的東西下去
[00:00:17.400 --> 00:00:22.800]  這篇講章都能夠成為你一篇新的提醒
[00:00:22.800 --> 00:00:27.900]  願意聖誕節 特別第一個聖誕節的七個人物
[00:00:27.900 --> 00:00:34.500]  他們對聖誕節的一些體會能夠給我們一些提醒
[00:00:34.500 --> 00:00:37.500]  第一位人物就是撒加利亞
[00:00:37.500 --> 00:00:43.900]  撒加利亞是瑪利亞的表姐 伊麗莎白的老公
[00:00:43.900 --> 00:00:45.500]  即是她的表姐夫
[00:00:45.500 --> 00:00:48.900]  聖經裡面在路加福音第一章第五至二十三節
[00:00:48.900 --> 00:00:53.100]  特別清楚地記載她的一些背景
[00:00:53.100 --> 00:00:58.900]  路加福音第一章一至四節是一個序言
[00:00:58.900 --> 00:01:04.700]  序言之後一開始就講這對夫婦
[00:01:04.700 --> 00:01:11.100]  這對夫婦聖經說他們是二人
[00:01:11.100 --> 00:01:14.000]  當然他們是亞倫的後裔
[00:01:14.000 --> 00:01:18.300]  撒加利亞甚至是祭司
[00:01:18.300 --> 00:01:23.900]  然後他們是進行主的一切的誡命和禮儀
[00:01:23.900 --> 00:01:26.700]  沒有可指責的 但有一個遺憾
[00:01:26.700 --> 00:01:28.700]  遺憾就是他們沒有兒子
[00:01:28.700 --> 00:01:32.900]  因為伊麗莎白不生育 兩個人又年紀老邁了
[00:01:32.900 --> 00:01:35.100]  當然你說沒有兒子就沒有兒子
[00:01:35.100 --> 00:01:37.100]  有兒子也未必一定好
[00:01:37.100 --> 00:01:40.700]  就算不結婚也未必好
[00:01:40.700 --> 00:01:41.900]  我不是說我自己
[00:01:41.900 --> 00:01:44.900]  基本上很重要
[00:01:44.900 --> 00:01:49.100]  現在這個社會很簡單
[00:01:49.100 --> 00:01:50.700]  不結婚沒有兒子有什麼重要
[00:01:50.700 --> 00:01:52.700]  結婚沒有兒子就沒有兒子
[00:01:52.700 --> 00:01:56.500]  不過在當時來說就很不同
[00:01:56.500 --> 00:01:58.300]  當時是一個農業的社會
[00:01:58.300 --> 00:01:59.700]  一個畜牧的社會
[00:01:59.700 --> 00:02:04.500]  有兒子就變成有生產的能力
[00:02:04.500 --> 00:02:06.900]  不單這樣 中國人以前也這樣說
[00:02:06.900 --> 00:02:10.900]  養兒防老 積谷就防饑
[00:02:10.900 --> 00:02:14.900]  以前沒有那麼多社會保障
[00:02:14.900 --> 00:02:18.900]  有個兒子或一個群仔
[00:02:18.900 --> 00:02:24.900]  有群仔的時候老邁就有些依靠
[00:02:24.900 --> 00:02:26.900]  積谷可以防饑
