
[00:00:00.000 --> 00:00:07.400]  各位網友 多謝大家收看 多謝大家支持 多謝多謝
[00:00:07.400 --> 00:00:09.860]  一會兒就要坐飛機走了
[00:00:09.860 --> 00:00:11.960]  雖然來去匆匆兩個晚上
[00:00:11.960 --> 00:00:14.740]  但是很感謝神給我今天都有機會
[00:00:14.740 --> 00:00:17.860]  和曾國藥牧師我們有一個會
[00:00:17.860 --> 00:00:21.060]  如果可以的話 我們很可能
[00:00:21.060 --> 00:00:24.120]  前面說聯會會和遠東合作
[00:00:24.120 --> 00:00:27.060]  搞一個空中神學的培訓
[00:00:27.060 --> 00:00:30.700]  這個其實都是我們今天主題叫做「使命根深」
[00:00:30.700 --> 00:00:35.380]  其實我2014年開始做總幹事的時候 我都很抬頭
[00:00:35.380 --> 00:00:38.580]  因為我們聯會的堂數增長的時候
[00:00:38.580 --> 00:00:42.900]  是隨著移民潮開始的 在80年代、90年代
[00:00:42.900 --> 00:00:45.920]  所以以前總幹事就是譚文君牧師
[00:00:45.920 --> 00:00:48.600]  說當時教會增長直從很好
[00:00:48.600 --> 00:00:50.760]  但是其實你都知道 我都知道
[00:00:50.760 --> 00:00:54.420]  其實華人教會已經是Plateau(平壤)
[00:00:54.420 --> 00:00:57.040]  當我做總幹事的時候 我抬頭就死了
[00:00:57.040 --> 00:01:00.660]  它已經去到最高峰了 我怎麼再上高峰呢?
[00:01:00.660 --> 00:01:02.220]  其實這個真的很實在
[00:01:02.220 --> 00:01:05.300]  因為其實無論什麼時代 什麼處境
[00:01:05.300 --> 00:01:07.840]  無論你是年幼的或者年長的
[00:01:07.840 --> 00:01:11.140]  其實我們都不可以沒有使命
[00:01:11.140 --> 00:01:13.660]  當我們沒有使命 沒了使命的時候
[00:01:13.660 --> 00:01:17.780]  我們很容易就要維持 甚至會向下波走
[00:01:17.780 --> 00:01:20.820]  所以我們一定要重新去重拾使命
[00:01:20.820 --> 00:01:23.360]  究竟在這個時代 在這個時刻裡面
[00:01:23.360 --> 00:01:25.660]  神對教會 對我們個人
[00:01:25.660 --> 00:01:29.220]  它有些什麼使命讓我們能夠再上去呢?
[00:01:29.220 --> 00:01:32.200]  在聯會的時候 我就想了想
[00:01:32.200 --> 00:01:35.100]  終於想了一個策略出來
[00:01:35.100 --> 00:01:39.260]  我們的目的就是希望在加拿大積極直行
[00:01:39.260 --> 00:01:41.340]  以前每年是兩間
[00:01:41.340 --> 00:01:44.060]  因為50年我們大概有90多間
[00:01:44.060 --> 00:01:45.860]  平均每年兩間
[00:01:45.860 --> 00:01:48.800]  現在我獅子大開口
[00:01:48.800 --> 00:01:51.300]  我說每年五間
[00:01:51.300 --> 00:01:53.140]  我希望每年積五間
[00:01:53.140 --> 00:01:56.340]  我就找了一個副總幹事余東海牧師
[00:01:56.340 --> 00:01:58.780]  我就是 你辦事我放心
[00:01:58.780 --> 00:02:00.440]  你什麼都不用做了
[00:02:00.440 --> 00:02:02.720]  你每年給五間教會我就行了
[00:02:02.720 --> 00:02:04.780]  哇 搞得他們真的很大壓力
[00:02:04.780 --> 00:02:06.420]  但是真是神恩典
[00:02:06.420 --> 00:02:08.720]  我們最近一個新的直行
[00:02:08.720 --> 00:02:11.020]  就是在這個星期天
[00:02:11.020 --> 00:02:16.020]  在滿地可的南岸叫做主恩宣導會
[00:02:16.020 --> 00:02:17.600]  英文又叫Emmanuel
[00:02:17.600 --> 00:02:19.360]  正是我在Ottawa的時候
[00:02:19.360 --> 00:02:22.600]  那間教會 同一個英文名 同一個中文名
[00:02:22.600 --> 00:02:24.240]  它是我們最新的直行
[00:02:24.240 --> 00:02:26.540]  另外我們在Kobe City
[00:02:26.540 --> 00:02:28.140]  我們在Waterloo
[00:02:28.140 --> 00:02:30.440]  我們在Stouffville
[00:02:30.440 --> 00:02:32.940]  我們在Ottawa的Canada
[00:02:32.940 --> 00:02:36.080]  我們有幾個project是在進行的
[00:02:36.080 --> 00:02:37.920]  一切不是我們 是神
[00:02:37.920 --> 00:02:39.020]  我們有這樣的信心
[00:02:39.020 --> 00:02:41.220]  我們願意擺上去 我們願意盡力
[00:02:41.220 --> 00:02:43.960]  神是厚賜給我們
[00:02:43.960 --> 00:02:47.060]  所以當時我就想到一個方向
[00:02:47.060 --> 00:02:49.460]  就是我們在加拿大積極直行
[00:02:49.460 --> 00:02:51.100]  每年五間
[00:02:51.100 --> 00:02:54.500]  另外在海外不同的地方也積極直行
[00:02:54.500 --> 00:02:55.560]  昨天說過了
[00:02:55.560 --> 00:02:57.140]  中國的一帶一路
[00:02:57.140 --> 00:02:59.100]  其實到處都是中國人
[00:02:59.100 --> 00:03:01.140]  我們到處都有這個直行的契機
[00:03:01.140 --> 00:03:05.440]  問題是我們願不願意踏上信心的一步
[00:03:05.440 --> 00:03:06.640]  那怎麼做到呢?
[00:03:06.640 --> 00:03:08.540]  我就想了一個辦法出來
[00:03:08.540 --> 00:03:10.740]  叫做4.3.2.1
[00:03:10.740 --> 00:03:12.580]  4就是四重福音
[00:03:12.580 --> 00:03:14.620]  回到我們的根
[00:03:14.620 --> 00:03:17.120]  宣導會的盡心生命 普世差全
[00:03:17.120 --> 00:03:19.280]  所以我們這次主題是說這個東西
[00:03:19.280 --> 00:03:21.520]  所以為什麼我叫梁凱文牧師寫一個
[00:03:21.520 --> 00:03:24.220]  恩典塑造生命 那個就是Deeper Light
[00:03:24.220 --> 00:03:26.520]  另外請楊慶琴牧師寫的就是
[00:03:26.520 --> 00:03:28.600]  宣導會的淑寧傳統
[00:03:28.600 --> 00:03:30.760]  我們這次50週年就引了出來
[00:03:30.760 --> 00:03:33.000]  在東岸就已經放出去了
[00:03:33.000 --> 00:03:34.800]  你們有參加50週年的那些有
[00:03:34.800 --> 00:03:36.600]  沒有參加的那些沒有
[00:03:36.600 --> 00:03:40.540]  但是2019年我們在西岸搞JMC的時候
[00:03:40.540 --> 00:03:42.980]  這些書會免費派給你們的
[00:03:42.980 --> 00:03:45.640]  如果你想早點看 上網看
[00:03:45.640 --> 00:03:47.580]  我們有這個ebook
[00:03:47.580 --> 00:03:48.920]  是不同的format
[00:03:48.920 --> 00:03:51.480]  有PDF 有Mobi 有其它的一些
[00:03:51.480 --> 00:03:53.760]  所以你可以在網上看
[00:03:53.760 --> 00:03:55.160]  其實最終目的
[00:03:55.160 --> 00:03:56.760]  就是我們回到宣導會
