
[00:00:00.000 --> 00:00:04.320]  多謝 各位早安 聖誕快樂
[00:00:04.320 --> 00:00:08.560]  昨晚我相信很多人都很興奮 也很晚睡覺
[00:00:08.560 --> 00:00:12.800]  不知道有沒有人是通宵喝完早茶才回來崇拜的
[00:00:12.800 --> 00:00:16.720]  為了昨天我們有機會去兩個的商場
[00:00:16.720 --> 00:00:20.400]  有報道的時間 實在獻上感恩
[00:00:20.400 --> 00:00:22.900]  上帝給我們很大的恩典
[00:00:22.900 --> 00:00:27.060]  也都歡迎今天參加主日崇拜的人
[00:00:27.060 --> 00:00:29.360]  剛才在崇拜之前 我站在門口的時候
[00:00:29.360 --> 00:00:31.600]  我看到有很多舊語新詩
[00:00:31.600 --> 00:00:33.460]  有些是第一次來我們教會的
[00:00:33.460 --> 00:00:34.800]  有些是二十年沒有回來
[00:00:34.800 --> 00:00:37.360]  我們以前出現的時候是初級少年團契
[00:00:37.360 --> 00:00:38.760]  現在我們是NBA的
[00:00:38.760 --> 00:00:40.200]  今天突然間在我們當中
[00:00:40.200 --> 00:00:41.720]  有些是從外國回來的等等
[00:00:41.720 --> 00:00:45.160]  為了我們能夠這樣去敬拜神 去感謝主
[00:00:45.160 --> 00:00:49.360]  在今天崇拜裡面
[00:00:49.360 --> 00:00:53.160]  我想和大家思想 耳窗下書這段信息
[00:00:53.160 --> 00:00:55.320]  《一節聖經》特別是第六節
[00:00:55.320 --> 00:00:56.440]  是大家很熟悉的
[00:00:56.440 --> 00:00:58.160]  「有鷹鞋為我門生」
[00:00:58.160 --> 00:01:01.520]  然後那裡說「祂的名稱為奇妙策士
[00:01:01.520 --> 00:01:05.160]  全能的神 永在的父 和平之君」
[00:01:05.160 --> 00:01:08.000]  這篇聖經經常在很多聖誕卡
[00:01:08.000 --> 00:01:13.600]  或者很多祝賀聖誕的一些文章裡面
[00:01:13.600 --> 00:01:15.360]  都看到這篇聖經出現的
[00:01:15.360 --> 00:01:18.300]  不過這篇聖經 我覺得最好的理解
[00:01:18.300 --> 00:01:21.040]  也都回到解經的最基本的原則
[00:01:21.040 --> 00:01:23.080]  就是上下文 如何理解
[00:01:23.080 --> 00:01:25.440]  在什麼情況之下講出
[00:01:25.440 --> 00:01:27.000]  耳窗下書第九章第六節的
[00:01:27.000 --> 00:01:29.720]  我想和大家看看幾張投影片
[00:01:29.720 --> 00:01:34.440]  我剛剛在星期天去尖東拍了一張這樣的照片
[00:01:34.440 --> 00:01:38.080]  這個就是很多人聖誕節的時候想起這些
[00:01:38.080 --> 00:01:39.980]  其實這個我也想不到
[00:01:39.980 --> 00:01:45.640]  和聖經裡面講的聖誕的意思有什麼關係
[00:01:45.640 --> 00:01:49.320]  不過除了這張投影片之外
[00:01:49.320 --> 00:01:52.600]  大家認不認得這裡是哪裡?
[00:01:52.600 --> 00:01:56.200]  不要再看下去了 這裡是哪裡?
[00:01:56.200 --> 00:01:57.480]  這麼厲害的 大家
[00:01:57.480 --> 00:02:03.280]  就是新濤江商溪街九號商業中心的地下大堂
[00:02:03.280 --> 00:02:06.320]  有一個非常漂亮的地方 大家覺得漂亮嗎?
[00:02:06.320 --> 00:02:08.880]  不過不知道大家有沒有走進去那間屋子裡看看呢?
[00:02:08.880 --> 00:02:10.280]  好 我現在給大家看一下
[00:02:10.280 --> 00:02:11.760]  那間屋子裡是這樣的
[00:02:11.760 --> 00:02:13.560]  有很多很漂亮的東西
[00:02:13.560 --> 00:02:15.880]  不過沒有馬槽的
[00:02:15.880 --> 00:02:19.440]  有很多很… 都說了沒有出示
[00:02:19.440 --> 00:02:23.160]  有很多很漂亮的聖誕裝飾品
[00:02:23.160 --> 00:02:26.000]  但是其實你再想一想
[00:02:26.000 --> 00:02:27.280]  沒有了聖嬰
