
[00:00:00.000 --> 00:00:03.200]  大家好 很多新人來
[00:00:03.200 --> 00:00:07.000]  我相信你都沒有什麼損失
[00:00:07.000 --> 00:00:10.600]  我有機會溫習一下上一次的事情
[00:00:10.600 --> 00:00:13.000]  這次我坐在這裡的時候
[00:00:13.000 --> 00:00:17.600]  我在想為什麼你們不搞一個爸媽四十五十時呢
[00:00:17.600 --> 00:00:21.600]  因為你的子女不太了解你
[00:00:21.600 --> 00:00:26.800]  如果你經常都在想怎樣了解他
[00:00:26.800 --> 00:00:28.800]  很單方面
[00:00:28.800 --> 00:00:30.800]  所以有時莫名其妙
[00:00:30.800 --> 00:00:32.800]  為什麼我這樣說呢
[00:00:32.800 --> 00:00:37.800]  我相信大家很多基督徒或者沒有去教會都聽過一件事
[00:00:37.800 --> 00:00:41.800]  耶穌十二歲去聖殿
[00:00:41.800 --> 00:00:43.800]  你知不知道發生什麼事呢
[00:00:43.800 --> 00:00:50.800]  然後他就留在那裡和聖殿的教師討論
[00:00:50.800 --> 00:00:56.800]  最後他的父母走了一段時間
[00:00:56.800 --> 00:00:59.800]  一天左右就發現他兒子不見了
[00:00:59.800 --> 00:01:02.800]  回頭去找他們
[00:01:02.800 --> 00:01:07.800]  經過了三天就找到耶穌原來坐在一群大人
[00:01:07.800 --> 00:01:12.800]  圍著大人一邊聽一邊問 聊天
[00:01:12.800 --> 00:01:14.800]  最後發生什麼事呢
[00:01:14.800 --> 00:01:16.800]  我拿了這個案件
[00:01:16.800 --> 00:01:18.800]  這個情況拿到聖經
[00:01:18.800 --> 00:01:23.800]  在理工大學和社工的教授分享兒童心理學
[00:01:23.800 --> 00:01:26.800]  我說你有沒有想到呢
[00:01:26.800 --> 00:01:29.800]  香港如果你不見了兒子
[00:01:29.800 --> 00:01:31.800]  你猜香港的父母會怎樣呢
[00:01:31.800 --> 00:01:34.800]  當然報警是其中一種
[00:01:34.800 --> 00:01:38.800]  但是一定會很生氣
[00:01:38.800 --> 00:01:41.800]  特別是當兒子還說什麼
[00:01:41.800 --> 00:01:47.800]  你知不知道我應該用天父的事
[00:01:47.800 --> 00:01:51.800]  為我最重要的事呢
[00:01:51.800 --> 00:01:53.800]  聖經怎麼記載呢
[00:01:53.800 --> 00:01:56.800]  路加福音2:50說
[00:01:56.800 --> 00:01:59.800]  他們不明白
[00:01:59.800 --> 00:02:01.800]  就是說耶穌說完這句話
[00:02:01.800 --> 00:02:04.800]  父母不明白他說什麼
[00:02:04.800 --> 00:02:06.800]  他們不明白
[00:02:06.800 --> 00:02:09.800]  如果香港的家長
[00:02:09.800 --> 00:02:12.800]  兒子說了一堆話你不明白
[00:02:12.800 --> 00:02:14.800]  你會跟著你怎樣呢
[00:02:14.800 --> 00:02:18.800]  不是罵自己可能是罵對方
[00:02:18.800 --> 00:02:22.800]  但是第51怎麼說呢
[00:02:22.800 --> 00:02:26.800]  就是耶穌知道父母不明白
[00:02:26.800 --> 00:02:28.800]  他跟他回家
[00:02:28.800 --> 00:02:31.800]  並且馴服他們
[00:02:31.800 --> 00:02:34.800]  下半句就說他媽媽
[00:02:34.800 --> 00:02:38.800]  他媽媽把這件事放在心裡再想
[00:02:38.800 --> 00:02:42.800]  其實整個兒童心理輔導的精華
[00:02:42.800 --> 00:02:44.800]  就在這兩句話裡
[00:02:44.800 --> 00:02:47.800]  就是說究竟我們
[00:02:47.800 --> 00:02:49.800]  明白我們的子女
[00:02:49.800 --> 00:02:51.800]  和我們的子女明白我們
[00:02:51.800 --> 00:02:54.800]  一定是一段距離
[00:02:54.800 --> 00:02:57.800]  無論你說他天真還是傻
[00:02:57.800 --> 00:03:00.800]  還是他說你的事是心奧
[00:03:00.800 --> 00:03:04.800]  還是不明白孩子的內心也好
[00:03:04.800 --> 00:03:07.800]  兩邊都有不明白這個字會出現
[00:03:07.800 --> 00:03:09.800]  不明白然後怎樣呢
[00:03:09.800 --> 00:03:11.800]  是不是發生憤怒
[00:03:11.800 --> 00:03:13.800]  還是說氣對方
[00:03:13.800 --> 00:03:15.800]  還是責怪對方蠢呢
[00:03:15.800 --> 00:03:17.800]  不是 全部都不是
[00:03:17.800 --> 00:03:21.800]  約瑟沒有在這段經文出現
[00:03:21.800 --> 00:03:23.800]  只是說他們兩字
[00:03:23.800 --> 00:03:26.800]  但是和耶穌對話的是他媽媽
[00:03:26.800 --> 00:03:28.800]  他媽媽說你知不知道
[00:03:28.800 --> 00:03:30.800]  你爸爸和我很傷心找你
[00:03:30.800 --> 00:03:32.800]  真的媽媽是激動一點
[00:03:32.800 --> 00:03:34.800]  不見兒子
[00:03:34.800 --> 00:03:36.800]  但是無論怎樣也好
[00:03:36.800 --> 00:03:38.800]  耶穌怎樣做呢
[00:03:38.800 --> 00:03:40.800]  就是對這個不明白的父母
[00:03:40.800 --> 00:03:42.800]  去順從他們回家
[00:03:42.800 --> 00:03:43.800]  和很聽話
[00:03:43.800 --> 00:03:45.800]  他們再沒有爭論這件事
[00:03:45.800 --> 00:03:48.800]  不過媽媽不明白就放在心裡
[00:03:48.800 --> 00:03:51.800]  遲都在想究竟什麼事呢
[00:03:51.800 --> 00:03:53.800]  這個就是現在
[00:03:53.800 --> 00:03:56.800]  心學界說的一個新的能力
[00:03:56.800 --> 00:03:58.800]  叫做wait power
[00:03:58.800 --> 00:04:00.800]  就是等待的能力
[00:04:00.800 --> 00:04:02.800]  就是說世界上太多事我們不明白
[00:04:02.800 --> 00:04:04.800]  為什麼家裡有人患病
[00:04:04.800 --> 00:04:06.800]  為什麼那個人這麼早死
[00:04:06.800 --> 00:04:08.800]  為什麼生了一個小孩是弱智
[00:04:08.800 --> 00:04:10.800]  很多事都不明白
[00:04:10.800 --> 00:04:12.800]  如果你沒有這個wait power
[00:04:12.800 --> 00:04:15.800]  你會不耐煩地度過一生
[00:04:15.800 --> 00:04:17.800]  你會失眠
[00:04:17.800 --> 00:04:19.800]  你會問盡很多答案都不滿足
[00:04:19.800 --> 00:04:22.800]  於是你就會一輩子都怨天怨地
[00:04:22.800 --> 00:04:25.800]  覺得為什麼我會有這樣的遭遇
[00:04:25.800 --> 00:04:28.800]  為什麼我家裡和別人家裡差這麼遠
[00:04:28.800 --> 00:04:30.800]  為什麼為什麼
[00:04:30.800 --> 00:04:33.800]  但是wait power的人好像仍然繼續生活
[00:04:33.800 --> 00:04:35.800]  雖然很多事都不明白
[00:04:35.800 --> 00:04:39.800]  但是不明白不等於是一件患難
[00:04:39.800 --> 00:04:41.800]  根本上我們生活
[00:04:41.800 --> 00:04:43.800]  不明白的事是多於明白的事
[00:04:43.800 --> 00:04:47.800]  你在圖書館不懂的知識
[00:04:47.800 --> 00:04:49.800]  是多於懂的知識
[00:04:49.800 --> 00:04:52.800]  所以我們不知道是正常的
[00:04:52.800 --> 00:04:54.800]  我們不知道根本是多於知道的
[00:04:54.800 --> 00:04:56.800]  很多幾百萬倍
[00:04:56.800 --> 00:04:58.800]  所以有什麼問題呢
[00:04:58.800 --> 00:05:00.800]  其實沒有問題
[00:05:00.800 --> 00:05:02.800]  只不過我們覺得自己應該知道
[00:05:02.800 --> 00:05:04.800]  但是上帝不讓你知道
[00:05:04.800 --> 00:05:06.800]  是為你好處的
