
[00:00:00.000 --> 00:00:08.440]  我想問哪些朋友弟兄姐妹和我一樣是第一次參加崇拜的
[00:00:08.440 --> 00:00:09.400]  舉手吧
[00:00:09.400 --> 00:00:11.600]  給他們掌聲
[00:00:11.600 --> 00:00:14.880]  很開心見到你們
[00:00:14.880 --> 00:00:16.880]  當我走出來的時候
[00:00:16.880 --> 00:00:21.120]  我想起我去聖地耶路撒冷的時候
[00:00:21.120 --> 00:00:29.280]  他帶我去到耶穌有機會在草地裡面和人分享
[00:00:29.280 --> 00:00:31.280]  就是剛才大家選的經文
[00:00:31.280 --> 00:00:33.840]  現在大家一層一層地
[00:00:33.840 --> 00:00:35.840]  有小朋友在
[00:00:35.840 --> 00:00:37.840]  我一會就要抱你了
[00:00:37.840 --> 00:00:39.840]  根據聖經的教導
[00:00:39.840 --> 00:00:42.840]  要我們所有人像小朋友一樣
[00:00:42.840 --> 00:00:44.840]  不要禁止他
[00:00:44.840 --> 00:00:47.840]  很開心今天有機會和大家分享
[00:00:47.840 --> 00:00:51.240]  我這幾個月發生的事情
[00:00:51.240 --> 00:00:55.040]  其實在幾個月前三月的時候
[00:00:55.040 --> 00:00:59.040]  我還在這個場地跟隨阿成和龍牧師
[00:00:59.040 --> 00:01:04.040]  跟隨龍牧師做健身
[00:01:04.040 --> 00:01:06.040]  跟他們學習
[00:01:06.040 --> 00:01:08.040]  其中有一句話說完之後
[00:01:08.040 --> 00:01:10.040]  我也有點不滿
[00:01:10.040 --> 00:01:12.040]  當我和他操練了一個小時
[00:01:12.040 --> 00:01:14.040]  龍牧師在旁邊
[00:01:14.040 --> 00:01:17.040]  阿成說你知道說話的語氣是怎樣的
[00:01:17.040 --> 00:01:19.040]  他說女sir
[00:01:19.040 --> 00:01:21.040]  想不到你也挺fit的
[00:01:21.040 --> 00:01:23.040]  我立刻不開心
[00:01:23.040 --> 00:01:25.040]  龍牧師說
[00:01:25.040 --> 00:01:27.040]  你這樣說是什麼意思
[00:01:27.040 --> 00:01:29.040]  你想象的女sir是怎樣的
[00:01:29.040 --> 00:01:31.040]  我操練完之後
[00:01:31.040 --> 00:01:33.040]  跟著他們兩個
[00:01:33.040 --> 00:01:35.040]  我也發現我真的挺fit的
[00:01:35.040 --> 00:01:37.040]  但想不到幾個月之後
[00:01:37.040 --> 00:01:39.040]  就是上個月發生的事情
[00:01:39.040 --> 00:01:41.040]  我患了癌症
[00:01:41.040 --> 00:01:43.040]  癌症是怎樣的呢
[00:01:43.040 --> 00:01:45.040]  2024年的8月14號
[00:01:45.040 --> 00:01:47.040]  即是什麼時候呢
[00:01:47.040 --> 00:01:49.040]  你立刻提表了
[00:01:49.040 --> 00:01:51.040]  上個月而已
[00:01:51.040 --> 00:01:53.040]  8月14號晚上11點多
[00:01:53.040 --> 00:01:55.040]  我就開始要吊鹽水
[00:01:55.040 --> 00:01:57.040]  吊到第二天
[00:01:57.040 --> 00:01:59.040]  8月15號
[00:01:59.040 --> 00:02:01.040]  我就做了四個多小時的手術
[00:02:01.040 --> 00:02:03.040]  醫生和麻醉師都說
[00:02:03.040 --> 00:02:05.040]  是一個major surgery
[00:02:05.040 --> 00:02:07.040]  因為是超過四個多小時
[00:02:07.040 --> 00:02:09.040]  馬克思
[00:02:09.040 --> 00:02:11.040]  我一會兒也會介紹他
[00:02:11.040 --> 00:02:13.040]  他來探我就拍了這張照片
[00:02:13.040 --> 00:02:15.040]  那時候真的完全沒有力氣
[00:02:15.040 --> 00:02:17.040]  麻醉藥也沒過
[00:02:17.040 --> 00:02:19.040]  要插著呼吸
[00:02:19.040 --> 00:02:21.040]  自己呼吸不夠
[00:02:21.040 --> 00:02:23.040]  不是太好
[00:02:23.040 --> 00:02:25.040]  所有手都綁著
[00:02:25.040 --> 00:02:27.040]  一會兒你會看到
[00:02:27.040 --> 00:02:29.040]  前一晚
[00:02:29.040 --> 00:02:31.040]  8月14號晚上
[00:02:31.040 --> 00:02:33.040]  他用了二十多分鐘
[00:02:33.040 --> 00:02:35.040]  和我講解
[00:02:35.040 --> 00:02:37.040]  我的手術有什麼後遺症
[00:02:37.040 --> 00:02:39.040]  我的手術怎麼做
[00:02:39.040 --> 00:02:41.040]  很感恩
[00:02:41.040 --> 00:02:43.040]  因為他是其中一家教會的執事
[00:02:43.040 --> 00:02:45.040]  所以我邀請這位執事
[00:02:45.040 --> 00:02:47.040]  這位主診醫生
[00:02:47.040 --> 00:02:49.040]  你可不可以幫我祈禱
[00:02:49.040 --> 00:02:51.040]  他用了詩篇
[00:02:51.040 --> 00:02:53.040]  90篇
[00:02:53.040 --> 00:02:55.040]  為我祈禱
[00:02:55.040 --> 00:02:57.040]  祈禱裡面真的很大感到安慰
[00:02:57.040 --> 00:02:59.040]  所以大家千萬不要
[00:02:59.040 --> 00:03:01.040]  覺得
[00:03:01.040 --> 00:03:03.040]  為人祈禱好像很平常
[00:03:03.040 --> 00:03:05.040]  或者很掉以輕心
[00:03:05.040 --> 00:03:07.040]  其實你為人祈禱
[00:03:07.040 --> 00:03:09.040]  你奉主的名
[00:03:09.040 --> 00:03:11.040]  其實真的可以很大能力
[00:03:11.040 --> 00:03:13.040]  那一刻我感到很大安慰
[00:03:13.040 --> 00:03:15.040]  但當他用詩篇90篇
[00:03:15.040 --> 00:03:17.040]  和我祈禱的時候
[00:03:17.040 --> 00:03:19.040]  在整個流院的過程
[00:03:19.040 --> 00:03:21.040]  我一直在思考這節聖經
[00:03:21.040 --> 00:03:23.040]  因為這節聖經
[00:03:23.040 --> 00:03:25.040]  可能回教會很久的你
[00:03:25.040 --> 00:03:27.040]  都很熟悉
[00:03:27.040 --> 00:03:29.040]  求神指教我們如何
[00:03:29.040 --> 00:03:31.040]  數算日子
[00:03:31.040 --> 00:03:33.040]  好叫我們得著智慧的心
[00:03:33.040 --> 00:03:35.040]  多謝施班
[00:03:35.040 --> 00:03:37.040]  今天幫我選了很多詩歌
[00:03:37.040 --> 00:03:39.040]  配合我們一起思考什麼是智慧
[00:03:39.040 --> 00:03:41.040]  但是當我再想這段經文的時候
[00:03:41.040 --> 00:03:43.040]  其實在說什麼
[00:03:43.040 --> 00:03:45.040]  什麼叫數算日子
[00:03:45.040 --> 00:03:47.040]  得到智慧心呢
[00:03:47.040 --> 00:03:49.040]  數算將來的日子
[00:03:49.040 --> 00:03:51.040]  數算現在
[00:03:51.040 --> 00:03:53.040]  數算過去
[00:03:53.040 --> 00:03:55.040]  數算將來的日子
[00:03:55.040 --> 00:03:57.040]  數算過去
[00:03:57.040 --> 00:03:59.040]  我不知道你以前
[00:03:59.040 --> 00:04:01.040]  如何理解這段經文
[00:04:01.040 --> 00:04:03.040]  但當我轉眼的時候
[00:04:03.040 --> 00:04:05.040]  當我完全不知道這段經文
[00:04:05.040 --> 00:04:07.040]  其實說什麼
[00:04:07.040 --> 00:04:09.040]  有人在想究竟什麼時候
[00:04:09.040 --> 00:04:11.040]  摩西寫這篇詩篇
[00:04:11.040 --> 00:04:13.040]  其實如果你有機會看的時候
[00:04:13.040 --> 00:04:15.040]  你會覺得很難過
[00:04:15.040 --> 00:04:17.040]  問神究竟要等到什麼時候呢
[00:04:17.040 --> 00:04:19.040]  又看到很多生離死別
[00:04:19.040 --> 00:04:21.040]  或許如果你看文數記的時候
[00:04:21.040 --> 00:04:23.040]  在只是20章
[00:04:23.040 --> 00:04:25.040]  已經看到摩西經歷了
[00:04:25.040 --> 00:04:27.040]  兩個很親的親人離世
[00:04:27.040 --> 00:04:29.040]  其中一個就是米利安
[00:04:29.040 --> 00:04:31.040]  米利安是他姐姐
[00:04:31.040 --> 00:04:33.040]  他離世
[00:04:33.040 --> 00:04:35.040]  然後你再看
[00:04:35.040 --> 00:04:37.040]  就是在那章的尾
