
[00:00:00.000 --> 00:00:07.000]  各位同僚 請大家一起和心低頭度過
[00:00:07.000 --> 00:00:20.000]  多謝你讓我們在創造的裏面看到上帝的興與衰
[00:00:20.000 --> 00:00:30.000]  讓我們體會到在人生當中有一個循環
[00:00:30.000 --> 00:00:40.000]  而這個循環是讓我們更加緊貼上帝的創造心思意念
[00:00:40.000 --> 00:00:48.000]  因此我們不單止為了在春天裏得到生機活潑的一個環境
[00:00:48.000 --> 00:00:54.000]  在夏天我們感受到上帝所賜的溫暖陽光
[00:00:54.000 --> 00:01:04.000]  也讓我們在秋天享受到上帝在色彩斑斕的叢林裏的創造奇妙
[00:01:04.000 --> 00:01:13.000]  也讓我們在冬天裏體會到上帝在安息的日子當中
[00:01:13.000 --> 00:01:18.000]  讓我們能夠帶著感恩求你的幫助大靈
[00:01:18.000 --> 00:01:21.000]  讓我們在聆聽你的說話裏面
[00:01:21.000 --> 00:01:26.000]  同樣好像四季裏面我們在主理的經歷當中
[00:01:26.000 --> 00:01:30.000]  讓我們能夠體驗到上帝的心思意念
[00:01:30.000 --> 00:01:36.000]  讓我們能夠學會怎樣遷就在上主的大靈當中
[00:01:36.000 --> 00:01:39.000]  你的心意怎樣得而成全
[00:01:39.000 --> 00:01:46.000]  讓我們能夠在創造裏面成為一個管治者
[00:01:46.000 --> 00:01:49.000]  我們再次獻上感恩
[00:01:49.000 --> 00:01:55.000]  但願在地上每一個屬神的政權都在上主的掌握當中
[00:01:55.000 --> 00:01:58.000]  好像我們在主理裏面
[00:01:58.000 --> 00:02:01.000]  同心的禱告奉靠主耶穌基督得勝的名字
[00:02:01.000 --> 00:02:03.000]  阿們
[00:02:04.000 --> 00:02:10.000]  在我自己信了主的三十多年的日子裏面
[00:02:10.000 --> 00:02:19.000]  其實眼見過很多回教會又不回教會的信徒或教徒
[00:02:19.000 --> 00:02:21.000]  不知道你有沒有遇過
[00:02:21.000 --> 00:02:25.000]  有沒有一些是和你特別熟悉的
[00:02:25.000 --> 00:02:28.000]  但是你怎樣叫他回教會也好
[00:02:28.000 --> 00:02:31.000]  怎樣提醒他回教會也好
[00:02:31.000 --> 00:02:37.000]  甚至希望邀請他和其他信徒有多些交往
[00:02:37.000 --> 00:02:42.000]  但他拒絕的時候不知道你的心是怎樣想的
