
[00:00:00.000 --> 00:00:07.480]  好 大家早安 今天我的聲音很磁性
[00:00:07.480 --> 00:00:12.480]  希望盡快講完
[00:00:12.480 --> 00:00:19.000]  無論如何 上主的話都有本身的意義
[00:00:19.000 --> 00:00:22.480]  讓我們再次回到上主的面前
[00:00:22.480 --> 00:00:29.880]  一起對上主的尋求不絕的追求和認識
[00:00:29.880 --> 00:00:34.880]  一起聆聽主導意先 一起和心低頭禱告
[00:00:34.880 --> 00:00:40.880]  父神多謝祢讓我們再次回到祢的說話面前學習
[00:00:40.880 --> 00:00:42.880]  求祢的聖靈幫助我們
[00:00:42.880 --> 00:00:48.880]  讓每一個在祢的真理裏面都能得以造就
[00:00:48.880 --> 00:00:51.880]  讓我們在祢的體試過後
[00:00:51.880 --> 00:00:55.880]  不是徒然聽在我們的腦海耳朵當中
[00:00:55.880 --> 00:01:00.880]  而是能夠在實際的生活裏面活出
[00:01:00.880 --> 00:01:02.880]  求祢的幫助大靈
[00:01:02.880 --> 00:01:06.880]  禱告奉靠主耶穌基督得勝的名字而求 阿們
[00:01:06.880 --> 00:01:10.880]  當如果你參加一場比賽
[00:01:10.880 --> 00:01:16.880]  而這場比賽你處於一種非常不利的情況
[00:01:16.880 --> 00:01:18.880]  不知道你是怎樣處理呢
[00:01:18.880 --> 00:01:22.880]  或者你的心態是怎樣預備好呢
[00:01:22.880 --> 00:01:26.880]  剛剛這個星期開始的就是
[00:01:26.880 --> 00:01:31.880]  法國的巴黎2024年的奧運會
[00:01:31.880 --> 00:01:37.880]  有很多的情況我們都可以看到運動員在很不利的情況之下
[00:01:37.880 --> 00:01:39.880]  沒有放棄
[00:01:39.880 --> 00:01:44.880]  而且他們反而在極度落後的情況之下
[00:01:44.880 --> 00:01:48.880]  都仍然是努力地去增盛
[00:01:48.880 --> 00:01:51.880]  並且能夠反撲成功
[00:01:51.880 --> 00:01:56.880]  早一個多星期前我們也有看過歐洲國家盃
[00:01:56.880 --> 00:02:01.880]  我也有看過這場比賽
[00:02:01.880 --> 00:02:07.880]  即使當時英格蘭隊怎樣落後都好
[00:02:07.880 --> 00:02:10.880]  一球仍然反撲
[00:02:10.880 --> 00:02:14.880]  而且射出一球非常漂亮的一腳
[00:02:14.880 --> 00:02:17.880]  雖然最後他們輸了
[00:02:17.880 --> 00:02:19.880]  我可以這樣說
[00:02:19.880 --> 00:02:21.880]  輸得真是心服口服
[00:02:21.880 --> 00:02:25.880]  人家的技術真的比自己的隊伍好
[00:02:25.880 --> 00:02:28.880]  但同樣看到運動員的特色
[00:02:28.880 --> 00:02:31.880]  就是不會放棄
[00:02:31.880 --> 00:02:35.880]  來到今天我們去看馬太福音第24章
[00:02:35.880 --> 00:02:39.880]  我們會專注看第9至14節
[00:02:39.880 --> 00:02:43.880]  亦是我的廣告題目
[00:02:43.880 --> 00:02:48.880]  一直持守不被見的屬靈子民的下半部
[00:02:48.880 --> 00:02:52.880]  在這個部分我們會再次看看
[00:02:52.880 --> 00:02:54.880]  我們作為一個信徒
[00:02:54.880 --> 00:02:56.880]  今天活在這個世界的上面
[00:02:56.880 --> 00:02:59.880]  我們遇著的景況
[00:02:59.880 --> 00:03:02.880]  其實看起來好像很不利
[00:03:02.880 --> 00:03:06.880]  公義好像被抹殺
[00:03:06.880 --> 00:03:10.880]  不義的事越顯增多
[00:03:10.880 --> 00:03:13.880]  並且成為主流
[00:03:13.880 --> 00:03:16.880]  我們作為信徒在這樣的情況下
[00:03:16.880 --> 00:03:19.880]  我們帶著怎樣的心態處理呢?
[00:03:19.880 --> 00:03:23.880]  還是在這個時候我們更加容易被人牽動
[00:03:23.880 --> 00:03:26.880]  而走在面前的路呢?
[00:03:26.880 --> 00:03:29.880]  這就是今天我們一起去看經文的目的
[00:03:29.880 --> 00:03:33.880]  在上文其實我們已經說過
[00:03:33.880 --> 00:03:38.880]  縱使馬太來到聖經記載主耶穌基督
[00:03:38.880 --> 00:03:42.880]  談論到末世的景況
[00:03:42.880 --> 00:03:48.880]  其實仍然針對的不是末世景象是什麼
[00:03:48.880 --> 00:03:51.880]  末世是何時出現
[00:03:51.880 --> 00:03:54.880]  而是信徒在末世的時候
[00:03:54.880 --> 00:03:57.880]  應該怎樣去面對
[00:03:57.880 --> 00:04:01.880]  尤其是一個很重要的危機
[00:04:01.880 --> 00:04:04.880]  就是被迷惑
[00:04:04.880 --> 00:04:08.880]  這個字眼多次出現在
[00:04:08.880 --> 00:04:14.880]  之前的從第三節至第八節的經文
[00:04:14.880 --> 00:04:17.880]  來到第九至十四節
[00:04:17.880 --> 00:04:24.880]  也同樣提及到欺騙、欺控這個題目
[00:04:24.880 --> 00:04:27.880]  不過在這段經文裡
[00:04:27.880 --> 00:04:32.880]  再加多了一個很重要的元素
[00:04:32.880 --> 00:04:34.880]  就是很多
[00:04:34.880 --> 00:04:37.880]  POLOIL這個字眼
[00:04:37.880 --> 00:04:41.880]  POLOIL這個字眼在大家的崇拜程序表裡
[00:04:41.880 --> 00:04:45.880]  也有寫下很多人
[00:04:45.880 --> 00:04:49.880]  意思就是說有一些主流
[00:04:49.880 --> 00:04:57.880]  這些主流一起參與在欺控的事情上
[00:04:57.880 --> 00:05:00.880]  我們就看看在這樣的情況下
[00:05:00.880 --> 00:05:03.880]  信徒是怎樣去面對
[00:05:03.880 --> 00:05:07.880]  我們要解釋第九至十四節的經文
[00:05:07.880 --> 00:05:10.880]  我們必須要有一些很基本的理解
[00:05:10.880 --> 00:05:14.880]  其中一個我們不可不或缺的就是
[00:05:14.880 --> 00:05:18.880]  馬太福音第五章第十至十二節裡
[00:05:18.880 --> 00:05:21.880]  談論到罷福的時候
[00:05:21.880 --> 00:05:24.880]  蒙福的人的表現
[00:05:24.880 --> 00:05:26.880]  如果有機會我們再回去
[00:05:26.880 --> 00:05:31.880]  馬太福音第五章第十至十二節
[00:05:31.880 --> 00:05:33.880]  我們也打開讀一下好不好
[00:05:33.880 --> 00:05:35.880]  看看這裡所談論到的
[00:05:35.880 --> 00:05:41.880]  這個關乎於受逼迫的人的現象是怎樣
[00:05:41.880 --> 00:05:45.880]  我們一起打開讀一下第五章第十至十二節
[00:05:45.880 --> 00:05:47.880]  一起找到就一起讀
[00:05:47.880 --> 00:05:50.880]  惟以受逼迫的人有福了
[00:05:50.880 --> 00:05:53.880]  因為天國是他們的
[00:05:53.880 --> 00:05:56.880]  若若因我的辱罵你們
[00:05:56.880 --> 00:05:57.880]  逼迫你們
[00:05:57.880 --> 00:06:00.880]  捏造各樣壞話誹謗你們
[00:06:00.880 --> 00:06:02.880]  你們就有福了
[00:06:02.880 --> 00:06:05.880]  應當歡喜快樂
[00:06:05.880 --> 00:06:09.880]  因為你們在天上的賞賜是大的
[00:06:09.880 --> 00:06:11.880]  在你們以前的先知
[00:06:11.880 --> 00:06:14.880]  也是這樣逼迫他們
