
[00:00:00.000 --> 00:00:09.200]  有一個小孩子參加了教會聖誕崇拜
[00:00:09.200 --> 00:00:12.520]  他參加完之後回到家裏
[00:00:12.520 --> 00:00:14.000]  家長很自然地問他
[00:00:14.000 --> 00:00:15.640]  「你今天回到教會怎樣?」
[00:00:15.640 --> 00:00:19.200]  小孩子很天真、很坦誠地說
[00:00:19.200 --> 00:00:22.400]  「今天崇拜很好,有很豐富的節目
[00:00:22.400 --> 00:00:24.000]  我也覺得很開心」
[00:00:24.000 --> 00:00:25.800]  接著他加了一句
[00:00:25.800 --> 00:00:28.520]  「我也希望耶穌在我們當中」
[00:00:28.520 --> 00:00:33.640]  我不知道你有沒有類似的想法
[00:00:33.640 --> 00:00:38.120]  其實很可能當我們慶祝崇拜的時候
[00:00:38.120 --> 00:00:42.280]  慶祝救主降生聖誕節的崇拜裏面
[00:00:42.280 --> 00:00:46.120]  可能真正的主角有機會不在我們當中
[00:00:46.120 --> 00:00:49.240]  今天我想改變一下我平時講道的習慣
[00:00:49.240 --> 00:00:50.840]  平時講道我多數集中在經文
[00:00:50.840 --> 00:00:51.760]  所謂解經式的講道
[00:00:51.760 --> 00:00:55.000]  今天我想從一個比較專題的
[00:00:55.000 --> 00:00:56.680]  或者綜合了來講道
[00:00:56.680 --> 00:01:01.440]  我們經常看聖誕節那幾段聖經
[00:01:01.440 --> 00:01:02.880]  我今天想大家留意的地方
[00:01:02.880 --> 00:01:05.040]  就是我們比較少留意的經文
[00:01:05.040 --> 00:01:08.040]  就是聖誕節記載耶穌出生的時候
[00:01:08.040 --> 00:01:10.840]  當時在耶穌出生的時候
[00:01:10.840 --> 00:01:13.160]  大約距離二千多年的時間
[00:01:13.160 --> 00:01:15.080]  那些人聽見耶穌出生的時候
[00:01:15.080 --> 00:01:16.760]  有些什麼反應呢?
[00:01:16.760 --> 00:01:17.960]  以致我們看看
[00:01:17.960 --> 00:01:19.480]  今天我們敬拜上帝
[00:01:19.480 --> 00:01:21.040]  慶祝耶穌降生的時間
[00:01:21.040 --> 00:01:23.200]  我們應該怎樣反應呢?
[00:01:23.200 --> 00:01:25.720]  我試試看幾段經文
[00:01:25.720 --> 00:01:27.960]  當聖經記載
[00:01:27.960 --> 00:01:30.640]  那些人聽見耶穌出生的時間反應
[00:01:30.640 --> 00:01:32.360]  原來有正面的
[00:01:32.360 --> 00:01:33.320]  也有反面的
[00:01:33.320 --> 00:01:35.800]  有開心的
[00:01:35.800 --> 00:01:37.480]  也有拒絕的
[00:01:37.480 --> 00:01:39.160]  我們先看正面的幾個例子
[00:01:39.160 --> 00:01:41.160]  第一段聖經
[00:01:41.160 --> 00:01:42.280]  我們很熟悉的
[00:01:42.280 --> 00:01:45.560]  耶穌育身的媽媽瑪利亞
[00:01:45.560 --> 00:01:46.680]  耶穌是上帝
[00:01:46.680 --> 00:01:49.400]  祂揀選瑪利亞
[00:01:49.400 --> 00:01:50.680]  從祂而出
[00:01:50.680 --> 00:01:52.240]  變成由祂開始的時間
[00:01:52.240 --> 00:01:54.080]  是一個完完全全的人
[00:01:54.080 --> 00:01:58.480]  但同時也是完全從天而來的上帝
[00:01:58.480 --> 00:02:01.040]  瑪利亞最早知道耶穌降生
[00:02:01.040 --> 00:02:04.240]  所以當天使跟她說
[00:02:04.240 --> 00:02:06.160]  耶穌出生的消息的時間
[00:02:06.160 --> 00:02:09.040]  祂說至高者的能力要任避你
[00:02:09.040 --> 00:02:12.000]  然後你所生的是聖者
[00:02:12.000 --> 00:02:14.080]  祂從這個角度說的時間
[00:02:14.080 --> 00:02:16.440]  瑪利亞當時的回應是怎樣的呢?
[00:02:16.440 --> 00:02:17.600]  我們看兩段聖經
[00:02:17.600 --> 00:02:20.320]  《穆勒加福音》第一章第38節
[00:02:20.320 --> 00:02:23.560]  然後我們看第46節
[00:02:23.560 --> 00:02:25.120]  我們一起讀這兩段聖經
[00:02:25.120 --> 00:02:26.520]  一起讀出
[00:02:26.520 --> 00:02:29.760]  「瑪利亞說:我是主的侍女
[00:02:29.760 --> 00:02:31.360]  情願照你的話
[00:02:31.360 --> 00:02:33.240]  成就在我身上
[00:02:33.240 --> 00:02:35.920]  天使就離開她去了
[00:02:35.920 --> 00:02:39.520]  瑪利亞說:我心尊主為大」
[00:02:39.520 --> 00:02:40.680]  其實下面還有一句
[00:02:40.680 --> 00:02:43.800]  「我令以臣我的救主為樂」
[00:02:43.800 --> 00:02:46.680]  瑪利亞是一個未出嫁的女子
[00:02:46.680 --> 00:02:48.040]  一個年輕的女子
[00:02:48.040 --> 00:02:49.280]  上帝揀選她
[00:02:49.280 --> 00:02:50.600]  由她而出
[00:02:50.600 --> 00:02:54.600]  由瑪利亞的身體而出生
[00:02:54.600 --> 00:02:57.200]  在二千年前的社會
[00:02:57.200 --> 00:02:58.120]  一個保守的社會
[00:02:58.120 --> 00:03:00.120]  一個未婚的女子
[00:03:00.120 --> 00:03:03.200]  她要這樣背負這個罪名
[00:03:03.200 --> 00:03:04.960]  是一個相當沉重的罪名
[00:03:04.960 --> 00:03:06.600]  但瑪利亞當時的反應就是
[00:03:06.600 --> 00:03:09.240]  「我願意照著主的話
