
[00:00:00.000 --> 00:00:10.000]  在農曆新年,中國人通常有一句說話叫做
[00:00:10.000 --> 00:00:15.000]  年關好難過,不過都要年年過
[00:00:15.000 --> 00:00:22.000]  特別我父親其實是做傳統中國人的生意
[00:00:22.000 --> 00:00:31.000]  傳統中國人的生意,通常會在最後收了舖子之後
[00:00:31.000 --> 00:00:35.000]  收了業之後,就會一起吃團年飯
[00:00:35.000 --> 00:00:37.000]  全部員工一起吃的
[00:00:37.000 --> 00:00:42.000]  然後開年的時候,也會一起吃一頓飯
[00:00:42.000 --> 00:00:50.000]  我們家裡只是小生意,沒有這麼多員工
[00:00:50.000 --> 00:01:00.000]  通常很多大傳統店舖都會有一個儀式
[00:01:00.000 --> 00:01:06.000]  有一句說話叫做吃無情雞
[00:01:06.000 --> 00:01:09.000]  大家知不知道什麼叫無情雞
[00:01:09.000 --> 00:01:14.000]  原來每逢收市之後吃的團年飯
[00:01:14.000 --> 00:01:23.000]  也可以說是你下一年繼續在這間公司或店舖工作的一個很重要的指標
[00:01:23.000 --> 00:01:31.000]  如果在團年飯的時候老闆拿著一盤雞
[00:01:31.000 --> 00:01:34.000]  雞頭對著你的話
[00:01:34.000 --> 00:01:39.000]  他會通知你坐下來聊天
[00:01:39.000 --> 00:01:45.000]  然後跟你說下年不用了,多謝你多年的服務
[00:01:45.000 --> 00:01:50.000]  如果老闆今年不炒人的話
[00:01:50.000 --> 00:01:54.000]  雞頭就不會指向任何一個人
[00:01:54.000 --> 00:02:02.000]  為什麼中國人或華人的生活會有這樣的傳統呢?我不知道
[00:02:02.000 --> 00:02:11.000]  我想做法是比較委婉一點,不想炒人
[00:02:11.000 --> 00:02:15.000]  不過就引發了一個考慮的問題
[00:02:15.000 --> 00:02:21.000]  今天我們經常說要找工作
[00:02:21.000 --> 00:02:24.000]  我曾經跟一些朋友同事說過
[00:02:24.000 --> 00:02:29.000]  他們問我有沒有找工作
[00:02:29.000 --> 00:02:34.000]  我說找工作是我一生的工作一部分
[00:02:34.000 --> 00:02:39.000]  其實我相信每個人都有找工作的意願
[00:02:39.000 --> 00:02:43.000]  就算你現在沒有工作也會去找工作
[00:02:43.000 --> 00:02:47.000]  我想問一下,如果在找工作的過程中
[00:02:47.000 --> 00:02:52.000]  你寧願去找一份工作是高薪厚職的
[00:02:52.000 --> 00:02:58.000]  還是你找一份工作,可能未必是高薪厚職
[00:02:58.000 --> 00:03:02.000]  但你想找一個好老闆
[00:03:02.000 --> 00:03:06.000]  能夠跟他一起做呢?你想選擇哪一樣呢?
[00:03:06.000 --> 00:03:10.000]  我當然知道大家有不同的答案
[00:03:10.000 --> 00:03:14.000]  不是代表哪個答案才對,哪個是錯
[00:03:14.000 --> 00:03:19.000]  不過我曾經認識不少在家中
[00:03:19.000 --> 00:03:25.000]  或是我爸爸的行家,甚至在我以前工作的地方
