
[00:00:00.000 --> 00:00:02.000]  (中文字幕:Sarah)
[00:00:02.960 --> 00:00:06.320]  羅馬書的五章十二至二十一節
[00:00:06.320 --> 00:00:10.560]  我們來到羅馬書第五章下半章的部分
[00:00:10.560 --> 00:00:14.400]  上次跟大家講了羅馬書的第五章頭
[00:00:14.400 --> 00:00:19.360]  講到一個信徒有七個不夠的確據
[00:00:19.360 --> 00:00:21.520]  現在去到第五章的尾部
[00:00:21.520 --> 00:00:23.360]  保羅又要解釋一些事情
[00:00:23.360 --> 00:00:27.680]  保羅說每個信徒都是因信稱義
[00:00:27.680 --> 00:00:30.240]  接受耶穌基督成為義人
[00:00:30.560 --> 00:00:34.000]  但耶穌基督怎能夠一個人救贖那麼多人
[00:00:34.000 --> 00:00:38.560]  我們為何每個人生出來就是一個罪人
[00:00:38.560 --> 00:00:40.560]  需要耶穌基督來救贖
[00:00:40.560 --> 00:00:44.320]  所以保羅在這個部分來解釋這一切
[00:00:44.320 --> 00:00:47.040]  我給他今天的題目做
[00:00:47.040 --> 00:00:50.160]  在亞當裡死 耶穌裡生
[00:00:50.160 --> 00:00:53.280]  亞當使眾人都死
[00:00:53.280 --> 00:00:56.720]  但耶穌基督給我們每一個接受祂的人
[00:00:56.720 --> 00:00:59.920]  都有機會得到永生的盼望
[00:01:00.800 --> 00:01:02.320]  一些背景
[00:01:02.320 --> 00:01:06.560]  保羅在羅馬書的一章到三章的頭
[00:01:06.560 --> 00:01:10.640]  講出罪人的罪和失喪
[00:01:10.640 --> 00:01:14.400]  然後在第三章的尾至第五章的頭
[00:01:14.400 --> 00:01:19.680]  講出了耶穌基督如何扭轉了人類的命運
[00:01:19.680 --> 00:01:24.560]  所有人藉著耶穌基督在十字架上所成就的
[00:01:24.560 --> 00:01:26.880]  都能夠去到神的面前
[00:01:26.880 --> 00:01:29.360]  憑著信心接受耶穌基督
[00:01:29.360 --> 00:01:32.960]  以至被神稱為一個義人能夠得救
[00:01:32.960 --> 00:01:37.360]  但是有很多猶太人在羅馬的教會
[00:01:37.360 --> 00:01:39.120]  可能他們就會問
[00:01:39.120 --> 00:01:43.760]  耶穌基督一個人怎麼救這麼多人
[00:01:43.760 --> 00:01:47.200]  怎麼救贖所有信祂的人
