
[00:00:00.000 --> 00:00:05.000]  (字幕:我認為這次的題目並非我定的)
[00:00:05.000 --> 00:00:07.000]  (字幕:這次的題目並非我定的)
[00:00:07.000 --> 00:00:14.000]  (字幕:這次的題目並非我定的)
[00:00:14.000 --> 00:00:19.000]  (字幕:這次的題目並非我定的)
[00:00:19.000 --> 00:00:24.000]  (字幕:這次的題目並非我定的)
[00:00:24.000 --> 00:00:32.000]  (字幕:在一個這麼美麗的夏天的下午)
[00:00:32.000 --> 00:00:36.000]  (字幕:講一些神學講座)
[00:00:36.000 --> 00:00:40.000]  (字幕:對講的人來說是一個相當大的挑戰)
[00:00:40.000 --> 00:00:44.000]  (字幕:我相信對聽眾的挑戰也很大)
[00:00:44.000 --> 00:00:48.000]  (字幕:因為這是相當複雜的話題)
[00:00:48.000 --> 00:00:53.000]  (字幕:今天我想談有關淺談基督論的事)
[00:00:53.000 --> 00:00:57.000]  (字幕:接下來我們會談教會論)
[00:00:57.000 --> 00:00:59.000]  (字幕:明天我會談基督論)
[00:00:59.000 --> 00:01:05.000]  (字幕:第三個下午我會談教會論)
[00:01:05.000 --> 00:01:10.000]  (字幕:都是一些比較理論性的問題)
[00:01:10.000 --> 00:01:14.000]  (字幕:基督論和其他論的範圍非常廣闊)
[00:01:14.000 --> 00:01:18.000]  (字幕:和其他教義的範圍也非常廣闊)
[00:01:18.000 --> 00:01:22.000]  (字幕:其他的理論也相當廣闊)
[00:01:22.000 --> 00:01:27.000]  (字幕:所以很難在一個下午談得完整)
[00:01:27.000 --> 00:01:30.000]  (字幕:我都要挑選一些)
[00:01:30.000 --> 00:01:35.000]  (字幕:我覺得我可以談及大家有興趣的題目)
[00:01:35.000 --> 00:01:39.000]  (字幕:我會挑一些可以談及大家有興趣的題目)
[00:01:39.000 --> 00:01:43.000]  (字幕:例如明天談救恩論)
[00:01:43.000 --> 00:01:47.000]  (字幕:我會集中談預定論的話題)
[00:01:47.000 --> 00:01:51.000]  (字幕:因為這個問題困擾很多信徒)
[00:01:51.000 --> 00:01:54.000]  (字幕:特別是國內的信徒)
[00:01:54.000 --> 00:01:56.000]  (字幕:我曾經在國內的培訓班中)
[00:01:56.000 --> 00:01:58.000]  (字幕:發現這是一個很嚴重的問題)
[00:01:58.000 --> 00:02:02.000]  (字幕:教會論也是)
[00:02:02.000 --> 00:02:06.000]  (字幕:可以從很多範疇去探討)
[00:02:06.000 --> 00:02:10.000]  (字幕:但我想談一些和大家有關係的問題)
[00:02:10.000 --> 00:02:14.000]  (字幕:基督論也是)
[00:02:14.000 --> 00:02:17.000]  (字幕:我們談到基督的神人異性)
[00:02:17.000 --> 00:02:21.000]  (字幕:基督的道成肉身)
[00:02:21.000 --> 00:02:24.000]  (字幕:基督的降世為人)
[00:02:24.000 --> 00:02:27.000]  (字幕:基督的死裡復活)
[00:02:27.000 --> 00:02:30.000]  (字幕:等等的問題)
[00:02:30.000 --> 00:02:34.000]  (字幕:但我想集中談一個最關鍵的基督論問題)
[00:02:34.000 --> 00:02:39.000]  (字幕:就是今天早上夏牧師開始談論的問題)
[00:02:39.000 --> 00:02:44.000]  (字幕:就是關於三一神的問題)
[00:02:44.000 --> 00:02:48.000]  (字幕:大家今早都參加了早堂的聚會)
[00:02:48.000 --> 00:02:52.000]  (字幕:都聽見夏牧師說到)
[00:02:52.000 --> 00:02:57.000]  (字幕:聖父、聖子、聖靈三位互相相愛)
[00:02:57.000 --> 00:03:02.000]  (字幕:並且在主裡彼此同工)
[00:03:02.000 --> 00:03:12.000]  (字幕:我想從三一神的角度來談基督論)
[00:03:12.000 --> 00:03:18.000]  (字幕:希望給大家一些幫助)
[00:03:18.000 --> 00:03:21.000]  (字幕:時間有點尷尬)
[00:03:21.000 --> 00:03:24.000]  (字幕:大概是一個半小時)
[00:03:24.000 --> 00:03:28.000]  (字幕:如果中間放小息又不夠)
[00:03:28.000 --> 00:03:32.000]  (字幕:如果繼續談下去也會很辛苦)
[00:03:32.000 --> 00:03:36.000]  (字幕:所以我看看大家的狀態到什麼程度)
[00:03:36.000 --> 00:03:42.000]  (字幕:大家開始進入睡覺的時候)
[00:03:42.000 --> 00:03:45.000]  (字幕:我會放個小息)
[00:03:45.000 --> 00:03:52.000]  (字幕:最後10至15分鐘希望有些問答時間)
[00:03:52.000 --> 00:03:57.000]  (字幕:所以請你從聽的內容裡)
[00:03:57.000 --> 00:04:00.000]  (字幕:如果有疑問請你最後提出來)
[00:04:00.000 --> 00:04:05.000]  (字幕:主要我有一個很好的翻譯)
[00:04:05.000 --> 00:04:13.000]  (字幕:昨天在教會裡請她幫忙翻譯)
[00:04:13.000 --> 00:04:17.000]  (字幕:所以我很有信心)
[00:04:17.000 --> 00:04:19.000]  (字幕:我講得複雜一點講得快一點)
[00:04:19.000 --> 00:04:22.000]  (字幕:她也沒有問題)
[00:04:22.000 --> 00:04:26.000]  (字幕:關於三一神論)
[00:04:26.000 --> 00:04:30.000]  (字幕:對我來說是個個人的問題)
[00:04:30.000 --> 00:04:33.000]  (字幕:是個很有興趣的問題)
[00:04:33.000 --> 00:04:35.000]  (字幕:我和其他人一樣)
[00:04:35.000 --> 00:04:39.000]  (字幕:我對很多神學問題都有興趣)
[00:04:39.000 --> 00:04:45.000]  (字幕:不過慢慢長大後興趣就慢慢消失了)
[00:04:45.000 --> 00:04:51.000]  (字幕:在年輕的時候有很多神學問題)
[00:04:51.000 --> 00:04:53.000]  (字幕:好像沒有什麼答案)
[00:04:53.000 --> 00:04:57.000]  (字幕:其中一個問題是三一神論的問題)
[00:04:57.000 --> 00:05:00.000]  (字幕:我大概十歲信耶穌)
[00:05:00.000 --> 00:05:03.000]  (字幕:感謝主讓我很小就認識神)
[00:05:03.000 --> 00:05:11.000]  (字幕:我大概十五歲就奉獻做傳道)
[00:05:11.000 --> 00:05:18.000]  (字幕:我大概在讀中學三年級的時候就決定做傳道)
[00:05:18.000 --> 00:05:23.000]  (字幕:也是在一個夏天會做的決定)
[00:05:23.000 --> 00:05:28.000]  (字幕:當時我非常羨慕做傳道人)
[00:05:28.000 --> 00:05:34.000]  (字幕:周圍的導師和老師都鼓勵我做傳道人)
