
[00:00:00.000 --> 00:00:08.000]  今天想跟大家分享路德記的經文
[00:00:08.000 --> 00:00:19.000]  我不會詳細讀經文,但希望大家有聖經或手機都可以打開路德記
[00:00:19.000 --> 00:00:27.000]  我們會主要看第二章,不過我們也會由第一章開始講整個故事,看看神給我們的訊息
[00:00:27.000 --> 00:00:38.000]  開始之前我們再做一個禱告,我們知道生命中有很多都不是我們可以掌握的事情
[00:00:38.000 --> 00:00:47.000]  有時我們會遇到一些不高興的事,有時我們需要遠離他鄉去其他地方
[00:00:47.000 --> 00:00:57.000]  有時我們需要做一些困難的選擇,有時我們要做一些事情未必是我們心甘情願去做的
[00:00:57.000 --> 00:01:05.000]  但無論如何我們知道在什麼環境之中你與我們同行,你攜著我們的手同行
[00:01:05.000 --> 00:01:12.000]  你幫助我們讓我們有這份經驗,有這份認知,有這份確信的時候
[00:01:12.000 --> 00:01:22.000]  我們就可以懷著盼望面對每一天,今天我們藉著路德記的故事去鼓勵我們每一個人
[00:01:22.000 --> 00:01:27.000]  將以下時間交託到耶穌基督
[00:01:27.000 --> 00:01:35.000]  路德記可能大家都知道這個故事,這個故事基本上是講兩個女人
[00:01:35.000 --> 00:01:43.000]  這個也是聖經少有以女人做主角的,我們知道除了路德記之外
[00:01:43.000 --> 00:01:50.000]  以斯帖記在舊約裏面,就是兩本書,以女人做主題,女人做名字
[00:01:50.000 --> 00:02:02.000]  不過與以斯帖記很不同,路德記與納沃米,他們的家婆和媳婦是兩個小人物
[00:02:02.000 --> 00:02:10.000]  其實他們會出現在歷史之上,是因為路德是大衛的祖先
[00:02:10.000 --> 00:02:17.000]  如果路德不是大衛的祖先,這兩個女人的故事就應該不會記錄在聖經裏面
[00:02:17.000 --> 00:02:25.000]  但是很寶貴的,神的心意記錄了這兩個流浪的女子
[00:02:25.000 --> 00:02:35.000]  如果問聖經裏面,是講個人的流浪,埃及記有講一個國家的流浪
[00:02:35.000 --> 00:02:41.000]  但是講個人的流浪和他遇到的困難呢?
[00:02:41.000 --> 00:02:47.000]  所謂的Patria,亞伯拉罕那些都有提及,亞伯拉罕也是一個流浪的人
[00:02:47.000 --> 00:02:55.000]  路德與納沃米的故事就近很多,在那裏看到他們的掙扎
[00:02:55.000 --> 00:03:01.000]  當我們去看路德記與納沃米的故事的時候
[00:03:01.000 --> 00:03:09.000]  很多時候有一個爭拗,到底納沃米和她先生的一家人去了摩亞地
[00:03:09.000 --> 00:03:13.000]  是否合神的心意呢?
[00:03:13.000 --> 00:03:17.000]  大家知道故事就是這樣,路德記第一章說
[00:03:17.000 --> 00:03:24.000]  在事斯年代,國中有饑荒,所以有一個人帶著妻子和兩個兒子去摩亞
[00:03:24.000 --> 00:03:31.000]  這個人叫做爾尼米勒,去到摩亞的時候,納沃米的老公死了
[00:03:31.000 --> 00:03:38.000]  納沃米的兩個兒子也死了,所以納沃米就面對一個很困難的選擇
[00:03:38.000 --> 00:03:45.000]  因為當時的社會只有男性可以擁有資產
[00:03:45.000 --> 00:03:54.000]  所以三個女人和三個老公都死了,這個就變成了沒有收入的赤貧人士
[00:03:54.000 --> 00:04:02.000]  在摩亞就面對這個困難,故事當然是說納沃米決定回鄉
[00:04:02.000 --> 00:04:10.000]  其實她回鄉也很慘,因為路德也是要「十水」
