
[00:00:00.000 --> 00:00:09.600]  這是中國人傳統最大的信仰系統
[00:00:09.600 --> 00:00:13.300]  和我們現在接受的世界最大的宗教
[00:00:13.300 --> 00:00:17.200]  我們認為是真理的宗教的一種比較
[00:00:17.200 --> 00:00:21.000]  透過比較我們更加知道我們的信仰的真實
[00:00:21.000 --> 00:00:31.800]  知道知己知彼 知道我們的祖先接近律法時期的真理信仰
[00:00:31.800 --> 00:00:40.600]  以及與聖經道理不一致的地方 資訊取捨
[00:00:40.600 --> 00:00:53.400]  我又多謝教會和謝牧師的空襟招聚小弟回來和大家侍奉
[00:00:53.400 --> 00:00:57.800]  以及一起聚會
[00:00:57.800 --> 00:01:01.800]  特別多謝我們的班長
[00:01:01.800 --> 00:01:03.600]  我這句說話藏在心裡很久了
[00:01:03.600 --> 00:01:05.600]  不過現在才有機會說
[00:01:05.600 --> 00:01:09.000]  我和他本來大家未有機會很熟的
[00:01:09.000 --> 00:01:15.600]  透過這幾個星期我非常感激他的幫助和熱心
[00:01:15.600 --> 00:01:22.600]  所以一會兒請他和我們做開始的祈禱
[00:01:22.600 --> 00:01:28.800]  在祈禱之前我衷心送一點禮物給班長
[00:01:28.800 --> 00:01:30.800]  表示個人的感謝
[00:01:30.800 --> 00:01:44.800]  大家手頭有三樣東西
[00:01:44.800 --> 00:01:46.800]  一本是《道哉心田》
[00:01:46.800 --> 00:01:54.400]  這本是出版的 以往那段時間是送給小弟私人的
[00:01:54.400 --> 00:01:57.800]  當然不是給我個人的 我有分發
[00:01:57.800 --> 00:01:59.800]  如果大家已經有的
[00:01:59.800 --> 00:02:04.800]  可以分發給其他人 廣傳福音
[00:02:04.800 --> 00:02:07.800]  不需要就不要
[00:02:07.800 --> 00:02:11.800]  另外一張是大的
[00:02:11.800 --> 00:02:14.800]  大家知道我們的時間太短了
[00:02:14.800 --> 00:02:17.800]  所以我們盡量以我家的資源
[00:02:17.800 --> 00:02:19.800]  並不是用教會一張紙
[00:02:19.800 --> 00:02:21.800]  當然是應該的
[00:02:21.800 --> 00:02:24.800]  濃縮成一張紙
[00:02:24.800 --> 00:02:26.800]  這張紙是金磊議員所講的
[00:02:26.800 --> 00:02:32.800]  最後對於佛教的極之精緻的檢討
[00:02:32.800 --> 00:02:39.800]  本來我想說佛教方面有代表性的人物
[00:02:39.800 --> 00:02:42.800]  對基督教的批評其實很重要的
[00:02:42.800 --> 00:02:44.800]  知己知彼
[00:02:44.800 --> 00:02:47.800]  知道人們怎樣不滿或攻擊我們
[00:02:47.800 --> 00:02:50.800]  甚至我們自己會怎樣懷疑
