
[00:00:00.000 --> 00:00:04.560]  各位頂尖的朋友大家好
[00:00:04.560 --> 00:00:12.320]  在此再次代表教會歡迎今天Sandy的妹妹來參加
[00:00:12.320 --> 00:00:13.520]  我們今天很快歡迎你
[00:00:13.520 --> 00:00:16.960]  教會成為一個屬靈的家
[00:00:16.960 --> 00:00:19.520]  一起在主的裏面成長
[00:00:19.520 --> 00:00:22.720]  在此我們一起先以禱告
[00:00:22.720 --> 00:00:27.120]  預備心思意念去聆聽上主的話
[00:00:27.120 --> 00:00:28.720]  我們一起心低頭禱告
[00:00:29.680 --> 00:00:33.440]  護神多謝你讓我們能夠再次回來
[00:00:33.440 --> 00:00:35.840]  在你寶貴的話當中
[00:00:35.840 --> 00:00:37.280]  你的啟示裏面
[00:00:37.280 --> 00:00:39.840]  讓我們明白你是怎樣為主
[00:00:39.840 --> 00:00:40.880]  怎樣為神
[00:00:40.880 --> 00:00:50.400]  讓我們能夠重新將我們在主權次序上準確排放
[00:00:50.400 --> 00:00:52.240]  為此獻上感恩
[00:00:52.240 --> 00:00:55.600]  求你將我們每一個屬你的子民
[00:00:55.600 --> 00:01:00.880]  無論在線上或線下參加崇拜的弟兄姊妹
[00:01:00.880 --> 00:01:02.880]  都能夠同感一靈
[00:01:02.880 --> 00:01:07.280]  好想我們在這個義馬利團體的對面
[00:01:07.280 --> 00:01:10.000]  能夠一同去見證出
[00:01:10.000 --> 00:01:12.640]  一個屬神子民應有的力量
[00:01:12.640 --> 00:01:14.160]  應有的屬性
[00:01:14.160 --> 00:01:17.680]  禱告奉靠主耶穌基督德性的名字而跑
[00:01:17.680 --> 00:01:18.400]  阿們
[00:01:21.280 --> 00:01:29.680]  每一個真正在屬靈生命上要成長的屬神子民
[00:01:29.680 --> 00:01:35.280]  都需要不斷地在靈性上有突破
[00:01:35.280 --> 00:01:42.000]  不然的話我們很容易會變得懸地踏步
[00:01:42.000 --> 00:01:48.000]  甚至很多時候我們只是纏繞在我們自己個人的喜好
[00:01:48.000 --> 00:01:49.840]  這些思想裏面
[00:01:49.840 --> 00:01:53.120]  結局做不成基督徒不止
[00:01:53.120 --> 00:02:00.720]  而且可能更加成為其他追求認識上帝的人的絆腳石
[00:02:00.720 --> 00:02:05.520]  那怎樣才能有靈性的突破呢?
[00:02:05.520 --> 00:02:07.440]  是不是多回教會
[00:02:07.440 --> 00:02:09.680]  多參加聚會
[00:02:09.680 --> 00:02:12.240]  那你的靈性就一定會好呢?
[00:02:12.240 --> 00:02:13.920]  那又不一定
[00:02:13.920 --> 00:02:16.960]  我曾經認識過不少信徒
[00:02:16.960 --> 00:02:20.400]  就算他回了教會幾十年也好
[00:02:20.400 --> 00:02:25.600]  並且經常參與很多教會的事工
[00:02:25.600 --> 00:02:34.560]  但他的靈性仍然好像一個初信甚至不信的人一樣
