
[00:00:00.000 --> 00:00:07.000]  天父,我們懷著一個歡喜快樂的心來到你的話語面前
[00:00:07.000 --> 00:00:10.000]  當我們讀你的話語的時候
[00:00:10.000 --> 00:00:15.000]  我們實在是感謝你是這樣的來愛以色列
[00:00:15.000 --> 00:00:18.000]  我們也感謝你是這樣的來愛我們
[00:00:18.000 --> 00:00:21.000]  當時你是要復興以色列
[00:00:21.000 --> 00:00:24.000]  求主你也是向我們每一個人說話
[00:00:24.000 --> 00:00:26.000]  你復興我們每一個人
[00:00:26.000 --> 00:00:32.000]  讓我們來看你的話語的時候,我們的心是有渴望的
[00:00:32.000 --> 00:00:36.000]  求主你透過你的話語讓我們更加認識你
[00:00:36.000 --> 00:00:39.000]  讓你透過你的話語讓我們更加愛你
[00:00:39.000 --> 00:00:41.000]  更加來服侍你
[00:00:41.000 --> 00:00:44.000]  求主你不單止讓我們認識以色列
[00:00:44.000 --> 00:00:47.000]  你也讓我們認識我們自己
[00:00:47.000 --> 00:00:51.000]  我們都需要你是不斷的來跟身
[00:00:51.000 --> 00:00:53.000]  不斷的來復興我們
[00:00:53.000 --> 00:00:57.000]  祝福我們這一段時間聖靈在這裡做教導的工作
[00:00:57.000 --> 00:00:59.000]  祈禱鳳主耶穌基督明教
[00:00:59.000 --> 00:01:04.000]  上一次我們看第36章
[00:01:04.000 --> 00:01:10.000]  36和37章都是講到神要復興以色列
[00:01:10.000 --> 00:01:14.000]  是將它renew,將它restore
[00:01:14.000 --> 00:01:20.000]  當時那個時間就是主前586年左右
[00:01:20.000 --> 00:01:25.000]  是以色列最黑暗的時候因為亡國
[00:01:25.000 --> 00:01:28.000]  所有的人都被擄到巴比倫
[00:01:28.000 --> 00:01:32.000]  在他們來說是完全是沒有希望的
[00:01:32.000 --> 00:01:34.000]  前景是一片黑暗的
[00:01:34.000 --> 00:01:39.000]  但是神在那個時候是透過以色列才知道
[00:01:39.000 --> 00:01:42.000]  是告訴他們,告訴以色列人聽
[00:01:42.000 --> 00:01:45.000]  你們是有希望的
[00:01:45.000 --> 00:01:47.000]  因為神是沒有放棄你
[00:01:47.000 --> 00:01:54.000]  不單止上帝有一天要將他們從世界各地分散
[00:01:54.000 --> 00:02:00.000]  是全部會帶回去原來是允許給他們的地方
[00:02:00.000 --> 00:02:04.000]  而且不單止只是physically帶他們回去
[00:02:04.000 --> 00:02:07.000]  如果只是physically回去
[00:02:07.000 --> 00:02:09.000]  沒有什麼作用的
[00:02:09.000 --> 00:02:11.000]  回去就是跟以前一樣
[00:02:11.000 --> 00:02:15.000]  是犯罪,是拜偶像,是離棄神
[00:02:15.000 --> 00:02:20.000]  更加重要的是神不單止physically帶他們回去
[00:02:20.000 --> 00:02:24.000]  而且是spiritually,是屬靈那方面
[00:02:24.000 --> 00:02:28.000]  是令這幫以色列人真正認識神
[00:02:28.000 --> 00:02:31.000]  以及真正敬拜神
[00:02:31.000 --> 00:02:36.000]  所以我就想再回到上一次第36章
[00:02:36.000 --> 00:02:41.000]  那裡有一段是很重要的
[00:02:41.000 --> 00:02:46.000]  那一段是耶穌基督和尼哥底母談到的時候
[00:02:46.000 --> 00:02:50.000]  都是refer回這段經文
[00:02:50.000 --> 00:02:57.000]  這段經文是預言神會換一個新的心
[00:02:57.000 --> 00:02:58.000]  這個是最重要的
[00:02:58.000 --> 00:03:09.000]  我們每一個人信主的都是神已經將我們舊的鐵石心腸的心換過
[00:03:09.000 --> 00:03:12.000]  這個就是重生
[00:03:12.000 --> 00:03:16.000]  神拯救人不是我們去做多點好事
[00:03:16.000 --> 00:03:19.000]  或者參加多點活動
[00:03:19.000 --> 00:03:25.000]  不是靠人的方法去得到救恩
[00:03:25.000 --> 00:03:28.000]  神要拯救我們是神的工作
[00:03:28.000 --> 00:03:30.000]  神來清潔我們
[00:03:30.000 --> 00:03:34.000]  神來幫我們換過一個新的心
[00:03:34.000 --> 00:03:37.000]  他對以色列將來也會這樣做
[00:03:37.000 --> 00:03:40.000]  這個今天我們是未見到的
[00:03:40.000 --> 00:03:44.000]  這個是要去到大災難的時候
[00:03:44.000 --> 00:03:50.000]  透過災難讓以色列人真正認識到誰是離賽
[00:03:50.000 --> 00:03:53.000]  以及認識到自己的情況
[00:03:53.000 --> 00:03:57.000]  然後神的靈就會進入他們那裡
