
[00:00:00.000 --> 00:00:02.000]  各位網友 大家好
[00:00:02.000 --> 00:00:04.000]  我是鄭中華
[00:00:04.000 --> 00:00:06.000]  今天我們要講的就是
[00:00:06.000 --> 00:00:08.000]  《路加福音》
[00:00:08.000 --> 00:00:10.000]  我們一起打開
[00:00:10.000 --> 00:00:12.000]  《路加福音》第六章
[00:00:12.000 --> 00:00:14.000]  我們先讀
[00:00:14.000 --> 00:00:16.000]  我們的新譯本
[00:00:16.000 --> 00:00:18.000]  我們先讀
[00:00:18.000 --> 00:00:20.000]  我們的新譯本
[00:00:20.000 --> 00:00:22.000]  我們先讀
[00:00:22.000 --> 00:00:24.000]  我們的新譯本
[00:00:24.000 --> 00:00:26.000]  我們先讀
[00:00:26.000 --> 00:00:28.000]  我們的新譯本
[00:00:28.000 --> 00:00:30.000]  我們先讀
[00:00:30.000 --> 00:00:32.000]  我們的新譯本
[00:00:32.000 --> 00:00:34.000]  我們先讀
[00:00:34.000 --> 00:00:36.000]  我們的新譯本
[00:00:36.000 --> 00:00:38.000]  我們先讀
[00:00:38.000 --> 00:00:40.000]  我們的新譯本
[00:00:40.000 --> 00:00:42.000]  我們先讀
[00:00:42.000 --> 00:00:44.000]  我們的新譯本
[00:00:44.000 --> 00:00:46.000]  我們先讀
[00:00:46.000 --> 00:00:48.000]  我們的新譯本
[00:00:48.000 --> 00:00:50.000]  我們先讀
[00:00:50.000 --> 00:00:52.000]  我們的新譯本
[00:00:52.000 --> 00:00:54.000]  我們先讀
[00:00:54.000 --> 00:00:56.000]  我們的新譯本
[00:00:56.000 --> 00:00:58.000]  我們先讀
[00:00:58.000 --> 00:01:00.000]  我們的新譯本
[00:01:00.000 --> 00:01:02.000]  我們先讀
[00:01:02.000 --> 00:01:04.000]  我們的新譯本
[00:01:04.000 --> 00:01:06.000]  我們先讀
[00:01:06.000 --> 00:01:08.000]  我們的新譯本
[00:01:08.000 --> 00:01:10.000]  我們先讀
[00:01:10.000 --> 00:01:12.000]  我們的新譯本
[00:01:12.000 --> 00:01:14.000]  我們先讀
[00:01:14.000 --> 00:01:16.000]  我們的新譯本
[00:01:16.000 --> 00:01:18.000]  我們先讀
[00:01:18.000 --> 00:01:20.000]  我們的新譯本
[00:01:20.000 --> 00:01:22.000]  我們先讀
[00:01:22.000 --> 00:01:24.000]  我們的新譯本
[00:01:24.000 --> 00:01:26.000]  我們先讀
[00:01:26.000 --> 00:01:28.000]  我們的新譯本
[00:01:28.000 --> 00:01:30.000]  我們先讀
[00:01:30.000 --> 00:01:32.000]  我們的新譯本
[00:01:32.000 --> 00:01:34.000]  我們先讀
[00:01:34.000 --> 00:01:36.000]  我們的新譯本
