
[00:00:00.000 --> 00:00:07.000]  我們的生命可以彰顯主的榮耀
[00:00:07.000 --> 00:00:14.000]  丁姐妹,如果要測試一個基督徒,到底是真還是假?
[00:00:14.000 --> 00:00:19.000]  或者測試一個基督徒的靈命到底是高還是低?
[00:00:19.000 --> 00:00:22.000]  你覺得最合適的地方在哪裏呢?
[00:00:22.000 --> 00:00:25.000]  在哪裏?
[00:00:25.000 --> 00:00:29.000]  大家記得你們和我的約法三章
[00:00:29.000 --> 00:00:31.000]  在哪裏呢?
[00:00:31.000 --> 00:00:33.000]  是不是在教會呢?
[00:00:33.000 --> 00:00:35.000]  是不是在教會?
[00:00:35.000 --> 00:00:39.000]  如果一個基督徒在教會裏面很熱心
[00:00:39.000 --> 00:00:44.000]  很多的侍奉,然後唱詩又唱得很大聲
[00:00:44.000 --> 00:00:46.000]  聖哉聖哉聖哉
[00:00:46.000 --> 00:00:50.000]  那他是不是一定就是一個真的基督徒呢?
[00:00:50.000 --> 00:00:55.000]  或者說,他是不是一定是靈命好的一個基督徒呢?
[00:00:55.000 --> 00:00:57.000]  不是
[00:00:57.000 --> 00:01:02.000]  最好測試一個基督徒的真假或者靈命高低
[00:01:02.000 --> 00:01:03.000]  不是在教會
[00:01:03.000 --> 00:01:05.000]  在哪裏?
[00:01:05.000 --> 00:01:07.000]  在家裏
[00:01:07.000 --> 00:01:10.000]  在工作的場所
[00:01:10.000 --> 00:01:13.000]  如果你在工作的場所
[00:01:13.000 --> 00:01:15.000]  不需要講
[00:01:15.000 --> 00:01:20.000]  就用你的生命來表彰基督徒的生活
[00:01:20.000 --> 00:01:23.000]  和人生觀、世界觀、價值觀
[00:01:23.000 --> 00:01:25.000]  我告訴你
[00:01:25.000 --> 00:01:31.000]  在那個地方才是最好測試你熟靈的情況
[00:01:31.000 --> 00:01:35.000]  有些人在教會裏面很熱心
[00:01:35.000 --> 00:01:37.000]  說話又很熟靈
[00:01:37.000 --> 00:01:41.000]  但是在外邊,在工作的場所見證又不好
[00:01:41.000 --> 00:01:43.000]  做事又不盡責
[00:01:43.000 --> 00:01:46.000]  或者在學校讀書又不盡力
[00:01:46.000 --> 00:01:48.000]  在家裏又不幫忙
[00:01:48.000 --> 00:01:51.000]  什麼都別人替他做了
[00:01:51.000 --> 00:01:53.000]  而最糟糕的是什麼呢?
[00:01:53.000 --> 00:01:55.000]  他口口聲聲說自己是基督徒
[00:01:55.000 --> 00:02:00.000]  最糟糕的是他告訴別人他是怎樣熱心的
[00:02:00.000 --> 00:02:03.000]  而你的口怎麼說都沒用
[00:02:03.000 --> 00:02:08.000]  看你的生命是怎樣來表彰耶穌基督
[00:02:08.000 --> 00:02:11.000]  所以千萬不要反過來
[00:02:11.000 --> 00:02:13.000]  不要本末倒置
[00:02:13.000 --> 00:02:16.000]  別人很多時候不是聽我們說話
[00:02:16.000 --> 00:02:20.000]  別人是看我們的生活表現
[00:02:20.000 --> 00:02:22.000]  當我們的生活表現不好的時候
[00:02:22.000 --> 00:02:25.000]  人們耳朵都塞住了
[00:02:25.000 --> 00:02:27.000]  聽不進去
[00:02:27.000 --> 00:02:29.000]  你越說越壞
[00:02:29.000 --> 00:02:31.000]  越苗越黑
[00:02:31.000 --> 00:02:34.000]  你不說是基督徒都更好
[00:02:34.000 --> 00:02:39.000]  你講了自己是基督徒反而更反效果
[00:02:39.000 --> 00:02:44.000]  所以很多的人其實是看我們的生命的表現
[00:02:44.000 --> 00:02:48.000]  然後當他們看見我們基督徒美好的人生見證
[00:02:48.000 --> 00:02:54.000]  他們會問為什麼這個人的表現會不同呢?
[00:02:54.000 --> 00:02:57.000]  是不是他裡面有什麼特別的地方
[00:02:57.000 --> 00:02:59.000]  然後他們就會去查
[00:02:59.000 --> 00:03:02.000]  然後去問甚至去請教你
[00:03:02.000 --> 00:03:09.000]  然後那個時候你就可以來介紹耶穌基督的福音給他
[00:03:09.000 --> 00:03:11.000]  當然有時候兩樣東西
[00:03:11.000 --> 00:03:13.000]  哪個先哪個後
[00:03:13.000 --> 00:03:15.000]  相互相承
[00:03:15.000 --> 00:03:19.000]  丁姐妹我們千萬要在職場
[00:03:19.000 --> 00:03:21.000]  在學校
[00:03:21.000 --> 00:03:23.000]  在家庭裡面
[00:03:23.000 --> 00:03:26.000]  來做神的福音大師
[00:03:26.000 --> 00:03:29.000]  而福音大師不只是口講
[00:03:29.000 --> 00:03:32.000]  是生命的表現
[00:03:32.000 --> 00:03:36.000]  今天我們要跟大家來講以利亞的生平
[00:03:36.000 --> 00:03:37.000]  第二講
[00:03:37.000 --> 00:03:40.000]  記不記得第一講以利亞躲起來了
[00:03:40.000 --> 00:03:44.000]  然後神要他在三個學院裡面來受詛咒
[00:03:44.000 --> 00:03:47.000]  第一個是基督基基本班
[00:03:47.000 --> 00:03:49.000]  學什麼功課呢?
[00:03:49.000 --> 00:03:53.000]  學信心、信服和等候
[00:03:53.000 --> 00:03:55.000]  然後完了
[00:03:55.000 --> 00:03:57.000]  以為畢業了
[00:03:57.000 --> 00:03:58.000]  不是
[00:03:58.000 --> 00:04:00.000]  其實是畢業一個基本班
[00:04:00.000 --> 00:04:02.000]  然後要他去到研究所
[00:04:02.000 --> 00:04:05.000]  去研究院這個叫空談研究院
[00:04:05.000 --> 00:04:08.000]  然後空談研究院裡面
[00:04:08.000 --> 00:04:13.000]  神又要他學信心、信服和等候
[00:04:13.000 --> 00:04:15.000]  然後到最後
[00:04:15.000 --> 00:04:17.000]  要他學習一樣是
