
[00:00:00.000 --> 00:00:06.800]  李卓會平安,我們今天就是看兩段的聖經
[00:00:06.800 --> 00:00:10.600]  先上一些很基本的聖經裡面的真理
[00:00:10.600 --> 00:00:14.100]  但是我希望跟大家增加我們的記憶
[00:00:14.100 --> 00:00:17.900]  那兩段聖經就是我們剛才所讀的那兩段聖經
[00:00:17.900 --> 00:00:20.100]  一段是來自耶穌基督所說的
[00:00:20.100 --> 00:00:21.600]  在路加方案十二章
[00:00:21.600 --> 00:00:24.500]  另外一段是來自保羅所說的
[00:00:24.500 --> 00:00:27.300]  在貼索羅尼加前書的第二章
[00:00:27.300 --> 00:00:30.200]  所以如果你有聖經的話,也可以打開
[00:00:30.200 --> 00:00:31.500]  待會我們在這裡看著
[00:00:31.500 --> 00:00:33.600]  因為剛才我們讀的是其中一部分
[00:00:33.600 --> 00:00:40.000]  但是我們一直就會說更多關於那兩段的聖經
[00:00:40.000 --> 00:00:42.800]  為什麼要選這兩段的聖經呢?
[00:00:42.800 --> 00:00:46.000]  因為大家應該很熟悉也知道
[00:00:46.000 --> 00:00:48.800]  在基督教信仰裡面
[00:00:48.800 --> 00:00:55.200]  我們兩個最核心的追尋和美德是什麼?
[00:00:55.200 --> 00:00:59.400]  要盡心盡性盡意盡力的愛神
[00:00:59.400 --> 00:01:02.800]  接著要愛人如己
[00:01:02.800 --> 00:01:04.800]  愛淪赦如同自己
[00:01:04.800 --> 00:01:07.000]  愛神和愛人這兩個
[00:01:07.000 --> 00:01:11.500]  我相信是我們信仰裡面最核心的對我們的要求
[00:01:11.500 --> 00:01:14.000]  但是怎麼去愛神、怎麼去愛人呢?
[00:01:14.000 --> 00:01:16.600]  當然聖經裡面有很多很多的真理
[00:01:16.600 --> 00:01:19.400]  今天我就想用這兩個的角度
[00:01:19.400 --> 00:01:24.900]  用兩段的聖經給我們一個具體形象的既得
[00:01:24.900 --> 00:01:28.200]  還有我們每次想起我們愛神的時候
[00:01:28.200 --> 00:01:30.500]  希望我們記得這兩種形象
[00:01:30.500 --> 00:01:32.100]  每次想起愛人的時候
[00:01:32.100 --> 00:01:34.400]  都記得有兩種形象
[00:01:34.400 --> 00:01:36.000]  幫助我們的記憶
[00:01:36.000 --> 00:01:38.100]  並且是具體落實一點
[00:01:38.100 --> 00:01:42.700]  我們試試用短短的時間思想這兩段的聖經
[00:01:42.700 --> 00:01:44.300]  我們先看耶穌基督
[00:01:44.300 --> 00:01:48.000]  看他怎麼教我們怎麼去愛神
[00:01:48.000 --> 00:01:52.200]  我們看路加方暗的第十二章
[00:01:52.200 --> 00:01:53.500]  路加方暗第十二章
[00:01:53.500 --> 00:01:56.700]  其實我們用了兩個形象
[00:01:56.700 --> 00:02:01.700]  來告訴我們究竟我們怎麼去愛神
[00:02:01.700 --> 00:02:03.100]  剛才就很好
[00:02:03.100 --> 00:02:07.400]  我們知道很快就有一個會議
[00:02:07.400 --> 00:02:10.700]  司徒醫生也提醒我們
[00:02:10.700 --> 00:02:14.100]  在以色列和巴勒斯坦人
[00:02:14.100 --> 00:02:18.300]  他們紛紛信主這個奇妙的現象
[00:02:18.300 --> 00:02:25.500]  還有情況下我們真的要去期待並且要知道主來的日子近
[00:02:25.500 --> 00:02:27.500]  主耶穌基督來的日子近的時候
[00:02:27.500 --> 00:02:31.900]  我們也記得我們作為主耶穌基督的兒女
