
[00:00:00.000 --> 00:00:06.100]  好 等下會讓我們聽到神的道義先 讓我們先同心討告
[00:00:06.100 --> 00:00:09.400]  請神明讓我們聽到先同心討告
[00:00:09.400 --> 00:00:17.320]  好 神 多謝你讓我們能夠再次回來在你的帶領之下
[00:00:17.320 --> 00:00:23.320]  去明白你怎樣穿著聖靈能夠引導昔日的門徒
[00:00:23.320 --> 00:00:27.200]  能夠繼續走在釋放的道路上面
[00:00:27.200 --> 00:00:30.800]  走在一條永神的事上面
[00:00:30.800 --> 00:00:32.800]  求祝你永遠同在
[00:00:32.800 --> 00:00:35.900]  讓我們能夠真的藉著你的話語
[00:00:35.900 --> 00:00:37.900]  藉著聖靈的引導
[00:00:37.900 --> 00:00:44.100]  將這些道理同樣刻骨銘心地藏在我們每一個信徒的生命當中
[00:00:44.100 --> 00:00:49.400]  發揮在我們每天每一天每一秒鐘裡面的生命
[00:00:49.400 --> 00:00:50.600]  求你永遠同在
[00:00:50.600 --> 00:00:54.800]  我請神明讓我們再次回到你的花園
[00:00:54.800 --> 00:00:58.400]  能夠藉著你的話語當中
[00:00:58.400 --> 00:01:05.400]  很說有關過去你的靈怎樣帶領你的門徒
[00:01:05.400 --> 00:01:09.800]  走在上帝的榮耀的道路當中
[00:01:09.800 --> 00:01:11.000]  求你幫助
[00:01:11.000 --> 00:01:13.900]  讓今天我們同樣透過聖靈
[00:01:13.900 --> 00:01:15.700]  跟著你的說話
[00:01:15.700 --> 00:01:21.600]  能夠使我們刻骨永生的在我們生命當中
[00:01:21.600 --> 00:01:24.200]  每一天活出主你的生命
[00:01:24.200 --> 00:01:29.200]  我們能夠在每一刻都能夠帶領更多人
[00:01:29.200 --> 00:01:32.600]  能夠讓他們明白到我們是怎麼樣依偎
[00:01:32.600 --> 00:01:34.500]  隨著神你的名
[00:01:34.500 --> 00:01:36.700]  來活的基督徒
[00:01:36.700 --> 00:01:38.100]  主神你的神明
[00:01:38.100 --> 00:01:40.400]  我們打造封住耶穌的名字
[00:01:40.400 --> 00:01:41.400]  阿們
[00:01:41.400 --> 00:01:45.900]  我大概計到今天來計
[00:01:45.900 --> 00:01:48.500]  我順著主大約30年左右
[00:01:48.500 --> 00:01:51.700]  到今天為止我大概現在30年
[00:01:51.700 --> 00:01:56.000]  也代表了侍奉上主30年
[00:01:56.000 --> 00:01:58.100]  也代表侍奉上主30年
[00:01:58.100 --> 00:02:02.000]  在這30年的基督徒的路程上面
[00:02:02.000 --> 00:02:07.000]  在這30年的基督徒的路程當中
[00:02:07.000 --> 00:02:10.100]  見過很多不同類型的基督徒
[00:02:10.100 --> 00:02:12.100]  見過很多不同類型的基督徒
[00:02:12.100 --> 00:02:14.900]  我講到這裡你會很詫異
[00:02:14.900 --> 00:02:17.000]  我講到這裡你是不是很詫異
[00:02:17.000 --> 00:02:20.400]  阿牧師你說你見過很多不同類型的基督徒
[00:02:20.400 --> 00:02:23.400]  你不是見過很多不同類型的基督徒
[00:02:23.400 --> 00:02:26.000]  我可以口肯定的跟大家聽
[00:02:26.000 --> 00:02:28.500]  的而且我見過很多不同類型的基督徒
[00:02:28.500 --> 00:02:31.400]  確實我見過很多不同類型的基督徒
[00:02:31.400 --> 00:02:33.000]  縱使在聖經裡面
[00:02:33.000 --> 00:02:35.100]  只形容只有一類的基督徒
[00:02:35.100 --> 00:02:37.800]  即聖經中只有一類的基督徒
[00:02:37.800 --> 00:02:41.200]  但在聖經當中所顯示的基督徒
[00:02:41.200 --> 00:02:43.300]  在聖經當中所顯示的基督徒
[00:02:43.300 --> 00:02:47.000]  被今日各式各樣的人的思想行為
[00:02:47.000 --> 00:02:49.400]  甚至他們自己的思維哲學
[00:02:49.400 --> 00:02:52.300]  將它塑造了不同類型的基督徒出來
[00:02:52.300 --> 00:02:55.400]  被今天的思維思想哲學
[00:02:55.400 --> 00:02:57.800]  塑造不同類型的基督徒出來
[00:02:57.800 --> 00:03:02.400]  講到底其實都是因為大家對聖經的接受程度
[00:03:02.400 --> 00:03:05.600]  有不同的層次的了解
[00:03:05.600 --> 00:03:09.700]  說到底是對聖經的接受程度有不同層次的理解
[00:03:09.700 --> 00:03:11.300]  理解都不是最重要的
[00:03:11.300 --> 00:03:12.700]  理解不是最重要的
[00:03:12.700 --> 00:03:14.600]  是那個心態的問題
[00:03:14.600 --> 00:03:16.100]  是那個心態的問題
[00:03:16.100 --> 00:03:19.500]  最嚴重的一類的稱之為基督徒的人
[00:03:19.500 --> 00:03:21.400]  最嚴重的稱之為基督徒的人
[00:03:21.400 --> 00:03:24.300]  甚至他不會相信聖經裡面所講的東西
