
[00:00:00.000 --> 00:00:07.160]  今天我們上次剛剛講完了天國的比喻
[00:00:07.160 --> 00:00:10.500]  又未開始是新命記的系列
[00:00:10.500 --> 00:00:14.140]  我想有一個訊息我經常在思考
[00:00:14.140 --> 00:00:16.700]  想和大家講一講
[00:00:16.700 --> 00:00:21.980]  究竟耶穌基督有沒有傳保羅的福音訊息
[00:00:21.980 --> 00:00:23.500]  我再講一次
[00:00:23.500 --> 00:00:27.620]  耶穌基督到底有沒有傳保羅的福音訊息
[00:00:27.620 --> 00:00:33.380]  我們要知道耶穌有沒有傳保羅的福音訊息
[00:00:33.380 --> 00:00:35.620]  我們首先要知道的
[00:00:35.620 --> 00:00:39.220]  就是究竟保羅的福音訊息是什麼
[00:00:39.220 --> 00:00:45.340]  保羅在羅馬書和加拉太書都有引用舊約經文
[00:00:45.340 --> 00:00:48.340]  在哈巴谷書2章4節
[00:00:48.340 --> 00:00:51.140]  說為「義人因信得新」
[00:00:51.140 --> 00:00:53.980]  就是被神稱為義人
[00:00:53.980 --> 00:01:00.420]  能夠與神和好的人因信而得新命
[00:01:00.420 --> 00:01:09.020]  這節經文也是頻頻被保羅在羅馬書和加拉太書引用
[00:01:09.020 --> 00:01:11.380]  也是羅馬書的主題
[00:01:11.380 --> 00:01:13.820]  「義人因信得新」
[00:01:13.820 --> 00:01:20.940]  保羅稱得救的福音道理為「因信清義」
[00:01:20.940 --> 00:01:24.260]  相信大家都很熟悉什麼是「因信清義」
[00:01:24.260 --> 00:01:28.260]  「因信清義」的道理在羅馬書1章16至17節
[00:01:28.260 --> 00:01:31.380]  3章20至25節
[00:01:31.380 --> 00:01:33.540]  10章9至10節
[00:01:33.540 --> 00:01:40.580]  和加拉太書3章24至26節都有提及「因信清義」的教導
[00:01:40.580 --> 00:01:48.540]  早期的教父對「因信清義」的教導都很清楚
[00:01:48.540 --> 00:01:51.980]  例如克萊曼是一個早期的教父
[00:01:51.980 --> 00:01:55.140]  他說一個人不以被神稱為義人
[00:01:55.140 --> 00:01:58.740]  能夠與神和好完全是透過信心
[00:01:58.740 --> 00:02:01.140]  不是因為行為
[00:02:01.140 --> 00:02:04.380]  行為只不過是出於信心
[00:02:04.380 --> 00:02:06.860]  但不是得救的條件
[00:02:06.860 --> 00:02:08.060]  這點很重要
[00:02:08.060 --> 00:02:11.580]  行為是出於信心但不是得救的條件
[00:02:11.580 --> 00:02:14.780]  而另外一位早期的教父
[00:02:14.780 --> 00:02:19.300]  他亦說一個人能夠成為義人
[00:02:19.300 --> 00:02:21.500]  完全是由於耶穌基督
[00:02:21.500 --> 00:02:23.860]  是祂的補血遮蓋我們
[00:02:23.860 --> 00:02:25.660]  替我們贖罪
[00:02:25.660 --> 00:02:28.220]  記不記得我講天國的比喻時
[00:02:28.220 --> 00:02:29.500]  講珍珠的比喻
[00:02:29.500 --> 00:02:32.740]  耶穌基督的血 耶穌基督的意義包著我們
[00:02:32.740 --> 00:02:34.420]  就好像珍珠一樣
[00:02:34.420 --> 00:02:36.380]  所以我們見到早期的教父
[00:02:36.380 --> 00:02:41.100]  對「因信清義」的教導是很清楚
[00:02:41.100 --> 00:02:43.780]  但很可惜
[00:02:43.780 --> 00:02:49.300]  慢慢「因信清義」的教導好像被遺忘了
[00:02:49.300 --> 00:02:53.900]  這可能是因為早期天主教的教會
[00:02:53.900 --> 00:02:59.460]  不主張信徒來自己解釋聖經
[00:02:59.460 --> 00:03:03.300]  甚至不主張信徒自己去讀聖經
[00:03:03.300 --> 00:03:07.660]  慢慢變成不讀不去解釋
[00:03:07.660 --> 00:03:09.900]  就忘記了 遺忘了
[00:03:09.900 --> 00:03:12.860]  要去到十六世紀
[00:03:12.860 --> 00:03:14.860]  我們知道馬丁路德
[00:03:14.860 --> 00:03:17.660]  這位是宗教的改革者
[00:03:17.660 --> 00:03:20.220]  他有一天讀羅馬書
[00:03:20.220 --> 00:03:24.220]  重新發現了「因信清義」的重要性
[00:03:24.220 --> 00:03:31.740]  馬丁路德為何會去讀羅馬書
[00:03:31.740 --> 00:03:33.940]  因為他在修道院
[00:03:33.940 --> 00:03:36.420]  修士要教羅馬書
[00:03:36.420 --> 00:03:37.340]  所以他去讀
[00:03:37.340 --> 00:03:39.140]  一讀之下他發覺
[00:03:39.140 --> 00:03:43.620]  原來羅馬書所說的「因信清義」的義字
[00:03:43.620 --> 00:03:48.500]  不是成為義 不是變成義
[00:03:48.500 --> 00:03:53.500]  而是算為義 被稱為義
[00:03:53.500 --> 00:03:55.100]  是一個被動的
[00:03:55.100 --> 00:03:57.100]  被神稱為義人
[00:03:57.100 --> 00:03:58.700]  不是我們做了甚麼
[00:03:58.700 --> 00:04:00.700]  自己變成一個義人
[00:04:00.700 --> 00:04:04.300]  這教導在羅馬書四章三字很清楚
[00:04:04.300 --> 00:04:08.740]  說「阿伯拉罕信神 者就算為他的義」
[00:04:08.740 --> 00:04:10.740]  阿伯拉罕被神稱為義人
[00:04:10.740 --> 00:04:12.740]  不是他自己做了甚麼
[00:04:12.740 --> 00:04:14.740]  是因為他信神
[00:04:14.740 --> 00:04:18.340]  所以神就稱他為一個義人
[00:04:18.340 --> 00:04:20.340]  這就是「因信清義」
[00:04:20.340 --> 00:04:25.940]  馬丁路德他發覺
[00:04:25.940 --> 00:04:29.140]  原來被神稱為義人的義
[00:04:29.140 --> 00:04:32.740]  不是我們的義 是耶穌基督的義
[00:04:32.740 --> 00:04:35.740]  我們也說過珍珠的比喻
[00:04:35.740 --> 00:04:39.740]  神看到的就是耶穌基督的榮耀在我們身上
[00:04:39.740 --> 00:04:41.740]  不是我們自己的義
[00:04:41.740 --> 00:04:43.740]  所以這很重要
[00:04:43.740 --> 00:04:47.340]  當馬丁路德知道這件事之後
[00:04:47.340 --> 00:04:50.340]  原來我們身上的義不是我們自己的義
[00:04:50.340 --> 00:04:51.340]  他說甚麼
[00:04:51.340 --> 00:04:53.340]  他說當我發現這一點的時候
[00:04:53.340 --> 00:04:57.340]  我覺得我是從聖靈重生得救
[00:04:57.340 --> 00:05:01.340]  天堂的門為我打開
[00:05:01.340 --> 00:05:03.340]  我就是這樣走過去
[00:05:03.340 --> 00:05:07.340]  這句話不是一個新信徒
[00:05:07.340 --> 00:05:10.340]  這句話是一個修道院的修士
[00:05:10.340 --> 00:05:14.340]  還要預備教羅馬書
[00:05:14.340 --> 00:05:19.340]  我們看到「因信清義」究竟在基督教有多重要
[00:05:19.340 --> 00:05:23.340]  連一個修士他都發現了「因信清義」之後
[00:05:23.340 --> 00:05:26.340]  他說我才是重生得救
[00:05:26.340 --> 00:05:30.340]  所以這是非常重要的一個題目
[00:05:30.340 --> 00:05:36.340]  究竟「因信清義」是不是保羅發明的呢?
[00:05:36.340 --> 00:05:38.340]  當然不是
[00:05:38.340 --> 00:05:40.340]  我們剛才讀的經文
[00:05:40.340 --> 00:05:42.340]  保羅引用的都是舊約
[00:05:42.340 --> 00:05:45.340]  《哈發福書》二章四節
