
[00:00:00.000 --> 00:00:04.140]  各位電影節目的朋友們 平安
[00:00:04.140 --> 00:00:07.880]  我們來到從創造到新創造的第33講
[00:00:07.880 --> 00:00:12.800]  題目是耶穌的顯現升天與生命轉化
[00:00:12.800 --> 00:00:15.680]  在《使徒行傳》一章三節裏這樣記載
[00:00:15.680 --> 00:00:16.920]  他受害以後
[00:00:16.920 --> 00:00:21.480]  用許多確具向使徒顯明自己是活著的
[00:00:21.480 --> 00:00:27.000]  在四十天之中向他們顯現並講述神國的事
[00:00:27.000 --> 00:00:29.720]  當耶穌受苦復活
[00:00:29.720 --> 00:00:31.280]  在升天之前
[00:00:31.280 --> 00:00:34.080]  這裏記載說有四十天之久
[00:00:34.080 --> 00:00:36.720]  與門徒一起相處
[00:00:36.720 --> 00:00:39.240]  用了不同的確具讓他們知道
[00:00:39.240 --> 00:00:42.280]  耶穌真的復活了
[00:00:42.280 --> 00:00:44.320]  而在那些前書
[00:00:44.320 --> 00:00:45.600]  保羅這樣記載
[00:00:45.600 --> 00:00:47.280]  十五章三節裏說
[00:00:47.280 --> 00:00:50.400]  「我當日所領受又傳給你們的
[00:00:50.400 --> 00:00:52.240]  最重要的就是
[00:00:52.240 --> 00:00:54.040]  照聖經所說
[00:00:54.040 --> 00:00:57.240]  基督為我們的罪死了」
[00:00:57.240 --> 00:00:58.360]  這個很重要
[00:00:58.360 --> 00:01:01.280]  就是耶穌的死是因為我們
[00:01:01.280 --> 00:01:02.800]  是因為我們的罪
[00:01:02.800 --> 00:01:04.440]  然後看下去
[00:01:04.440 --> 00:01:06.720]  「而且埋葬了」
[00:01:06.720 --> 00:01:09.840]  耶穌真的經歷死亡
[00:01:09.840 --> 00:01:11.720]  又照聖經所說
[00:01:11.720 --> 00:01:13.760]  第三天復活了
[00:01:13.760 --> 00:01:15.520]  真的復活了
[00:01:15.520 --> 00:01:17.720]  「還顯給基發漢
[00:01:17.720 --> 00:01:20.440]  又顯給十二使徒漢」
[00:01:20.440 --> 00:01:22.160]  然後再看下去
[00:01:22.160 --> 00:01:26.320]  「後來一次顯給五百多弟兄漢
[00:01:26.320 --> 00:01:29.920]  其中一大半到現在還在
[00:01:29.920 --> 00:01:32.200]  卻也有已經睡了的」
[00:01:32.200 --> 00:01:35.760]  這是一個很重要的確具
[00:01:35.760 --> 00:01:39.440]  就是保羅在這裡說
[00:01:39.440 --> 00:01:43.040]  當日耶穌真的為了罪人去受苦
[00:01:43.040 --> 00:01:43.760]  受死
[00:01:43.760 --> 00:01:45.480]  然後被埋葬
[00:01:45.480 --> 00:01:47.000]  然後真的復活
[00:01:47.000 --> 00:01:48.600]  而復活之後還顯現
[00:01:48.600 --> 00:01:52.880]  不單止是那些門徒看到
[00:01:52.880 --> 00:01:55.880]  還有五百多人看到
[00:01:55.880 --> 00:01:58.080]  然後在保羅說的那一刻
[00:01:58.080 --> 00:02:01.000]  他說有一大半現在還在
[00:02:01.000 --> 00:02:04.280]  就是說你可以再找其他人去證實
[00:02:04.280 --> 00:02:06.880]  是不是當日真的有這件事
[00:02:06.880 --> 00:02:10.960]  這是一個很確切的答案
[00:02:10.960 --> 00:02:13.160]  一個確具
[00:02:13.160 --> 00:02:14.520]  當你顯現之後
[00:02:14.520 --> 00:02:16.280]  耶穌升天的時候
